"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vertente do Lério",3,"2016","Outubro","Todas","Pernambuco"
"2","Vertentes",5,"2016","Outubro","Todas","Pernambuco"
"3","Vicência",4,"2016","Outubro","Todas","Pernambuco"
"4","Vitória de Santo Antão",63,"2016","Outubro","Todas","Pernambuco"
"5","Xexéu",2,"2016","Outubro","Todas","Pernambuco"
"6","Água Preta",4,"2016","Outubro","Todas","Pernambuco"
"7","Águas Belas",12,"2016","Outubro","Todas","Pernambuco"
"8","São Bento do Una",19,"2016","Outubro","Todas","Pernambuco"
"9","São Caitano",12,"2016","Outubro","Todas","Pernambuco"
"10","São Joaquim do Monte",12,"2016","Outubro","Todas","Pernambuco"
"11","São José da Coroa Grande",7,"2016","Outubro","Todas","Pernambuco"
"12","São José do Belmonte",9,"2016","Outubro","Todas","Pernambuco"
"13","São José do Egito",13,"2016","Outubro","Todas","Pernambuco"
"14","São João",6,"2016","Outubro","Todas","Pernambuco"
"15","São Lourenço da Mata",53,"2016","Outubro","Todas","Pernambuco"
"16","Tabira",17,"2016","Outubro","Todas","Pernambuco"
"17","Tacaratu",4,"2016","Outubro","Todas","Pernambuco"
"18","Tamandaré",4,"2016","Outubro","Todas","Pernambuco"
"19","Taquaritinga do Norte",8,"2016","Outubro","Todas","Pernambuco"
"20","Terezinha",2,"2016","Outubro","Todas","Pernambuco"
"21","Terra Nova",1,"2016","Outubro","Todas","Pernambuco"
"22","Timbaúba",31,"2016","Outubro","Todas","Pernambuco"
"23","Tracunhaém",3,"2016","Outubro","Todas","Pernambuco"
"24","Triunfo",7,"2016","Outubro","Todas","Pernambuco"
"25","Tupanatinga",6,"2016","Outubro","Todas","Pernambuco"
"26","Tuparetama",4,"2016","Outubro","Todas","Pernambuco"
"27","Venturosa",6,"2016","Outubro","Todas","Pernambuco"
"28","Recife",1782,"2016","Outubro","Todas","Pernambuco"
"29","Riacho das Almas",6,"2016","Outubro","Todas","Pernambuco"
"30","Rio Formoso",4,"2016","Outubro","Todas","Pernambuco"
"31","Sairé",4,"2016","Outubro","Todas","Pernambuco"
"32","Salgadinho",4,"2016","Outubro","Todas","Pernambuco"
"33","Salgueiro",38,"2016","Outubro","Todas","Pernambuco"
"34","Saloá",3,"2016","Outubro","Todas","Pernambuco"
"35","Sanharó",10,"2016","Outubro","Todas","Pernambuco"
"36","Santa Cruz",3,"2016","Outubro","Todas","Pernambuco"
"37","Santa Cruz da Baixa Verde",1,"2016","Outubro","Todas","Pernambuco"
"38","Santa Cruz do Capibaribe",35,"2016","Outubro","Todas","Pernambuco"
"39","Santa Filomena",5,"2016","Outubro","Todas","Pernambuco"
"40","Santa Maria da Boa Vista",10,"2016","Outubro","Todas","Pernambuco"
"41","Santa Maria do Cambucá",7,"2016","Outubro","Todas","Pernambuco"
"42","Santa Terezinha",2,"2016","Outubro","Todas","Pernambuco"
"43","Serra Talhada",70,"2016","Outubro","Todas","Pernambuco"
"44","Serrita",2,"2016","Outubro","Todas","Pernambuco"
"45","Sertania",11,"2016","Outubro","Todas","Pernambuco"
"46","Sirinhaém",8,"2016","Outubro","Todas","Pernambuco"
"47","São Benedito do Sul",5,"2016","Outubro","Todas","Pernambuco"
"48","Nazaré da Mata",16,"2016","Outubro","Todas","Pernambuco"
"49","Olinda",166,"2016","Outubro","Todas","Pernambuco"
"50","Orobó",6,"2016","Outubro","Todas","Pernambuco"
"51","Orocó",4,"2016","Outubro","Todas","Pernambuco"
"52","Ouricuri",53,"2016","Outubro","Todas","Pernambuco"
"53","Palmeirina",4,"2016","Outubro","Todas","Pernambuco"
"54","Panelas",13,"2016","Outubro","Todas","Pernambuco"
"55","Paranatama",4,"2016","Outubro","Todas","Pernambuco"
"56","Parnamirim",9,"2016","Outubro","Todas","Pernambuco"
"57","Passira",11,"2016","Outubro","Todas","Pernambuco"
"58","Paulista",204,"2016","Outubro","Todas","Pernambuco"
"59","Pedra",10,"2016","Outubro","Todas","Pernambuco"
"60","Pesqueira",28,"2016","Outubro","Todas","Pernambuco"
"61","Petrolina",181,"2016","Outubro","Todas","Pernambuco"
"62","Petrolândia",22,"2016","Outubro","Todas","Pernambuco"
"63","Pombos",4,"2016","Outubro","Todas","Pernambuco"
"64","Poção",4,"2016","Outubro","Todas","Pernambuco"
"65","Primavera",4,"2016","Outubro","Todas","Pernambuco"
"66","Quipapá",9,"2016","Outubro","Todas","Pernambuco"
"67","Quixaba",1,"2016","Outubro","Todas","Pernambuco"
"68","Jataúba",4,"2016","Outubro","Todas","Pernambuco"
"69","Joaquim Nabuco",4,"2016","Outubro","Todas","Pernambuco"
"70","João Alfredo",9,"2016","Outubro","Todas","Pernambuco"
"71","Jucati",4,"2016","Outubro","Todas","Pernambuco"
"72","Jupi",5,"2016","Outubro","Todas","Pernambuco"
"73","Jurema",5,"2016","Outubro","Todas","Pernambuco"
"74","Lagoa Grande",2,"2016","Outubro","Todas","Pernambuco"
"75","Lagoa do Carro",5,"2016","Outubro","Todas","Pernambuco"
"76","Lagoa do Itaenga",9,"2016","Outubro","Todas","Pernambuco"
"77","Lagoa do Ouro",3,"2016","Outubro","Todas","Pernambuco"
"78","Lagoa dos Gatos",5,"2016","Outubro","Todas","Pernambuco"
"79","Lajedo",20,"2016","Outubro","Todas","Pernambuco"
"80","Limoeiro",3,"2016","Outubro","Todas","Pernambuco"
"81","Macaparana",10,"2016","Outubro","Todas","Pernambuco"
"82","Machados",4,"2016","Outubro","Todas","Pernambuco"
"83","Manari",8,"2016","Outubro","Todas","Pernambuco"
"84","Maraial",4,"2016","Outubro","Todas","Pernambuco"
"85","Mirandiba",1,"2016","Outubro","Todas","Pernambuco"
"86","Moreilândia",1,"2016","Outubro","Todas","Pernambuco"
"87","Moreno",11,"2016","Outubro","Todas","Pernambuco"
"88","Goiana",24,"2016","Outubro","Todas","Pernambuco"
"89","Granito",2,"2016","Outubro","Todas","Pernambuco"
"90","Gravatá",27,"2016","Outubro","Todas","Pernambuco"
"91","Iati",4,"2016","Outubro","Todas","Pernambuco"
"92","Ibimirim",6,"2016","Outubro","Todas","Pernambuco"
"93","Ibirajuba",3,"2016","Outubro","Todas","Pernambuco"
"94","Igarassu",7,"2016","Outubro","Todas","Pernambuco"
"95","Iguaraci",6,"2016","Outubro","Todas","Pernambuco"
"96","Ilha de Itamaracá",2,"2016","Outubro","Todas","Pernambuco"
"97","Inajá",7,"2016","Outubro","Todas","Pernambuco"
"98","Ingazeira",1,"2016","Outubro","Todas","Pernambuco"
"99","Ipojuca",24,"2016","Outubro","Todas","Pernambuco"
"100","Ipubi",8,"2016","Outubro","Todas","Pernambuco"
"101","Itacuruba",1,"2016","Outubro","Todas","Pernambuco"
"102","Itambé",13,"2016","Outubro","Todas","Pernambuco"
"103","Itapetim",7,"2016","Outubro","Todas","Pernambuco"
"104","Itapissuma",7,"2016","Outubro","Todas","Pernambuco"
"105","Itaquitinga",3,"2016","Outubro","Todas","Pernambuco"
"106","Jaboatao dos Guararapes",195,"2016","Outubro","Todas","Pernambuco"
"107","Jaqueira",5,"2016","Outubro","Todas","Pernambuco"
"108","Catende",15,"2016","Outubro","Todas","Pernambuco"
"109","Cedro",5,"2016","Outubro","Todas","Pernambuco"
"110","Cha Grande",11,"2016","Outubro","Todas","Pernambuco"
"111","Chã de Alegria",1,"2016","Outubro","Todas","Pernambuco"
"112","Condado",8,"2016","Outubro","Todas","Pernambuco"
"113","Correntes",4,"2016","Outubro","Todas","Pernambuco"
"114","Cumaru",5,"2016","Outubro","Todas","Pernambuco"
"115","Cupira",9,"2016","Outubro","Todas","Pernambuco"
"116","Custódia",13,"2016","Outubro","Todas","Pernambuco"
"117","Dormentes",4,"2016","Outubro","Todas","Pernambuco"
"118","Escada",18,"2016","Outubro","Todas","Pernambuco"
"119","Exu",11,"2016","Outubro","Todas","Pernambuco"
"120","Feira Nova",2,"2016","Outubro","Todas","Pernambuco"
"121","Ferreiros",1,"2016","Outubro","Todas","Pernambuco"
"122","Flores",12,"2016","Outubro","Todas","Pernambuco"
"123","Floresta",14,"2016","Outubro","Todas","Pernambuco"
"124","Frei Miguelinho",5,"2016","Outubro","Todas","Pernambuco"
"125","Gameleira",7,"2016","Outubro","Todas","Pernambuco"
"126","Garanhuns",123,"2016","Outubro","Todas","Pernambuco"
"127","Glória do Goitá",5,"2016","Outubro","Todas","Pernambuco"
"128","Bonito",15,"2016","Outubro","Todas","Pernambuco"
"129","Brejo da Madre de Deus",10,"2016","Outubro","Todas","Pernambuco"
"130","Brejão",1,"2016","Outubro","Todas","Pernambuco"
"131","Buenos Aires",5,"2016","Outubro","Todas","Pernambuco"
"132","Buíque",13,"2016","Outubro","Todas","Pernambuco"
"133","Cabo de Santo Agostinho",66,"2016","Outubro","Todas","Pernambuco"
"134","Cabrobó",4,"2016","Outubro","Todas","Pernambuco"
"135","Cachoeirinha",8,"2016","Outubro","Todas","Pernambuco"
"136","Caetés",20,"2016","Outubro","Todas","Pernambuco"
"137","Calumbi",2,"2016","Outubro","Todas","Pernambuco"
"138","Calçado",1,"2016","Outubro","Todas","Pernambuco"
"139","Camaragibe",22,"2016","Outubro","Todas","Pernambuco"
"140","Camocim de São Félix",8,"2016","Outubro","Todas","Pernambuco"
"141","Camutanga",5,"2016","Outubro","Todas","Pernambuco"
"142","Canhotinho",13,"2016","Outubro","Todas","Pernambuco"
"143","Capoeiras",11,"2016","Outubro","Todas","Pernambuco"
"144","Carnaubeira da Penha",2,"2016","Outubro","Todas","Pernambuco"
"145","Carnaíba",3,"2016","Outubro","Todas","Pernambuco"
"146","Carpina",17,"2016","Outubro","Todas","Pernambuco"
"147","Caruaru",289,"2016","Outubro","Todas","Pernambuco"
"148","Abreu e Lima",15,"2016","Outubro","Todas","Pernambuco"
"149","Afogados da Ingazeira",15,"2016","Outubro","Todas","Pernambuco"
"150","Afrânio",5,"2016","Outubro","Todas","Pernambuco"
"151","Agrestina",15,"2016","Outubro","Todas","Pernambuco"
"152","Alagoinha",5,"2016","Outubro","Todas","Pernambuco"
"153","Aliança",8,"2016","Outubro","Todas","Pernambuco"
"154","Altinho",14,"2016","Outubro","Todas","Pernambuco"
"155","Angelim",5,"2016","Outubro","Todas","Pernambuco"
"156","Araripina",39,"2016","Outubro","Todas","Pernambuco"
"157","Araçoiaba",10,"2016","Outubro","Todas","Pernambuco"
"158","Arcoverde",63,"2016","Outubro","Todas","Pernambuco"
"159","Barra de Guabiraba",2,"2016","Outubro","Todas","Pernambuco"
"160","Barreiros",11,"2016","Outubro","Todas","Pernambuco"
"161","Belo Jardim",31,"2016","Outubro","Todas","Pernambuco"
"162","Belém de Maria",9,"2016","Outubro","Todas","Pernambuco"
"163","Belém do São Francisco",3,"2016","Outubro","Todas","Pernambuco"
"164","Betânia",5,"2016","Outubro","Todas","Pernambuco"
"165","Bezerros",12,"2016","Outubro","Todas","Pernambuco"
"166","Bodocó",13,"2016","Outubro","Todas","Pernambuco"
"167","Bom Jardim",13,"2016","Outubro","Todas","Pernambuco"
