"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vargem",2,"2016","Outubro","Todas","São Paulo"
"2","Vargem Grande Paulista",3,"2016","Outubro","Todas","São Paulo"
"3","Vargem Grande do Sul",21,"2016","Outubro","Todas","São Paulo"
"4","Varzea Paulista",21,"2016","Outubro","Todas","São Paulo"
"5","Vera Cruz",5,"2016","Outubro","Todas","São Paulo"
"6","Vinhedo",14,"2016","Outubro","Todas","São Paulo"
"7","Viradouro",7,"2016","Outubro","Todas","São Paulo"
"8","Votorantim",49,"2016","Outubro","Todas","São Paulo"
"9","Votuporanga",65,"2016","Outubro","Todas","São Paulo"
"10","Zacarias",2,"2016","Outubro","Todas","São Paulo"
"11","Águas da Prata",2,"2016","Outubro","Todas","São Paulo"
"12","Águas de Lindóia",13,"2016","Outubro","Todas","São Paulo"
"13","Álvares Florence",2,"2016","Outubro","Todas","São Paulo"
"14","Álvares Machado",9,"2016","Outubro","Todas","São Paulo"
"15","Álvaro de Carvalho",1,"2016","Outubro","Todas","São Paulo"
"16","Taubate",197,"2016","Outubro","Todas","São Paulo"
"17","Teodoro Sampaio",14,"2016","Outubro","Todas","São Paulo"
"18","Terra Roxa",2,"2016","Outubro","Todas","São Paulo"
"19","Tiete",15,"2016","Outubro","Todas","São Paulo"
"20","Timburi",1,"2016","Outubro","Todas","São Paulo"
"21","Torrinha",3,"2016","Outubro","Todas","São Paulo"
"22","Tremembé",8,"2016","Outubro","Todas","São Paulo"
"23","Três Fronteiras",3,"2016","Outubro","Todas","São Paulo"
"24","Tuiuti",1,"2016","Outubro","Todas","São Paulo"
"25","Tupa",55,"2016","Outubro","Todas","São Paulo"
"26","Tupi Paulista",13,"2016","Outubro","Todas","São Paulo"
"27","Ubatuba",32,"2016","Outubro","Todas","São Paulo"
"28","Ubirajara",1,"2016","Outubro","Todas","São Paulo"
"29","Uchoa",3,"2016","Outubro","Todas","São Paulo"
"30","Uru",1,"2016","Outubro","Todas","São Paulo"
"31","Urupês",9,"2016","Outubro","Todas","São Paulo"
"32","Urânia",7,"2016","Outubro","Todas","São Paulo"
"33","Valentim Gentil",2,"2016","Outubro","Todas","São Paulo"
"34","Valinhos",71,"2016","Outubro","Todas","São Paulo"
"35","Valparaíso",6,"2016","Outubro","Todas","São Paulo"
"36","São Pedro do Turvo",1,"2016","Outubro","Todas","São Paulo"
"37","São Roque",46,"2016","Outubro","Todas","São Paulo"
"38","São Sebastião",22,"2016","Outubro","Todas","São Paulo"
"39","São Sebastião da Grama",9,"2016","Outubro","Todas","São Paulo"
"40","São Simão",6,"2016","Outubro","Todas","São Paulo"
"41","São Vicente",123,"2016","Outubro","Todas","São Paulo"
"42","Tabapuã",4,"2016","Outubro","Todas","São Paulo"
"43","Tabatinga",8,"2016","Outubro","Todas","São Paulo"
"44","Taboão da Serra",110,"2016","Outubro","Todas","São Paulo"
"45","Taguaí",6,"2016","Outubro","Todas","São Paulo"
"46","Taiaçu",1,"2016","Outubro","Todas","São Paulo"
"47","Tambaú",10,"2016","Outubro","Todas","São Paulo"
"48","Tanabi",1,"2016","Outubro","Todas","São Paulo"
"49","Tapiratiba",2,"2016","Outubro","Todas","São Paulo"
"50","Tapiraí",5,"2016","Outubro","Todas","São Paulo"
"51","Taquaral",1,"2016","Outubro","Todas","São Paulo"
"52","Taquaritinga",24,"2016","Outubro","Todas","São Paulo"
"53","Taquarituba",14,"2016","Outubro","Todas","São Paulo"
"54","Tarabai",1,"2016","Outubro","Todas","São Paulo"
"55","Tatui",73,"2016","Outubro","Todas","São Paulo"
"56","Sud Mennucci",8,"2016","Outubro","Todas","São Paulo"
"57","Sumare",103,"2016","Outubro","Todas","São Paulo"
"58","Suzano",111,"2016","Outubro","Todas","São Paulo"
"59","São Bento do Sapucaí",10,"2016","Outubro","Todas","São Paulo"
"60","São Bernardo do Campo",304,"2016","Outubro","Todas","São Paulo"
"61","São Caetano do Sul",109,"2016","Outubro","Todas","São Paulo"
"62","São Carlos",153,"2016","Outubro","Todas","São Paulo"
"63","São Joaquim da Barra",26,"2016","Outubro","Todas","São Paulo"
"64","São José da Bela Vista",2,"2016","Outubro","Todas","São Paulo"
"65","São José do Barreiro",1,"2016","Outubro","Todas","São Paulo"
"66","São José do Rio Pardo",48,"2016","Outubro","Todas","São Paulo"
"67","São José do Rio Preto",400,"2016","Outubro","Todas","São Paulo"
"68","São José dos Campos",343,"2016","Outubro","Todas","São Paulo"
"69","São João da Boa Vista",71,"2016","Outubro","Todas","São Paulo"
"70","São Lourenço da Serra",3,"2016","Outubro","Todas","São Paulo"
"71","São Luiz do Paraitinga",16,"2016","Outubro","Todas","São Paulo"
"72","São Manuel",20,"2016","Outubro","Todas","São Paulo"
"73","São Miguel Arcanjo",15,"2016","Outubro","Todas","São Paulo"
"74","São Paulo",6839,"2016","Outubro","Todas","São Paulo"
"75","São Pedro",14,"2016","Outubro","Todas","São Paulo"
"76","Santo Anastácio",7,"2016","Outubro","Todas","São Paulo"
"77","Santo Andre",481,"2016","Outubro","Todas","São Paulo"
"78","Santo Antonio de Posse",6,"2016","Outubro","Todas","São Paulo"
"79","Santo Antônio da Alegria",5,"2016","Outubro","Todas","São Paulo"
"80","Santo Antônio do Aracanguá",2,"2016","Outubro","Todas","São Paulo"
"81","Santo Antônio do Jardim",1,"2016","Outubro","Todas","São Paulo"
"82","Santo Antônio do Pinhal",1,"2016","Outubro","Todas","São Paulo"
"83","Santos",485,"2016","Outubro","Todas","São Paulo"
"84","Santópolis do Aguapeí",3,"2016","Outubro","Todas","São Paulo"
"85","Sarapuí",2,"2016","Outubro","Todas","São Paulo"
"86","Sebastianópolis do Sul",2,"2016","Outubro","Todas","São Paulo"
"87","Serra Azul",2,"2016","Outubro","Todas","São Paulo"
"88","Serra Negra",16,"2016","Outubro","Todas","São Paulo"
"89","Serrana",9,"2016","Outubro","Todas","São Paulo"
"90","Sertãozinho",82,"2016","Outubro","Todas","São Paulo"
"91","Sete Barras",6,"2016","Outubro","Todas","São Paulo"
"92","Severínia",2,"2016","Outubro","Todas","São Paulo"
"93","Silveiras",3,"2016","Outubro","Todas","São Paulo"
"94","Socorro",27,"2016","Outubro","Todas","São Paulo"
"95","Sorocaba",412,"2016","Outubro","Todas","São Paulo"
"96","Salesopolis",5,"2016","Outubro","Todas","São Paulo"
"97","Saltinho",2,"2016","Outubro","Todas","São Paulo"
"98","Salto",49,"2016","Outubro","Todas","São Paulo"
"99","Salto Grande",1,"2016","Outubro","Todas","São Paulo"
"100","Salto de Pirapora",26,"2016","Outubro","Todas","São Paulo"
"101","Santa Adélia",6,"2016","Outubro","Todas","São Paulo"
"102","Santa Albertina",2,"2016","Outubro","Todas","São Paulo"
"103","Santa Barbara D'oeste",87,"2016","Outubro","Todas","São Paulo"
"104","Santa Branca",3,"2016","Outubro","Todas","São Paulo"
"105","Santa Cruz das Palmeiras",7,"2016","Outubro","Todas","São Paulo"
"106","Santa Cruz do Rio Pardo",38,"2016","Outubro","Todas","São Paulo"
"107","Santa Fé do Sul",33,"2016","Outubro","Todas","São Paulo"
"108","Santa Gertrudes",9,"2016","Outubro","Todas","São Paulo"
"109","Santa Isabel",30,"2016","Outubro","Todas","São Paulo"
"110","Santa Lúcia",3,"2016","Outubro","Todas","São Paulo"
"111","Santa Maria da Serra",2,"2016","Outubro","Todas","São Paulo"
"112","Santa Rita do Passa Quatro",11,"2016","Outubro","Todas","São Paulo"
"113","Santa Rosa de Viterbo",7,"2016","Outubro","Todas","São Paulo"
"114","Santana da Ponte Pensa",1,"2016","Outubro","Todas","São Paulo"
"115","Santana de Parnaíba",17,"2016","Outubro","Todas","São Paulo"
"116","Ribeirão Corrente",2,"2016","Outubro","Todas","São Paulo"
"117","Ribeirão Grande",2,"2016","Outubro","Todas","São Paulo"
"118","Ribeirão Pires",42,"2016","Outubro","Todas","São Paulo"
"119","Ribeirão Preto",474,"2016","Outubro","Todas","São Paulo"
"120","Ribeirão dos Índios",1,"2016","Outubro","Todas","São Paulo"
"121","Rifaina",1,"2016","Outubro","Todas","São Paulo"
"122","Rincão",2,"2016","Outubro","Todas","São Paulo"
"123","Rinópolis",7,"2016","Outubro","Todas","São Paulo"
"124","Rio Claro",145,"2016","Outubro","Todas","São Paulo"
"125","Rio Grande da Serra",7,"2016","Outubro","Todas","São Paulo"
"126","Rio das Pedras",5,"2016","Outubro","Todas","São Paulo"
"127","Riolândia",5,"2016","Outubro","Todas","São Paulo"
"128","Riversul",1,"2016","Outubro","Todas","São Paulo"
"129","Rosana",12,"2016","Outubro","Todas","São Paulo"
"130","Roseira",2,"2016","Outubro","Todas","São Paulo"
"131","Rubiácea",1,"2016","Outubro","Todas","São Paulo"
"132","Sabino",1,"2016","Outubro","Todas","São Paulo"
"133","Sagres",1,"2016","Outubro","Todas","São Paulo"
"134","Sales",1,"2016","Outubro","Todas","São Paulo"
"135","Sales Oliveira",1,"2016","Outubro","Todas","São Paulo"
"136","Praia Grande",168,"2016","Outubro","Todas","São Paulo"
"137","Pratânia",2,"2016","Outubro","Todas","São Paulo"
"138","Presidente Alves",1,"2016","Outubro","Todas","São Paulo"
"139","Presidente Bernardes",9,"2016","Outubro","Todas","São Paulo"
"140","Presidente Epitácio",18,"2016","Outubro","Todas","São Paulo"
"141","Presidente Prudente",259,"2016","Outubro","Todas","São Paulo"
"142","Presidente Venceslau",20,"2016","Outubro","Todas","São Paulo"
"143","Promissão",23,"2016","Outubro","Todas","São Paulo"
"144","Quadra",1,"2016","Outubro","Todas","São Paulo"
"145","Quatá",4,"2016","Outubro","Todas","São Paulo"
"146","Queluz",3,"2016","Outubro","Todas","São Paulo"
"147","Quintana",2,"2016","Outubro","Todas","São Paulo"
"148","Rancharia",20,"2016","Outubro","Todas","São Paulo"
"149","Redenção da Serra",1,"2016","Outubro","Todas","São Paulo"
"150","Regente Feijó",12,"2016","Outubro","Todas","São Paulo"
"151","Reginópolis",1,"2016","Outubro","Todas","São Paulo"
"152","Registro",39,"2016","Outubro","Todas","São Paulo"
"153","Restinga",2,"2016","Outubro","Todas","São Paulo"
"154","Ribeirão Bonito",3,"2016","Outubro","Todas","São Paulo"
"155","Ribeirão Branco",4,"2016","Outubro","Todas","São Paulo"
"156","Piraju",28,"2016","Outubro","Todas","São Paulo"
"157","Pirajuí",13,"2016","Outubro","Todas","São Paulo"
"158","Pirangi",6,"2016","Outubro","Todas","São Paulo"
"159","Pirapora do Bom Jesus",6,"2016","Outubro","Todas","São Paulo"
"160","Pirapozinho",6,"2016","Outubro","Todas","São Paulo"
"161","Pirassununga",37,"2016","Outubro","Todas","São Paulo"
"162","Piratininga",7,"2016","Outubro","Todas","São Paulo"
"163","Pitangueiras",17,"2016","Outubro","Todas","São Paulo"
"164","Poloni",2,"2016","Outubro","Todas","São Paulo"
"165","Pompéia",15,"2016","Outubro","Todas","São Paulo"
"166","Pontal",11,"2016","Outubro","Todas","São Paulo"
"167","Pontalinda",1,"2016","Outubro","Todas","São Paulo"
"168","Populina",2,"2016","Outubro","Todas","São Paulo"
"169","Porangaba",3,"2016","Outubro","Todas","São Paulo"
"170","Porto Feliz",20,"2016","Outubro","Todas","São Paulo"
"171","Porto Ferreira",18,"2016","Outubro","Todas","São Paulo"
