"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uruçuca",8,"2016","Setembro","Todas","Bahia"
"2","Vera Cruz",3,"2016","Setembro","Todas","Bahia"
"3","Xique-Xique",17,"2016","Setembro","Todas","Bahia"
"4","Remanso",12,"2016","Setembro","Todas","Bahia"
"5","Riachão do Jacuípe",16,"2016","Setembro","Todas","Bahia"
"6","Rio do Antônio",5,"2016","Setembro","Todas","Bahia"
"7","Ruy Barbosa",18,"2016","Setembro","Todas","Bahia"
"8","Salvador",597,"2016","Setembro","Todas","Bahia"
"9","Santa Bárbara",2,"2016","Setembro","Todas","Bahia"
"10","Santa Cruz Cabrália",8,"2016","Setembro","Todas","Bahia"
"11","Santa Rita de Cássia",5,"2016","Setembro","Todas","Bahia"
"12","Santo Amaro",12,"2016","Setembro","Todas","Bahia"
"13","Santo Estêvão",24,"2016","Setembro","Todas","Bahia"
"14","Saúde",7,"2016","Setembro","Todas","Bahia"
"15","Serrinha",4,"2016","Setembro","Todas","Bahia"
"16","São Felipe",7,"2016","Setembro","Todas","Bahia"
"17","São Félix",21,"2016","Setembro","Todas","Bahia"
"18","Teixeira de Freitas",103,"2016","Setembro","Todas","Bahia"
"19","Teodoro Sampaio",1,"2016","Setembro","Todas","Bahia"
"20","Terra Nova",2,"2016","Setembro","Todas","Bahia"
"21","Tremedal",1,"2016","Setembro","Todas","Bahia"
"22","Ubaitaba",4,"2016","Setembro","Todas","Bahia"
"23","Urandi",9,"2016","Setembro","Todas","Bahia"
"24","Maracás",4,"2016","Setembro","Todas","Bahia"
"25","Maragogipe",13,"2016","Setembro","Todas","Bahia"
"26","Monte Santo",19,"2016","Setembro","Todas","Bahia"
"27","Morpará",2,"2016","Setembro","Todas","Bahia"
"28","Mucuri",7,"2016","Setembro","Todas","Bahia"
"29","Muritiba",6,"2016","Setembro","Todas","Bahia"
"30","Nazaré",6,"2016","Setembro","Todas","Bahia"
"31","Nova Itarana",1,"2016","Setembro","Todas","Bahia"
"32","Palmas de Monte Alto",8,"2016","Setembro","Todas","Bahia"
"33","Paripiranga",8,"2016","Setembro","Todas","Bahia"
"34","Paulo Afonso",3,"2016","Setembro","Todas","Bahia"
"35","Pindobaçu",13,"2016","Setembro","Todas","Bahia"
"36","Piripá",5,"2016","Setembro","Todas","Bahia"
"37","Piritiba",10,"2016","Setembro","Todas","Bahia"
"38","Pojuca",13,"2016","Setembro","Todas","Bahia"
"39","Poções",31,"2016","Setembro","Todas","Bahia"
"40","Prado",17,"2016","Setembro","Todas","Bahia"
"41","Presidente Tancredo Neves",5,"2016","Setembro","Todas","Bahia"
"42","Pé de Serra",1,"2016","Setembro","Todas","Bahia"
"43","Rafael Jambeiro",4,"2016","Setembro","Todas","Bahia"
"44","Ibicaraí",8,"2016","Setembro","Todas","Bahia"
"45","Ibotirama",12,"2016","Setembro","Todas","Bahia"
"46","Ichu",1,"2016","Setembro","Todas","Bahia"
"47","Ilheus",80,"2016","Setembro","Todas","Bahia"
