"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",386,"2016","Setembro","Todas","Distrito Federal"
"2","Brazlândia",25,"2016","Setembro","Todas","Distrito Federal"
"3","Ceilandia",66,"2016","Setembro","Todas","Distrito Federal"
"4","Gama",131,"2016","Setembro","Todas","Distrito Federal"
"5","Guará",234,"2016","Setembro","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",30,"2016","Setembro","Todas","Distrito Federal"
"7","Paranoá",45,"2016","Setembro","Todas","Distrito Federal"
"8","Planaltina",32,"2016","Setembro","Todas","Distrito Federal"
"9","Samambaia",49,"2016","Setembro","Todas","Distrito Federal"
"10","Sobradinho",43,"2016","Setembro","Todas","Distrito Federal"
"11","Taguatinga",126,"2016","Setembro","Todas","Distrito Federal"
