"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Rio Verde",71,"2016","Setembro","Todas","Goiás"
"2","Sanclerlândia",1,"2016","Setembro","Todas","Goiás"
"3","Santa Terezinha de Goiás",3,"2016","Setembro","Todas","Goiás"
"4","Santo Antônio de Goiás",2,"2016","Setembro","Todas","Goiás"
"5","Santo Antônio do Descoberto",11,"2016","Setembro","Todas","Goiás"
"6","São Francisco de Goiás",1,"2016","Setembro","Todas","Goiás"
"7","São João D'aliança",5,"2016","Setembro","Todas","Goiás"
"8","Teresina de Goiás",3,"2016","Setembro","Todas","Goiás"
"9","Terezópolis de Goiás",3,"2016","Setembro","Todas","Goiás"
"10","Turvânia",5,"2016","Setembro","Todas","Goiás"
"11","Uruaçu",20,"2016","Setembro","Todas","Goiás"
"12","Valparaíso de Goiás",21,"2016","Setembro","Todas","Goiás"
"13","Vianópolis",11,"2016","Setembro","Todas","Goiás"
"14","Vicentinópolis",4,"2016","Setembro","Todas","Goiás"
"15","Águas Lindas de Goiás",22,"2016","Setembro","Todas","Goiás"
"16","Itumbiara",8,"2016","Setembro","Todas","Goiás"
"17","Jaraguá",11,"2016","Setembro","Todas","Goiás"
"18","Mara Rosa",7,"2016","Setembro","Todas","Goiás"
"19","Matrinchã",1,"2016","Setembro","Todas","Goiás"
"20","Maurilândia",4,"2016","Setembro","Todas","Goiás"
"21","Mineiros",21,"2016","Setembro","Todas","Goiás"
"22","Morrinhos",19,"2016","Setembro","Todas","Goiás"
"23","Nazário",3,"2016","Setembro","Todas","Goiás"
"24","Niquelandia",16,"2016","Setembro","Todas","Goiás"
"25","Nova Gloria",6,"2016","Setembro","Todas","Goiás"
"26","Nova Veneza",3,"2016","Setembro","Todas","Goiás"
"27","Novo Gama",15,"2016","Setembro","Todas","Goiás"
"28","Palmeiras de Goiás",7,"2016","Setembro","Todas","Goiás"
"29","Pilar de Goiás",4,"2016","Setembro","Todas","Goiás"
"30","Piracanjuba",4,"2016","Setembro","Todas","Goiás"
"31","Planaltina",15,"2016","Setembro","Todas","Goiás"
"32","Pontalina",7,"2016","Setembro","Todas","Goiás"
"33","Porangatu",26,"2016","Setembro","Todas","Goiás"
"34","Professor Jamil",2,"2016","Setembro","Todas","Goiás"
"35","Rialma",1,"2016","Setembro","Todas","Goiás"
"36","Ceres",33,"2016","Setembro","Todas","Goiás"
"37","Cezarina",1,"2016","Setembro","Todas","Goiás"
"38","Cidade Ocidental",11,"2016","Setembro","Todas","Goiás"
"39","Cocalzinho de Goias",6,"2016","Setembro","Todas","Goiás"
"40","Corumbá de Goiás",2,"2016","Setembro","Todas","Goiás"
"41","Cristalina",11,"2016","Setembro","Todas","Goiás"
"42","Cristianópolis",1,"2016","Setembro","Todas","Goiás"
"43","Cromínia",1,"2016","Setembro","Todas","Goiás"
"44","Córrego do Ouro",2,"2016","Setembro","Todas","Goiás"
"45","Fazenda Nova",1,"2016","Setembro","Todas","Goiás"
"46","Formosa",48,"2016","Setembro","Todas","Goiás"
"47","Formoso",2,"2016","Setembro","Todas","Goiás"
"48","Goianira",6,"2016","Setembro","Todas","Goiás"
"49","Goianésia",23,"2016","Setembro","Todas","Goiás"
"50","Goiânia",1062,"2016","Setembro","Todas","Goiás"
"51","Iaciara",1,"2016","Setembro","Todas","Goiás"
"52","Inaciolândia",1,"2016","Setembro","Todas","Goiás"
"53","Ipiranga de Goiás",1,"2016","Setembro","Todas","Goiás"
"54","Iporá",1,"2016","Setembro","Todas","Goiás"
"55","Itapirapuã",1,"2016","Setembro","Todas","Goiás"
"56","Abadia de Goiás",1,"2016","Setembro","Todas","Goiás"
"57","Abadiânia",13,"2016","Setembro","Todas","Goiás"
"58","Alexania",9,"2016","Setembro","Todas","Goiás"
"59","Aloândia",1,"2016","Setembro","Todas","Goiás"
"60","Anapolis",220,"2016","Setembro","Todas","Goiás"
"61","Aparecida de Goiania",154,"2016","Setembro","Todas","Goiás"
"62","Aparecida do Rio Doce",2,"2016","Setembro","Todas","Goiás"
"63","Aragarças",1,"2016","Setembro","Todas","Goiás"
"64","Aragoiânia",3,"2016","Setembro","Todas","Goiás"
"65","Aruanã",4,"2016","Setembro","Todas","Goiás"
"66","Barro Alto",4,"2016","Setembro","Todas","Goiás"
"67","Bela Vista de Goiás",12,"2016","Setembro","Todas","Goiás"
"68","Buriti Alegre",7,"2016","Setembro","Todas","Goiás"
"69","Cachoeira Dourada",4,"2016","Setembro","Todas","Goiás"
"70","Caiapônia",1,"2016","Setembro","Todas","Goiás"
"71","Caldas Novas",27,"2016","Setembro","Todas","Goiás"
"72","Caldazinha",1,"2016","Setembro","Todas","Goiás"
"73","Campo Alegre de Goiás",2,"2016","Setembro","Todas","Goiás"
"74","Castelândia",1,"2016","Setembro","Todas","Goiás"
"75","Catalao",58,"2016","Setembro","Todas","Goiás"
