"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José dos Quatro Marcos",7,"2016","Setembro","Todas","Mato Grosso"
"2","Tangará da Serra",54,"2016","Setembro","Todas","Mato Grosso"
"3","Tapurah",4,"2016","Setembro","Todas","Mato Grosso"
"4","Terra Nova do Norte",3,"2016","Setembro","Todas","Mato Grosso"
"5","Torixoréu",1,"2016","Setembro","Todas","Mato Grosso"
"6","União do Sul",1,"2016","Setembro","Todas","Mato Grosso"
"7","Varzea Grande",26,"2016","Setembro","Todas","Mato Grosso"
"8","Vera",1,"2016","Setembro","Todas","Mato Grosso"
"9","Vila Bela da Santíssima Trindade",2,"2016","Setembro","Todas","Mato Grosso"
"10","Vila Rica",12,"2016","Setembro","Todas","Mato Grosso"
"11","Água Boa",12,"2016","Setembro","Todas","Mato Grosso"
"12","Paranaíta",4,"2016","Setembro","Todas","Mato Grosso"
"13","Pedra Preta",6,"2016","Setembro","Todas","Mato Grosso"
"14","Peixoto de Azevedo",9,"2016","Setembro","Todas","Mato Grosso"
"15","Pontal do Araguaia",1,"2016","Setembro","Todas","Mato Grosso"
"16","Pontes e Lacerda",14,"2016","Setembro","Todas","Mato Grosso"
"17","Porto Alegre do Norte",1,"2016","Setembro","Todas","Mato Grosso"
"18","Porto dos Gaúchos",2,"2016","Setembro","Todas","Mato Grosso"
"19","Poxoréo",1,"2016","Setembro","Todas","Mato Grosso"
"20","Primavera do Leste",21,"2016","Setembro","Todas","Mato Grosso"
"21","Ribeirão Cascalheira",3,"2016","Setembro","Todas","Mato Grosso"
"22","Rondonópolis",133,"2016","Setembro","Todas","Mato Grosso"
"23","Rosário Oeste",5,"2016","Setembro","Todas","Mato Grosso"
"24","Santa Rita do Trivelato",1,"2016","Setembro","Todas","Mato Grosso"
"25","Santa Terezinha",4,"2016","Setembro","Todas","Mato Grosso"
"26","Santo Antônio do Leverger",4,"2016","Setembro","Todas","Mato Grosso"
"27","Sapezal",2,"2016","Setembro","Todas","Mato Grosso"
"28","Sinop",75,"2016","Setembro","Todas","Mato Grosso"
"29","Sorriso",53,"2016","Setembro","Todas","Mato Grosso"
"30","São Félix do Araguaia",6,"2016","Setembro","Todas","Mato Grosso"
"31","São José do Povo",1,"2016","Setembro","Todas","Mato Grosso"
"32","Lucas do Rio Verde",10,"2016","Setembro","Todas","Mato Grosso"
