"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Geraldo do Araguaia",15,"2016","Setembro","Todas","Pará"
"2","São João do Araguaia",4,"2016","Setembro","Todas","Pará"
"3","Tucumã",8,"2016","Setembro","Todas","Pará"
"4","Uruará",9,"2016","Setembro","Todas","Pará"
"5","Vigia",7,"2016","Setembro","Todas","Pará"
"6","Xinguara",11,"2016","Setembro","Todas","Pará"
"7","Abaetetuba",1,"2016","Setembro","Todas","Pará"
"8","Altamira",61,"2016","Setembro","Todas","Pará"
"9","Aurora do Pará",2,"2016","Setembro","Todas","Pará"
"10","Barcarena",8,"2016","Setembro","Todas","Pará"
"11","Belém",10,"2016","Setembro","Todas","Pará"
"12","Canaã dos Carajás",6,"2016","Setembro","Todas","Pará"
"13","Dom Eliseu",8,"2016","Setembro","Todas","Pará"
"14","Ipixuna do Para",4,"2016","Setembro","Todas","Pará"
"15","Monte Alegre",13,"2016","Setembro","Todas","Pará"
"16","Novo Progresso",12,"2016","Setembro","Todas","Pará"
"17","Novo Repartimento",16,"2016","Setembro","Todas","Pará"
"18","Pacajá",15,"2016","Setembro","Todas","Pará"
"19","Paragominas",52,"2016","Setembro","Todas","Pará"
"20","Parauapebas",37,"2016","Setembro","Todas","Pará"
"21","Rio Maria",10,"2016","Setembro","Todas","Pará"
"22","Rondon do Pará",9,"2016","Setembro","Todas","Pará"
"23","Santarem",167,"2016","Setembro","Todas","Pará"
"24","São Domingos do Araguaia",6,"2016","Setembro","Todas","Pará"
"25","São Domingos do Capim",6,"2016","Setembro","Todas","Pará"
"26","São Félix do Xingu",13,"2016","Setembro","Todas","Pará"
