"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Varre-Sai",1,"2017","Abril","Todas","Rio de Janeiro"
"2","Volta Redonda",63,"2017","Abril","Todas","Rio de Janeiro"
"3","Niteroi",35,"2017","Abril","Todas","Rio de Janeiro"
"4","Nova Iguaçu",2,"2017","Abril","Todas","Rio de Janeiro"
"5","Paraiba do Sul",19,"2017","Abril","Todas","Rio de Janeiro"
"6","Parati",1,"2017","Abril","Todas","Rio de Janeiro"
"7","Petropolis",1,"2017","Abril","Todas","Rio de Janeiro"
"8","Porciúncula",1,"2017","Abril","Todas","Rio de Janeiro"
"9","Quatis",1,"2017","Abril","Todas","Rio de Janeiro"
"10","Quissamã",1,"2017","Abril","Todas","Rio de Janeiro"
"11","Resende",1,"2017","Abril","Todas","Rio de Janeiro"
"12","Rio Claro",2,"2017","Abril","Todas","Rio de Janeiro"
"13","Rio das Ostras",35,"2017","Abril","Todas","Rio de Janeiro"
"14","Rio de Janeiro",602,"2017","Abril","Todas","Rio de Janeiro"
"15","Santo Antônio de Pádua",1,"2017","Abril","Todas","Rio de Janeiro"
"16","Saquarema",9,"2017","Abril","Todas","Rio de Janeiro"
"17","Seropedica",34,"2017","Abril","Todas","Rio de Janeiro"
"18","Sumidouro",3,"2017","Abril","Todas","Rio de Janeiro"
"19","São José do Vale do Rio Preto",2,"2017","Abril","Todas","Rio de Janeiro"
"20","São João de Meriti",195,"2017","Abril","Todas","Rio de Janeiro"
"21","Tanguá",7,"2017","Abril","Todas","Rio de Janeiro"
"22","Valença",34,"2017","Abril","Todas","Rio de Janeiro"
"23","Angra dos Reis",8,"2017","Abril","Todas","Rio de Janeiro"
"24","Aperibé",6,"2017","Abril","Todas","Rio de Janeiro"
"25","Armação dos Búzios",4,"2017","Abril","Todas","Rio de Janeiro"
"26","Bom Jardim",8,"2017","Abril","Todas","Rio de Janeiro"
"27","Cabo Frio",2,"2017","Abril","Todas","Rio de Janeiro"
"28","Cachoeiras de Macacu",1,"2017","Abril","Todas","Rio de Janeiro"
"29","Campos dos Goytacazes",15,"2017","Abril","Todas","Rio de Janeiro"
"30","Cantagalo",1,"2017","Abril","Todas","Rio de Janeiro"
"31","Casimiro de Abreu",8,"2017","Abril","Todas","Rio de Janeiro"
"32","Cordeiro",1,"2017","Abril","Todas","Rio de Janeiro"
"33","Duque de Caxias",27,"2017","Abril","Todas","Rio de Janeiro"
"34","Guapimirim",2,"2017","Abril","Todas","Rio de Janeiro"
"35","Itaborai",62,"2017","Abril","Todas","Rio de Janeiro"
"36","Itatiaia",12,"2017","Abril","Todas","Rio de Janeiro"
"37","Japeri",21,"2017","Abril","Todas","Rio de Janeiro"
"38","Macae",101,"2017","Abril","Todas","Rio de Janeiro"
"39","Maricá",2,"2017","Abril","Todas","Rio de Janeiro"
"40","Miguel Pereira",24,"2017","Abril","Todas","Rio de Janeiro"
"41","Natividade",2,"2017","Abril","Todas","Rio de Janeiro"
"42","Nilópolis",1,"2017","Abril","Todas","Rio de Janeiro"
