"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santana do São Francisco",3,"2017","Abril","Todas","Sergipe"
"2","Simão Dias",5,"2017","Abril","Todas","Sergipe"
"3","Siriri",2,"2017","Abril","Todas","Sergipe"
"4","São Cristóvão",2,"2017","Abril","Todas","Sergipe"
"5","São Domingos",5,"2017","Abril","Todas","Sergipe"
"6","São Miguel do Aleixo",1,"2017","Abril","Todas","Sergipe"
"7","Telha",1,"2017","Abril","Todas","Sergipe"
"8","Tobias Barreto",13,"2017","Abril","Todas","Sergipe"
"9","Umbaúba",7,"2017","Abril","Todas","Sergipe"
"10","Lagarto",43,"2017","Abril","Todas","Sergipe"
"11","Laranjeiras",6,"2017","Abril","Todas","Sergipe"
"12","Malhador",1,"2017","Abril","Todas","Sergipe"
"13","Maruim",3,"2017","Abril","Todas","Sergipe"
"14","Muribeca",1,"2017","Abril","Todas","Sergipe"
"15","Neópolis",17,"2017","Abril","Todas","Sergipe"
"16","Nossa Senhora Aparecida",1,"2017","Abril","Todas","Sergipe"
"17","Nossa Senhora da Glória",15,"2017","Abril","Todas","Sergipe"
"18","Nossa Senhora das Dores",6,"2017","Abril","Todas","Sergipe"
"19","Nossa Senhora do Socorro",78,"2017","Abril","Todas","Sergipe"
"20","Pedrinhas",2,"2017","Abril","Todas","Sergipe"
"21","Porto da Folha",5,"2017","Abril","Todas","Sergipe"
"22","Poço Redondo",9,"2017","Abril","Todas","Sergipe"
"23","Poço Verde",11,"2017","Abril","Todas","Sergipe"
"24","Propriá",21,"2017","Abril","Todas","Sergipe"
"25","Riachão do Dantas",7,"2017","Abril","Todas","Sergipe"
"26","Ribeirópolis",8,"2017","Abril","Todas","Sergipe"
"27","Rosario do Catete",2,"2017","Abril","Todas","Sergipe"
"28","Salgado",1,"2017","Abril","Todas","Sergipe"
"29","Santa Luzia do Itanhy",1,"2017","Abril","Todas","Sergipe"
"30","Aquidabã",10,"2017","Abril","Todas","Sergipe"
"31","Aracaju",473,"2017","Abril","Todas","Sergipe"
"32","Areia Branca",3,"2017","Abril","Todas","Sergipe"
"33","Barra dos Coqueiros",9,"2017","Abril","Todas","Sergipe"
"34","Boquim",6,"2017","Abril","Todas","Sergipe"
"35","Campo do Brito",5,"2017","Abril","Todas","Sergipe"
"36","Canindé de São Francisco",8,"2017","Abril","Todas","Sergipe"
"37","Carmopolis",2,"2017","Abril","Todas","Sergipe"
"38","Cumbe",1,"2017","Abril","Todas","Sergipe"
"39","Divina Pastora",1,"2017","Abril","Todas","Sergipe"
"40","Estância",38,"2017","Abril","Todas","Sergipe"
"41","Frei Paulo",5,"2017","Abril","Todas","Sergipe"
"42","Gararu",3,"2017","Abril","Todas","Sergipe"
"43","Ilha das Flores",1,"2017","Abril","Todas","Sergipe"
"44","Indiaroba",3,"2017","Abril","Todas","Sergipe"
"45","Itabaiana",52,"2017","Abril","Todas","Sergipe"
"46","Itabaianinha",6,"2017","Abril","Todas","Sergipe"
"47","Itaporanga D'ajuda",9,"2017","Abril","Todas","Sergipe"
"48","Japaratuba",2,"2017","Abril","Todas","Sergipe"
"49","Japoatã",4,"2017","Abril","Todas","Sergipe"
