"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tururu",5,"2017","Agosto","Todas","Ceará"
"2","Ubajara",6,"2017","Agosto","Todas","Ceará"
"3","Uruoca",3,"2017","Agosto","Todas","Ceará"
"4","Viçosa do Ceará",7,"2017","Agosto","Todas","Ceará"
"5","Várzea Alegre",14,"2017","Agosto","Todas","Ceará"
"6","Pedra Branca",4,"2017","Agosto","Todas","Ceará"
"7","Penaforte",1,"2017","Agosto","Todas","Ceará"
"8","Pereiro",1,"2017","Agosto","Todas","Ceará"
"9","Piquet Carneiro",14,"2017","Agosto","Todas","Ceará"
"10","Quixadá",33,"2017","Agosto","Todas","Ceará"
"11","Quixeramobim",35,"2017","Agosto","Todas","Ceará"
"12","Quixere",9,"2017","Agosto","Todas","Ceará"
"13","Russas",35,"2017","Agosto","Todas","Ceará"
"14","Salitre",6,"2017","Agosto","Todas","Ceará"
"15","Santa Quitéria",12,"2017","Agosto","Todas","Ceará"
"16","Santana do Acaraú",6,"2017","Agosto","Todas","Ceará"
"17","Senador Pompeu",16,"2017","Agosto","Todas","Ceará"
"18","Sobral",84,"2017","Agosto","Todas","Ceará"
"19","São Benedito",15,"2017","Agosto","Todas","Ceará"
"20","São Gonçalo do Amarante",1,"2017","Agosto","Todas","Ceará"
"21","São João do Jaguaribe",3,"2017","Agosto","Todas","Ceará"
"22","Tabuleiro do Norte",13,"2017","Agosto","Todas","Ceará"
"23","Tauá",38,"2017","Agosto","Todas","Ceará"
"24","Tianguá",4,"2017","Agosto","Todas","Ceará"
"25","Trairi",12,"2017","Agosto","Todas","Ceará"
"26","Juazeiro do Norte",199,"2017","Agosto","Todas","Ceará"
"27","Lavras da Mangabeira",18,"2017","Agosto","Todas","Ceará"
"28","Limoeiro do Norte",25,"2017","Agosto","Todas","Ceará"
"29","Madalena",12,"2017","Agosto","Todas","Ceará"
"30","Maracanau",113,"2017","Agosto","Todas","Ceará"
"31","Maranguape",38,"2017","Agosto","Todas","Ceará"
"32","Marco",5,"2017","Agosto","Todas","Ceará"
"33","Milhã",5,"2017","Agosto","Todas","Ceará"
"34","Morada Nova",23,"2017","Agosto","Todas","Ceará"
"35","Morrinhos",1,"2017","Agosto","Todas","Ceará"
"36","Mulungu",4,"2017","Agosto","Todas","Ceará"
"37","Nova Russas",10,"2017","Agosto","Todas","Ceará"
"38","Novo Oriente",9,"2017","Agosto","Todas","Ceará"
"39","Ocara",9,"2017","Agosto","Todas","Ceará"
"40","Orós",1,"2017","Agosto","Todas","Ceará"
"41","Pacatuba",28,"2017","Agosto","Todas","Ceará"
"42","Palhano",4,"2017","Agosto","Todas","Ceará"
"43","Palmácia",3,"2017","Agosto","Todas","Ceará"
"44","Paracuru",11,"2017","Agosto","Todas","Ceará"
"45","Paraipaba",16,"2017","Agosto","Todas","Ceará"
"46","Farias Brito",5,"2017","Agosto","Todas","Ceará"
"47","Forquilha",12,"2017","Agosto","Todas","Ceará"
"48","Fortaleza",1712,"2017","Agosto","Todas","Ceará"
"49","Fortim",3,"2017","Agosto","Todas","Ceará"
"50","Granja",7,"2017","Agosto","Todas","Ceará"
"51","Guaramiranga",1,"2017","Agosto","Todas","Ceará"
"52","Hidrolândia",1,"2017","Agosto","Todas","Ceará"
"53","Horizonte",23,"2017","Agosto","Todas","Ceará"
"54","Ibiapina",16,"2017","Agosto","Todas","Ceará"
"55","Iguatu",66,"2017","Agosto","Todas","Ceará"
"56","Independência",2,"2017","Agosto","Todas","Ceará"
"57","Ipaporanga",5,"2017","Agosto","Todas","Ceará"
"58","Ipaumirim",3,"2017","Agosto","Todas","Ceará"
"59","Irauçuba",7,"2017","Agosto","Todas","Ceará"
"60","Itapiúna",5,"2017","Agosto","Todas","Ceará"
"61","Itarema",14,"2017","Agosto","Todas","Ceará"
"62","Jaguaretama",8,"2017","Agosto","Todas","Ceará"
"63","Jaguaribe",16,"2017","Agosto","Todas","Ceará"
"64","Jaguaruana",12,"2017","Agosto","Todas","Ceará"
"65","Jati",7,"2017","Agosto","Todas","Ceará"
"66","Acarapé",3,"2017","Agosto","Todas","Ceará"
"67","Acaraú",15,"2017","Agosto","Todas","Ceará"
"68","Alto Santo",6,"2017","Agosto","Todas","Ceará"
"69","Aracati",46,"2017","Agosto","Todas","Ceará"
"70","Ararendá",6,"2017","Agosto","Todas","Ceará"
"71","Araripe",8,"2017","Agosto","Todas","Ceará"
"72","Aratuba",1,"2017","Agosto","Todas","Ceará"
"73","Barbalha",77,"2017","Agosto","Todas","Ceará"
"74","Barreira",4,"2017","Agosto","Todas","Ceará"
"75","Beberibe",18,"2017","Agosto","Todas","Ceará"
"76","Campos Sales",15,"2017","Agosto","Todas","Ceará"
"77","Canindé",37,"2017","Agosto","Todas","Ceará"
"78","Capistrano",4,"2017","Agosto","Todas","Ceará"
"79","Carnaubal",12,"2017","Agosto","Todas","Ceará"
"80","Caucaia",19,"2017","Agosto","Todas","Ceará"
"81","Cedro",14,"2017","Agosto","Todas","Ceará"
"82","Choró",3,"2017","Agosto","Todas","Ceará"
"83","Coreaú",2,"2017","Agosto","Todas","Ceará"
"84","Crato",59,"2017","Agosto","Todas","Ceará"
"85","Cruz",8,"2017","Agosto","Todas","Ceará"
