"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",235,"2017","Agosto","Todas","Distrito Federal"
"2","Brazlândia",24,"2017","Agosto","Todas","Distrito Federal"
"3","Ceilandia",142,"2017","Agosto","Todas","Distrito Federal"
"4","Gama",156,"2017","Agosto","Todas","Distrito Federal"
"5","Guará",222,"2017","Agosto","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",192,"2017","Agosto","Todas","Distrito Federal"
"7","Paranoá",57,"2017","Agosto","Todas","Distrito Federal"
"8","Planaltina",33,"2017","Agosto","Todas","Distrito Federal"
"9","Samambaia",42,"2017","Agosto","Todas","Distrito Federal"
"10","Sobradinho",49,"2017","Agosto","Todas","Distrito Federal"
"11","Taguatinga",138,"2017","Agosto","Todas","Distrito Federal"
