"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Nioaque",6,"2017","Agosto","Todas","Mato Grosso do Sul"
"2","Nova Alvorada do Sul",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"3","Novo Horizonte do Sul",2,"2017","Agosto","Todas","Mato Grosso do Sul"
"4","Paranaiba",30,"2017","Agosto","Todas","Mato Grosso do Sul"
"5","Paraíso das Águas",3,"2017","Agosto","Todas","Mato Grosso do Sul"
"6","Pedro Gomes",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"7","Ponta Porã",43,"2017","Agosto","Todas","Mato Grosso do Sul"
"8","Ribas do Rio Pardo",12,"2017","Agosto","Todas","Mato Grosso do Sul"
"9","Rio Brilhante",14,"2017","Agosto","Todas","Mato Grosso do Sul"
"10","Rio Negro",4,"2017","Agosto","Todas","Mato Grosso do Sul"
"11","Rochedo",4,"2017","Agosto","Todas","Mato Grosso do Sul"
"12","Santa Rita do Pardo",2,"2017","Agosto","Todas","Mato Grosso do Sul"
"13","Sidrolândia",12,"2017","Agosto","Todas","Mato Grosso do Sul"
"14","Sonora",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"15","São Gabriel do Oeste",7,"2017","Agosto","Todas","Mato Grosso do Sul"
"16","Taquarussu",1,"2017","Agosto","Todas","Mato Grosso do Sul"
"17","Terenos",11,"2017","Agosto","Todas","Mato Grosso do Sul"
"18","Três Lagoas",78,"2017","Agosto","Todas","Mato Grosso do Sul"
"19","Vicentina",1,"2017","Agosto","Todas","Mato Grosso do Sul"
"20","Água Clara",3,"2017","Agosto","Todas","Mato Grosso do Sul"
"21","Costa Rica",7,"2017","Agosto","Todas","Mato Grosso do Sul"
"22","Coxim",7,"2017","Agosto","Todas","Mato Grosso do Sul"
"23","Deodápolis",3,"2017","Agosto","Todas","Mato Grosso do Sul"
"24","Dois Irmãos do Buriti",4,"2017","Agosto","Todas","Mato Grosso do Sul"
"25","Douradina",1,"2017","Agosto","Todas","Mato Grosso do Sul"
"26","Dourados",194,"2017","Agosto","Todas","Mato Grosso do Sul"
"27","Eldorado",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"28","Guia Lopes da Laguna",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"29","Iguatemi",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"30","Itaporã",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"31","Itaquiraí",7,"2017","Agosto","Todas","Mato Grosso do Sul"
"32","Ivinhema",17,"2017","Agosto","Todas","Mato Grosso do Sul"
"33","Japorã",1,"2017","Agosto","Todas","Mato Grosso do Sul"
"34","Jardim",6,"2017","Agosto","Todas","Mato Grosso do Sul"
"35","Juti",3,"2017","Agosto","Todas","Mato Grosso do Sul"
"36","Ladario",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"37","Laguna Carapã",2,"2017","Agosto","Todas","Mato Grosso do Sul"
"38","Miranda",12,"2017","Agosto","Todas","Mato Grosso do Sul"
"39","Mundo Novo",7,"2017","Agosto","Todas","Mato Grosso do Sul"
"40","Naviraí",22,"2017","Agosto","Todas","Mato Grosso do Sul"
"41","Alcinópolis",2,"2017","Agosto","Todas","Mato Grosso do Sul"
"42","Amambaí",23,"2017","Agosto","Todas","Mato Grosso do Sul"
"43","Anastácio",6,"2017","Agosto","Todas","Mato Grosso do Sul"
"44","Anaurilândia",2,"2017","Agosto","Todas","Mato Grosso do Sul"
"45","Angélica",4,"2017","Agosto","Todas","Mato Grosso do Sul"
"46","Antônio João",1,"2017","Agosto","Todas","Mato Grosso do Sul"
"47","Aparecida do Taboado",7,"2017","Agosto","Todas","Mato Grosso do Sul"
"48","Aquidauana",26,"2017","Agosto","Todas","Mato Grosso do Sul"
"49","Aral Moreira",4,"2017","Agosto","Todas","Mato Grosso do Sul"
"50","Bataguassu",6,"2017","Agosto","Todas","Mato Grosso do Sul"
"51","Batayporã",2,"2017","Agosto","Todas","Mato Grosso do Sul"
"52","Bela Vista",10,"2017","Agosto","Todas","Mato Grosso do Sul"
"53","Bodoquena",3,"2017","Agosto","Todas","Mato Grosso do Sul"
"54","Bonito",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"55","Brasilândia",4,"2017","Agosto","Todas","Mato Grosso do Sul"
"56","Caarapo",5,"2017","Agosto","Todas","Mato Grosso do Sul"
"57","Camapuã",8,"2017","Agosto","Todas","Mato Grosso do Sul"
"58","Campo Grande",601,"2017","Agosto","Todas","Mato Grosso do Sul"
"59","Corguinho",1,"2017","Agosto","Todas","Mato Grosso do Sul"
"60","Corumba",70,"2017","Agosto","Todas","Mato Grosso do Sul"
