"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Lagoa Nova",4,"2017","Agosto","Todas","Rio Grande do Norte"
"2","Lagoa de Velhos",1,"2017","Agosto","Todas","Rio Grande do Norte"
"3","Mossoró",203,"2017","Agosto","Todas","Rio Grande do Norte"
"4","Natal",243,"2017","Agosto","Todas","Rio Grande do Norte"
"5","Nísia Floresta",10,"2017","Agosto","Todas","Rio Grande do Norte"
"6","Parelhas",8,"2017","Agosto","Todas","Rio Grande do Norte"
"7","Parnamirim",79,"2017","Agosto","Todas","Rio Grande do Norte"
"8","Riachuelo",3,"2017","Agosto","Todas","Rio Grande do Norte"
"9","Santa Maria",2,"2017","Agosto","Todas","Rio Grande do Norte"
"10","Serra do Mel",3,"2017","Agosto","Todas","Rio Grande do Norte"
"11","São Gonçalo do Amarante",39,"2017","Agosto","Todas","Rio Grande do Norte"
"12","São José do Campestre",4,"2017","Agosto","Todas","Rio Grande do Norte"
"13","Sítio Novo",2,"2017","Agosto","Todas","Rio Grande do Norte"
"14","Taipu",3,"2017","Agosto","Todas","Rio Grande do Norte"
"15","Tangará",3,"2017","Agosto","Todas","Rio Grande do Norte"
"16","Tibau",1,"2017","Agosto","Todas","Rio Grande do Norte"
"17","Touros",16,"2017","Agosto","Todas","Rio Grande do Norte"
"18","Upanema",6,"2017","Agosto","Todas","Rio Grande do Norte"
"19","Vera Cruz",3,"2017","Agosto","Todas","Rio Grande do Norte"
"20","Angicos",4,"2017","Agosto","Todas","Rio Grande do Norte"
"21","Apodi",11,"2017","Agosto","Todas","Rio Grande do Norte"
"22","Açu",10,"2017","Agosto","Todas","Rio Grande do Norte"
"23","Baraúna",3,"2017","Agosto","Todas","Rio Grande do Norte"
"24","Baía Formosa",2,"2017","Agosto","Todas","Rio Grande do Norte"
"25","Bento Fernandes",2,"2017","Agosto","Todas","Rio Grande do Norte"
"26","Caicó",10,"2017","Agosto","Todas","Rio Grande do Norte"
"27","Caiçara do Rio do Vento",2,"2017","Agosto","Todas","Rio Grande do Norte"
"28","Canguaretama",13,"2017","Agosto","Todas","Rio Grande do Norte"
"29","Caraúbas",9,"2017","Agosto","Todas","Rio Grande do Norte"
"30","Carnaubais",3,"2017","Agosto","Todas","Rio Grande do Norte"
"31","Ceará-Mirim",44,"2017","Agosto","Todas","Rio Grande do Norte"
"32","Coronel Ezequiel",2,"2017","Agosto","Todas","Rio Grande do Norte"
"33","Currais Novos",34,"2017","Agosto","Todas","Rio Grande do Norte"
"34","Equador",3,"2017","Agosto","Todas","Rio Grande do Norte"
"35","Florânia",6,"2017","Agosto","Todas","Rio Grande do Norte"
"36","Grossos",3,"2017","Agosto","Todas","Rio Grande do Norte"
"37","Jandaíra",4,"2017","Agosto","Todas","Rio Grande do Norte"
"38","Jardim de Angicos",1,"2017","Agosto","Todas","Rio Grande do Norte"
"39","Jucurutu",4,"2017","Agosto","Todas","Rio Grande do Norte"
