"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vacaria",2,"2017","Agosto","Todas","Rio Grande do Sul"
"2","Vale do Sol",7,"2017","Agosto","Todas","Rio Grande do Sul"
"3","Venâncio Aires",78,"2017","Agosto","Todas","Rio Grande do Sul"
"4","Vera Cruz",15,"2017","Agosto","Todas","Rio Grande do Sul"
"5","Veranopolis",1,"2017","Agosto","Todas","Rio Grande do Sul"
"6","Viamao",4,"2017","Agosto","Todas","Rio Grande do Sul"
"7","Vila Maria",2,"2017","Agosto","Todas","Rio Grande do Sul"
"8","São Valentim",4,"2017","Agosto","Todas","Rio Grande do Sul"
"9","São Vicente do Sul",4,"2017","Agosto","Todas","Rio Grande do Sul"
"10","Tapejara",20,"2017","Agosto","Todas","Rio Grande do Sul"
"11","Tapes",7,"2017","Agosto","Todas","Rio Grande do Sul"
"12","Taquara",5,"2017","Agosto","Todas","Rio Grande do Sul"
"13","Tavares",1,"2017","Agosto","Todas","Rio Grande do Sul"
"14","Tenente Portela",31,"2017","Agosto","Todas","Rio Grande do Sul"
"15","Terra de Areia",3,"2017","Agosto","Todas","Rio Grande do Sul"
"16","Teutônia",13,"2017","Agosto","Todas","Rio Grande do Sul"
"17","Tiradentes do Sul",1,"2017","Agosto","Todas","Rio Grande do Sul"
"18","Torres",1,"2017","Agosto","Todas","Rio Grande do Sul"
"19","Tramandaí",54,"2017","Agosto","Todas","Rio Grande do Sul"
"20","Triunfo",11,"2017","Agosto","Todas","Rio Grande do Sul"
"21","Três Cachoeiras",4,"2017","Agosto","Todas","Rio Grande do Sul"
"22","Três Coroas",13,"2017","Agosto","Todas","Rio Grande do Sul"
"23","Três Passos",31,"2017","Agosto","Todas","Rio Grande do Sul"
"24","Três de Maio",23,"2017","Agosto","Todas","Rio Grande do Sul"
"25","Tupanciretã",11,"2017","Agosto","Todas","Rio Grande do Sul"
"26","Tuparendi",6,"2017","Agosto","Todas","Rio Grande do Sul"
"27","Uruguaiana",69,"2017","Agosto","Todas","Rio Grande do Sul"
"28","Serafina Correa",4,"2017","Agosto","Todas","Rio Grande do Sul"
"29","Sertão Santana",2,"2017","Agosto","Todas","Rio Grande do Sul"
"30","Severiano de Almeida",2,"2017","Agosto","Todas","Rio Grande do Sul"
"31","Sinimbu",1,"2017","Agosto","Todas","Rio Grande do Sul"
"32","Soledade",4,"2017","Agosto","Todas","Rio Grande do Sul"
"33","São Borja",50,"2017","Agosto","Todas","Rio Grande do Sul"
"34","São Domingos do Sul",2,"2017","Agosto","Todas","Rio Grande do Sul"
"35","São Gabriel",50,"2017","Agosto","Todas","Rio Grande do Sul"
"36","São Jorge",1,"2017","Agosto","Todas","Rio Grande do Sul"
"37","São José do Norte",1,"2017","Agosto","Todas","Rio Grande do Sul"
"38","São José do Ouro",9,"2017","Agosto","Todas","Rio Grande do Sul"
"39","São João da Urtiga",1,"2017","Agosto","Todas","Rio Grande do Sul"
"40","São Leopoldo",10,"2017","Agosto","Todas","Rio Grande do Sul"
"41","São Luiz Gonzaga",2,"2017","Agosto","Todas","Rio Grande do Sul"
"42","São Martinho",3,"2017","Agosto","Todas","Rio Grande do Sul"
"43","São Miguel das Missões",3,"2017","Agosto","Todas","Rio Grande do Sul"
"44","São Nicolau",1,"2017","Agosto","Todas","Rio Grande do Sul"
"45","São Pedro do Sul",10,"2017","Agosto","Todas","Rio Grande do Sul"
"46","São Sebastião do Caí",14,"2017","Agosto","Todas","Rio Grande do Sul"
"47","São Sepé",13,"2017","Agosto","Todas","Rio Grande do Sul"
"48","Rosário do Sul",35,"2017","Agosto","Todas","Rio Grande do Sul"
"49","Salvador do Sul",3,"2017","Agosto","Todas","Rio Grande do Sul"
"50","Sananduva",13,"2017","Agosto","Todas","Rio Grande do Sul"
"51","Santa Bárbara do Sul",3,"2017","Agosto","Todas","Rio Grande do Sul"
"52","Santa Maria",251,"2017","Agosto","Todas","Rio Grande do Sul"
"53","Santa Rosa",73,"2017","Agosto","Todas","Rio Grande do Sul"
"54","Santa Vitória do Palmar",20,"2017","Agosto","Todas","Rio Grande do Sul"
"55","Santana da Boa Vista",5,"2017","Agosto","Todas","Rio Grande do Sul"
"56","Santana do Livramento",65,"2017","Agosto","Todas","Rio Grande do Sul"
"57","Santiago",1,"2017","Agosto","Todas","Rio Grande do Sul"
"58","Santo Angelo",3,"2017","Agosto","Todas","Rio Grande do Sul"
"59","Santo Antônio da Patrulha",18,"2017","Agosto","Todas","Rio Grande do Sul"
"60","Santo Antônio das Missões",2,"2017","Agosto","Todas","Rio Grande do Sul"
"61","Santo Cristo",14,"2017","Agosto","Todas","Rio Grande do Sul"
"62","Sao Jeronimo",38,"2017","Agosto","Todas","Rio Grande do Sul"
"63","Sao Marcos",2,"2017","Agosto","Todas","Rio Grande do Sul"
"64","Sapiranga",53,"2017","Agosto","Todas","Rio Grande do Sul"
"65","Sapucaia do Sul",82,"2017","Agosto","Todas","Rio Grande do Sul"
"66","Sarandi",13,"2017","Agosto","Todas","Rio Grande do Sul"
"67","Selbach",4,"2017","Agosto","Todas","Rio Grande do Sul"
"68","Pantano Grande",1,"2017","Agosto","Todas","Rio Grande do Sul"
"69","Paraí",5,"2017","Agosto","Todas","Rio Grande do Sul"
"70","Parobé",15,"2017","Agosto","Todas","Rio Grande do Sul"
"71","Passa Sete",2,"2017","Agosto","Todas","Rio Grande do Sul"
"72","Passo Fundo",26,"2017","Agosto","Todas","Rio Grande do Sul"
"73","Passo do Sobrado",3,"2017","Agosto","Todas","Rio Grande do Sul"
"74","Paverama",1,"2017","Agosto","Todas","Rio Grande do Sul"
"75","Pedro Osório",7,"2017","Agosto","Todas","Rio Grande do Sul"
"76","Pelotas",17,"2017","Agosto","Todas","Rio Grande do Sul"
"77","Pinheiro Machado",6,"2017","Agosto","Todas","Rio Grande do Sul"
"78","Piratini",17,"2017","Agosto","Todas","Rio Grande do Sul"
"79","Planalto",8,"2017","Agosto","Todas","Rio Grande do Sul"
"80","Porto Alegre",263,"2017","Agosto","Todas","Rio Grande do Sul"
"81","Porto Xavier",12,"2017","Agosto","Todas","Rio Grande do Sul"
"82","Portão",13,"2017","Agosto","Todas","Rio Grande do Sul"
"83","Restinga Seca",11,"2017","Agosto","Todas","Rio Grande do Sul"
"84","Rio Grande",70,"2017","Agosto","Todas","Rio Grande do Sul"
"85","Rio Pardo",27,"2017","Agosto","Todas","Rio Grande do Sul"
"86","Rodeio Bonito",11,"2017","Agosto","Todas","Rio Grande do Sul"
"87","Rolante",12,"2017","Agosto","Todas","Rio Grande do Sul"
"88","Marau",4,"2017","Agosto","Todas","Rio Grande do Sul"
"89","Mariana Pimentel",2,"2017","Agosto","Todas","Rio Grande do Sul"
"90","Mariano Moro",4,"2017","Agosto","Todas","Rio Grande do Sul"
"91","Marques de Souza",6,"2017","Agosto","Todas","Rio Grande do Sul"
"92","Muçum",3,"2017","Agosto","Todas","Rio Grande do Sul"
"93","Nonoai",13,"2017","Agosto","Todas","Rio Grande do Sul"
"94","Nova Alvorada",2,"2017","Agosto","Todas","Rio Grande do Sul"
"95","Nova Bassano",9,"2017","Agosto","Todas","Rio Grande do Sul"
"96","Nova Bréscia",4,"2017","Agosto","Todas","Rio Grande do Sul"
"97","Nova Palma",1,"2017","Agosto","Todas","Rio Grande do Sul"
"98","Nova Petropolis",11,"2017","Agosto","Todas","Rio Grande do Sul"
"99","Nova Prata",1,"2017","Agosto","Todas","Rio Grande do Sul"
"100","Nova Santa Rita",5,"2017","Agosto","Todas","Rio Grande do Sul"
"101","Novo Hamburgo",89,"2017","Agosto","Todas","Rio Grande do Sul"
"102","Osorio",27,"2017","Agosto","Todas","Rio Grande do Sul"
"103","Paim Filho",3,"2017","Agosto","Todas","Rio Grande do Sul"
"104","Palmares do Sul",10,"2017","Agosto","Todas","Rio Grande do Sul"
"105","Palmeira das Missões",23,"2017","Agosto","Todas","Rio Grande do Sul"
"106","Palmitinho",2,"2017","Agosto","Todas","Rio Grande do Sul"
"107","Panambi",15,"2017","Agosto","Todas","Rio Grande do Sul"
"108","Hulha Negra",1,"2017","Agosto","Todas","Rio Grande do Sul"
"109","Humaitá",2,"2017","Agosto","Todas","Rio Grande do Sul"
"110","Ibiaçá",1,"2017","Agosto","Todas","Rio Grande do Sul"
"111","Ibiraiaras",5,"2017","Agosto","Todas","Rio Grande do Sul"
"112","Ibirubá",8,"2017","Agosto","Todas","Rio Grande do Sul"
"113","Ijui",94,"2017","Agosto","Todas","Rio Grande do Sul"
"114","Ilópolis",2,"2017","Agosto","Todas","Rio Grande do Sul"
"115","Independência",3,"2017","Agosto","Todas","Rio Grande do Sul"
"116","Itaara",1,"2017","Agosto","Todas","Rio Grande do Sul"
"117","Itaqui",35,"2017","Agosto","Todas","Rio Grande do Sul"
"118","Itati",1,"2017","Agosto","Todas","Rio Grande do Sul"
"119","Itatiba do Sul",4,"2017","Agosto","Todas","Rio Grande do Sul"
"120","Ivoti",12,"2017","Agosto","Todas","Rio Grande do Sul"
"121","Jaguarão",12,"2017","Agosto","Todas","Rio Grande do Sul"
"122","Júlio de Castilhos",1,"2017","Agosto","Todas","Rio Grande do Sul"
"123","Lagoa Vermelha",16,"2017","Agosto","Todas","Rio Grande do Sul"
"124","Lajeado",1,"2017","Agosto","Todas","Rio Grande do Sul"
"125","Lavras do Sul",4,"2017","Agosto","Todas","Rio Grande do Sul"
"126","Liberato Salzano",3,"2017","Agosto","Todas","Rio Grande do Sul"
"127","Maquiné",5,"2017","Agosto","Todas","Rio Grande do Sul"
"128","Eldorado do Sul",6,"2017","Agosto","Todas","Rio Grande do Sul"
"129","Encantado",13,"2017","Agosto","Todas","Rio Grande do Sul"
"130","Encruzilhada do Sul",20,"2017","Agosto","Todas","Rio Grande do Sul"
"131","Erechim",10,"2017","Agosto","Todas","Rio Grande do Sul"
"132","Erval Grande",1,"2017","Agosto","Todas","Rio Grande do Sul"
"133","Erval Seco",4,"2017","Agosto","Todas","Rio Grande do Sul"
"134","Esmeralda",1,"2017","Agosto","Todas","Rio Grande do Sul"
"135","Estancia Velha",8,"2017","Agosto","Todas","Rio Grande do Sul"
"136","Farroupilha",38,"2017","Agosto","Todas","Rio Grande do Sul"
"137","Formigueiro",6,"2017","Agosto","Todas","Rio Grande do Sul"
"138","Frederico Westphalen",20,"2017","Agosto","Todas","Rio Grande do Sul"
"139","Garibaldi",13,"2017","Agosto","Todas","Rio Grande do Sul"
"140","Gaurama",4,"2017","Agosto","Todas","Rio Grande do Sul"
"141","Giruá",13,"2017","Agosto","Todas","Rio Grande do Sul"
"142","Gramado",23,"2017","Agosto","Todas","Rio Grande do Sul"
"143","Gravatai",94,"2017","Agosto","Todas","Rio Grande do Sul"
"144","Guaiba",36,"2017","Agosto","Todas","Rio Grande do Sul"
"145","Guaporé",17,"2017","Agosto","Todas","Rio Grande do Sul"
"146","Guarani das Missões",6,"2017","Agosto","Todas","Rio Grande do Sul"
"147","Herval",3,"2017","Agosto","Todas","Rio Grande do Sul"
"148","Capela de Santana",1,"2017","Agosto","Todas","Rio Grande do Sul"
"149","Capão da Canoa",36,"2017","Agosto","Todas","Rio Grande do Sul"
"150","Carazinho",5,"2017","Agosto","Todas","Rio Grande do Sul"
"151","Carlos Barbosa",8,"2017","Agosto","Todas","Rio Grande do Sul"
"152","Caxias do Sul",149,"2017","Agosto","Todas","Rio Grande do Sul"
"153","Caçapava do Sul",25,"2017","Agosto","Todas","Rio Grande do Sul"
"154","Chapada",7,"2017","Agosto","Todas","Rio Grande do Sul"
"155","Charqueadas",2,"2017","Agosto","Todas","Rio Grande do Sul"
"156","Chiapetta",2,"2017","Agosto","Todas","Rio Grande do Sul"
"157","Cidreira",9,"2017","Agosto","Todas","Rio Grande do Sul"
"158","Condor",4,"2017","Agosto","Todas","Rio Grande do Sul"
"159","Constantina",3,"2017","Agosto","Todas","Rio Grande do Sul"
"160","Cotiporã",3,"2017","Agosto","Todas","Rio Grande do Sul"
"161","Crissiumal",1,"2017","Agosto","Todas","Rio Grande do Sul"
"162","Cristal",1,"2017","Agosto","Todas","Rio Grande do Sul"
"163","Cruzeiro do Sul",7,"2017","Agosto","Todas","Rio Grande do Sul"
"164","Cândido Godói",2,"2017","Agosto","Todas","Rio Grande do Sul"
"165","Dois Irmãos",12,"2017","Agosto","Todas","Rio Grande do Sul"
"166","Dom Pedrito",33,"2017","Agosto","Todas","Rio Grande do Sul"
"167","Doutor Maurício Cardoso",1,"2017","Agosto","Todas","Rio Grande do Sul"
"168","Braga",1,"2017","Agosto","Todas","Rio Grande do Sul"
"169","Brochier",1,"2017","Agosto","Todas","Rio Grande do Sul"
"170","Butiá",8,"2017","Agosto","Todas","Rio Grande do Sul"
"171","Cacequi",7,"2017","Agosto","Todas","Rio Grande do Sul"
"172","Cachoeira do Sul",86,"2017","Agosto","Todas","Rio Grande do Sul"
"173","Cachoeirinha",43,"2017","Agosto","Todas","Rio Grande do Sul"
"174","Cacique Doble",2,"2017","Agosto","Todas","Rio Grande do Sul"
"175","Caibaté",8,"2017","Agosto","Todas","Rio Grande do Sul"
"176","Caiçara",5,"2017","Agosto","Todas","Rio Grande do Sul"
"177","Camaqua",38,"2017","Agosto","Todas","Rio Grande do Sul"
"178","Camargo",1,"2017","Agosto","Todas","Rio Grande do Sul"
"179","Cambará do Sul",1,"2017","Agosto","Todas","Rio Grande do Sul"
"180","Campinas do Sul",3,"2017","Agosto","Todas","Rio Grande do Sul"
"181","Campo Novo",2,"2017","Agosto","Todas","Rio Grande do Sul"
"182","Candelária",29,"2017","Agosto","Todas","Rio Grande do Sul"
"183","Candiota",2,"2017","Agosto","Todas","Rio Grande do Sul"
"184","Canela",26,"2017","Agosto","Todas","Rio Grande do Sul"
"185","Canguçu",39,"2017","Agosto","Todas","Rio Grande do Sul"
"186","Canoas",20,"2017","Agosto","Todas","Rio Grande do Sul"
"187","Capao do Leao",4,"2017","Agosto","Todas","Rio Grande do Sul"
"188","Acegua",2,"2017","Agosto","Todas","Rio Grande do Sul"
"189","Agudo",12,"2017","Agosto","Todas","Rio Grande do Sul"
"190","Ajuricaba",3,"2017","Agosto","Todas","Rio Grande do Sul"
"191","Alecrim",3,"2017","Agosto","Todas","Rio Grande do Sul"
"192","Alegrete",79,"2017","Agosto","Todas","Rio Grande do Sul"
"193","Alegria",5,"2017","Agosto","Todas","Rio Grande do Sul"
"194","Alvorada",68,"2017","Agosto","Todas","Rio Grande do Sul"
"195","Antônio Prado",11,"2017","Agosto","Todas","Rio Grande do Sul"
"196","Aratiba",8,"2017","Agosto","Todas","Rio Grande do Sul"
"197","Arroio do Meio",1,"2017","Agosto","Todas","Rio Grande do Sul"
"198","Arroio do Sal",2,"2017","Agosto","Todas","Rio Grande do Sul"
"199","Arroio dos Ratos",6,"2017","Agosto","Todas","Rio Grande do Sul"
"200","Augusto Pestana",4,"2017","Agosto","Todas","Rio Grande do Sul"
"201","Bage",12,"2017","Agosto","Todas","Rio Grande do Sul"
"202","Barra do Ribeiro",4,"2017","Agosto","Todas","Rio Grande do Sul"
"203","Barracão",4,"2017","Agosto","Todas","Rio Grande do Sul"
"204","Barros Cassal",3,"2017","Agosto","Todas","Rio Grande do Sul"
"205","Bento Gonçalves",10,"2017","Agosto","Todas","Rio Grande do Sul"
