"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Brasília",386,"2017","Dezembro","Todas","Distrito Federal"
"2","Brazlândia",22,"2017","Dezembro","Todas","Distrito Federal"
"3","Ceilandia",155,"2017","Dezembro","Todas","Distrito Federal"
"4","Gama",126,"2017","Dezembro","Todas","Distrito Federal"
"5","Guará",208,"2017","Dezembro","Todas","Distrito Federal"
"6","Núcleo Bandeirantes",33,"2017","Dezembro","Todas","Distrito Federal"
"7","Paranoá",33,"2017","Dezembro","Todas","Distrito Federal"
"8","Planaltina",35,"2017","Dezembro","Todas","Distrito Federal"
"9","Samambaia",47,"2017","Dezembro","Todas","Distrito Federal"
"10","Sobradinho",48,"2017","Dezembro","Todas","Distrito Federal"
"11","Taguatinga",91,"2017","Dezembro","Todas","Distrito Federal"
