"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Isabel do Pará",17,"2017","Dezembro","Todas","Pará"
"2","Santana do Araguaia",5,"2017","Dezembro","Todas","Pará"
"3","Santarem",138,"2017","Dezembro","Todas","Pará"
"4","São Domingos do Araguaia",2,"2017","Dezembro","Todas","Pará"
"5","São Domingos do Capim",4,"2017","Dezembro","Todas","Pará"
"6","São Félix do Xingu",3,"2017","Dezembro","Todas","Pará"
"7","São Geraldo do Araguaia",12,"2017","Dezembro","Todas","Pará"
"8","São João do Araguaia",7,"2017","Dezembro","Todas","Pará"
"9","Uruará",11,"2017","Dezembro","Todas","Pará"
"10","Vigia",4,"2017","Dezembro","Todas","Pará"
"11","Viseu",4,"2017","Dezembro","Todas","Pará"
"12","Vitória do Xingu",2,"2017","Dezembro","Todas","Pará"
"13","Xinguara",15,"2017","Dezembro","Todas","Pará"
"14","Abaetetuba",31,"2017","Dezembro","Todas","Pará"
"15","Altamira",41,"2017","Dezembro","Todas","Pará"
"16","Barcarena",9,"2017","Dezembro","Todas","Pará"
"17","Belém",326,"2017","Dezembro","Todas","Pará"
"18","Brejo Grande do Araguaia",1,"2017","Dezembro","Todas","Pará"
"19","Canaã dos Carajás",8,"2017","Dezembro","Todas","Pará"
"20","Conceição do Araguaia",19,"2017","Dezembro","Todas","Pará"
"21","Dom Eliseu",9,"2017","Dezembro","Todas","Pará"
"22","Eldorado dos Carajás",16,"2017","Dezembro","Todas","Pará"
"23","Itaituba",43,"2017","Dezembro","Todas","Pará"
"24","Maraba",25,"2017","Dezembro","Todas","Pará"
"25","Marituba",4,"2017","Dezembro","Todas","Pará"
"26","Monte Alegre",19,"2017","Dezembro","Todas","Pará"
"27","Novo Progresso",5,"2017","Dezembro","Todas","Pará"
"28","Novo Repartimento",14,"2017","Dezembro","Todas","Pará"
"29","Pacajá",10,"2017","Dezembro","Todas","Pará"
"30","Paragominas",49,"2017","Dezembro","Todas","Pará"
"31","Parauapebas",49,"2017","Dezembro","Todas","Pará"
"32","Rio Maria",15,"2017","Dezembro","Todas","Pará"
"33","Rondon do Pará",18,"2017","Dezembro","Todas","Pará"
