"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vale do Sol",12,"2017","Dezembro","Todas","Rio Grande do Sul"
"2","Venâncio Aires",3,"2017","Dezembro","Todas","Rio Grande do Sul"
"3","Vera Cruz",12,"2017","Dezembro","Todas","Rio Grande do Sul"
"4","Veranopolis",12,"2017","Dezembro","Todas","Rio Grande do Sul"
"5","Viamao",62,"2017","Dezembro","Todas","Rio Grande do Sul"
"6","Vila Maria",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"7","Água Santa",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"8","Tapes",7,"2017","Dezembro","Todas","Rio Grande do Sul"
"9","Taquara",32,"2017","Dezembro","Todas","Rio Grande do Sul"
"10","Tenente Portela",13,"2017","Dezembro","Todas","Rio Grande do Sul"
"11","Terra de Areia",7,"2017","Dezembro","Todas","Rio Grande do Sul"
"12","Teutônia",17,"2017","Dezembro","Todas","Rio Grande do Sul"
"13","Tiradentes do Sul",2,"2017","Dezembro","Todas","Rio Grande do Sul"
"14","Torres",20,"2017","Dezembro","Todas","Rio Grande do Sul"
"15","Tramandaí",59,"2017","Dezembro","Todas","Rio Grande do Sul"
"16","Triunfo",5,"2017","Dezembro","Todas","Rio Grande do Sul"
"17","Três Cachoeiras",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"18","Três Coroas",10,"2017","Dezembro","Todas","Rio Grande do Sul"
"19","Três Forquilhas",3,"2017","Dezembro","Todas","Rio Grande do Sul"
"20","Três Passos",19,"2017","Dezembro","Todas","Rio Grande do Sul"
"21","Três de Maio",23,"2017","Dezembro","Todas","Rio Grande do Sul"
"22","Tunas",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"23","Tupanciretã",21,"2017","Dezembro","Todas","Rio Grande do Sul"
"24","Tupandi",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"25","Tuparendi",6,"2017","Dezembro","Todas","Rio Grande do Sul"
"26","Uruguaiana",82,"2017","Dezembro","Todas","Rio Grande do Sul"
"27","Vacaria",49,"2017","Dezembro","Todas","Rio Grande do Sul"
"28","São Domingos do Sul",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"29","São Francisco de Paula",6,"2017","Dezembro","Todas","Rio Grande do Sul"
"30","São Gabriel",41,"2017","Dezembro","Todas","Rio Grande do Sul"
"31","São Jorge",3,"2017","Dezembro","Todas","Rio Grande do Sul"
"32","São José do Norte",11,"2017","Dezembro","Todas","Rio Grande do Sul"
"33","São José do Ouro",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"34","São Leopoldo",99,"2017","Dezembro","Todas","Rio Grande do Sul"
"35","São Lourenço do Sul",3,"2017","Dezembro","Todas","Rio Grande do Sul"
"36","São Luiz Gonzaga",29,"2017","Dezembro","Todas","Rio Grande do Sul"
"37","São Martinho",4,"2017","Dezembro","Todas","Rio Grande do Sul"
"38","São Miguel das Missões",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"39","São Nicolau",5,"2017","Dezembro","Todas","Rio Grande do Sul"
"40","São Pedro do Butiá",2,"2017","Dezembro","Todas","Rio Grande do Sul"
"41","São Pedro do Sul",16,"2017","Dezembro","Todas","Rio Grande do Sul"
"42","São Sebastião do Caí",18,"2017","Dezembro","Todas","Rio Grande do Sul"
"43","São Sepé",13,"2017","Dezembro","Todas","Rio Grande do Sul"
"44","São Valentim",3,"2017","Dezembro","Todas","Rio Grande do Sul"
"45","São Vicente do Sul",6,"2017","Dezembro","Todas","Rio Grande do Sul"
"46","Tabaí",1,"2017","Dezembro","Todas","Rio Grande do Sul"
"47","Tapejara",12,"2017","Dezembro","Todas","Rio Grande do Sul"
"48","Santana do Livramento",54,"2017","Dezembro","Todas","Rio Grande do Sul"
"49","Santiago",33,"2017","Dezembro","Todas","Rio Grande do Sul"
"50","Santo Angelo",56,"2017","Dezembro","Todas","Rio Grande do Sul"
"51","Santo Antônio da Patrulha",31,"2017","Dezembro","Todas","Rio Grande do Sul"
"52","Santo Antônio das Missões",4,"2017","Dezembro","Todas","Rio Grande do Sul"
"53","Santo Cristo",7,"2017","Dezembro","Todas","Rio Grande do Sul"
"54","Sao Jeronimo",25,"2017","Dezembro","Todas","Rio Grande do Sul"
"55","Sao Marcos",16,"2017","Dezembro","Todas","Rio Grande do Sul"
"56","Sapiranga",37,"2017","Dezembro","Todas","Rio Grande do Sul"
