"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",2,"2017","Fevereiro","Todas","Acre"
"2","Brasiléia",11,"2017","Fevereiro","Todas","Acre"
"3","Bujari",2,"2017","Fevereiro","Todas","Acre"
"4","Capixaba",1,"2017","Fevereiro","Todas","Acre"
"5","Cruzeiro do Sul",43,"2017","Fevereiro","Todas","Acre"
"6","Epitaciolândia",1,"2017","Fevereiro","Todas","Acre"
"7","Feijó",7,"2017","Fevereiro","Todas","Acre"
"8","Manoel Urbano",7,"2017","Fevereiro","Todas","Acre"
"9","Mâncio Lima",1,"2017","Fevereiro","Todas","Acre"
"10","Plácido de Castro",5,"2017","Fevereiro","Todas","Acre"
"11","Porto Acre",1,"2017","Fevereiro","Todas","Acre"
"12","Porto Walter",1,"2017","Fevereiro","Todas","Acre"
"13","Rio Branco",221,"2017","Fevereiro","Todas","Acre"
"14","Rodrigues Alves",2,"2017","Fevereiro","Todas","Acre"
"15","Sena Madureira",9,"2017","Fevereiro","Todas","Acre"
"16","Senador Guiomard",3,"2017","Fevereiro","Todas","Acre"
"17","Tarauacá",8,"2017","Fevereiro","Todas","Acre"
"18","Xapuri",5,"2017","Fevereiro","Todas","Acre"
