"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Maragogi",5,"2017","Fevereiro","Todas","Alagoas"
"2","Maravilha",1,"2017","Fevereiro","Todas","Alagoas"
"3","Mata Grande",4,"2017","Fevereiro","Todas","Alagoas"
"4","Messias",6,"2017","Fevereiro","Todas","Alagoas"
"5","Ouro Branco",3,"2017","Fevereiro","Todas","Alagoas"
"6","Palmeira dos Índios",1,"2017","Fevereiro","Todas","Alagoas"
"7","Penedo",26,"2017","Fevereiro","Todas","Alagoas"
"8","Piaçabuçu",4,"2017","Fevereiro","Todas","Alagoas"
"9","Piranhas",2,"2017","Fevereiro","Todas","Alagoas"
"10","Porto Calvo",10,"2017","Fevereiro","Todas","Alagoas"
"11","Porto Real do Colégio",4,"2017","Fevereiro","Todas","Alagoas"
"12","Pão de Açúcar",3,"2017","Fevereiro","Todas","Alagoas"
"13","Rio Largo",1,"2017","Fevereiro","Todas","Alagoas"
"14","São José da Laje",4,"2017","Fevereiro","Todas","Alagoas"
"15","São Sebastião",3,"2017","Fevereiro","Todas","Alagoas"
"16","Teotônio Vilela",8,"2017","Fevereiro","Todas","Alagoas"
"17","Traipu",1,"2017","Fevereiro","Todas","Alagoas"
"18","Água Branca",6,"2017","Fevereiro","Todas","Alagoas"
"19","Arapiraca",30,"2017","Fevereiro","Todas","Alagoas"
"20","Boca da Mata",4,"2017","Fevereiro","Todas","Alagoas"
"21","Branquinha",2,"2017","Fevereiro","Todas","Alagoas"
"22","Cajueiro",3,"2017","Fevereiro","Todas","Alagoas"
"23","Campestre",3,"2017","Fevereiro","Todas","Alagoas"
"24","Campo Grande",2,"2017","Fevereiro","Todas","Alagoas"
"25","Capela",2,"2017","Fevereiro","Todas","Alagoas"
"26","Craíbas",5,"2017","Fevereiro","Todas","Alagoas"
"27","Delmiro Gouveia",20,"2017","Fevereiro","Todas","Alagoas"
"28","Dois Riachos",1,"2017","Fevereiro","Todas","Alagoas"
"29","Feira Grande",5,"2017","Fevereiro","Todas","Alagoas"
"30","Flexeiras",3,"2017","Fevereiro","Todas","Alagoas"
"31","Ibateguara",1,"2017","Fevereiro","Todas","Alagoas"
"32","Japaratinga",1,"2017","Fevereiro","Todas","Alagoas"
"33","Jequiá da Praia",1,"2017","Fevereiro","Todas","Alagoas"
"34","Jundiá",1,"2017","Fevereiro","Todas","Alagoas"
"35","Junqueiro",4,"2017","Fevereiro","Todas","Alagoas"
"36","Lagoa da Canoa",8,"2017","Fevereiro","Todas","Alagoas"
"37","Limoeiro de Anadia",6,"2017","Fevereiro","Todas","Alagoas"
"38","Maceio",562,"2017","Fevereiro","Todas","Alagoas"
