"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Terezópolis de Goiás",1,"2017","Fevereiro","Todas","Goiás"
"2","Trombas",4,"2017","Fevereiro","Todas","Goiás"
"3","Turvânia",1,"2017","Fevereiro","Todas","Goiás"
"4","Uruaçu",21,"2017","Fevereiro","Todas","Goiás"
"5","Valparaíso de Goiás",18,"2017","Fevereiro","Todas","Goiás"
"6","Vianópolis",3,"2017","Fevereiro","Todas","Goiás"
"7","Vicentinópolis",1,"2017","Fevereiro","Todas","Goiás"
"8","Águas Lindas de Goiás",30,"2017","Fevereiro","Todas","Goiás"
"9","Palmeiras de Goiás",6,"2017","Fevereiro","Todas","Goiás"
"10","Perolândia",3,"2017","Fevereiro","Todas","Goiás"
"11","Piracanjuba",10,"2017","Fevereiro","Todas","Goiás"
"12","Planaltina",13,"2017","Fevereiro","Todas","Goiás"
"13","Pontalina",1,"2017","Fevereiro","Todas","Goiás"
"14","Porangatu",15,"2017","Fevereiro","Todas","Goiás"
"15","Porteirão",1,"2017","Fevereiro","Todas","Goiás"
"16","Posse",8,"2017","Fevereiro","Todas","Goiás"
"17","Quirinopolis",15,"2017","Fevereiro","Todas","Goiás"
"18","Rio Verde",1,"2017","Fevereiro","Todas","Goiás"
"19","Sanclerlândia",1,"2017","Fevereiro","Todas","Goiás"
"20","Santa Rita do Araguaia",3,"2017","Fevereiro","Todas","Goiás"
"21","Santa Rita do Novo Destino",1,"2017","Fevereiro","Todas","Goiás"
"22","Santa Terezinha de Goiás",3,"2017","Fevereiro","Todas","Goiás"
"23","Santo Antônio do Descoberto",15,"2017","Fevereiro","Todas","Goiás"
"24","Senador Canedo",21,"2017","Fevereiro","Todas","Goiás"
"25","Serranópolis",1,"2017","Fevereiro","Todas","Goiás"
"26","São Francisco de Goiás",2,"2017","Fevereiro","Todas","Goiás"
"27","São Luís de Montes Belos",8,"2017","Fevereiro","Todas","Goiás"
"28","Teresina de Goiás",1,"2017","Fevereiro","Todas","Goiás"
"29","Inaciolândia",1,"2017","Fevereiro","Todas","Goiás"
"30","Inhumas",17,"2017","Fevereiro","Todas","Goiás"
"31","Ipameri",1,"2017","Fevereiro","Todas","Goiás"
"32","Ipiranga de Goiás",1,"2017","Fevereiro","Todas","Goiás"
"33","Iporá",10,"2017","Fevereiro","Todas","Goiás"
"34","Itaguaru",1,"2017","Fevereiro","Todas","Goiás"
"35","Itapirapuã",3,"2017","Fevereiro","Todas","Goiás"
"36","Itapuranga",6,"2017","Fevereiro","Todas","Goiás"
"37","Itumbiara",11,"2017","Fevereiro","Todas","Goiás"
"38","Jaraguá",3,"2017","Fevereiro","Todas","Goiás"
"39","Mara Rosa",3,"2017","Fevereiro","Todas","Goiás"
"40","Maurilândia",1,"2017","Fevereiro","Todas","Goiás"
"41","Mineiros",13,"2017","Fevereiro","Todas","Goiás"
"42","Mutunópolis",3,"2017","Fevereiro","Todas","Goiás"
"43","Nazário",3,"2017","Fevereiro","Todas","Goiás"
"44","Niquelandia",10,"2017","Fevereiro","Todas","Goiás"
"45","Nova Gloria",2,"2017","Fevereiro","Todas","Goiás"
"46","Nova Roma",2,"2017","Fevereiro","Todas","Goiás"
"47","Novo Gama",9,"2017","Fevereiro","Todas","Goiás"
"48","Ouro Verde de Goiás",1,"2017","Fevereiro","Todas","Goiás"
"49","Campo Alegre de Goiás",1,"2017","Fevereiro","Todas","Goiás"
"50","Campo Limpo de Goiás",2,"2017","Fevereiro","Todas","Goiás"
"51","Castelândia",1,"2017","Fevereiro","Todas","Goiás"
"52","Catalao",48,"2017","Fevereiro","Todas","Goiás"
"53","Cavalcante",4,"2017","Fevereiro","Todas","Goiás"
"54","Ceres",32,"2017","Fevereiro","Todas","Goiás"
"55","Cezarina",2,"2017","Fevereiro","Todas","Goiás"
"56","Cidade Ocidental",13,"2017","Fevereiro","Todas","Goiás"
"57","Cocalzinho de Goias",6,"2017","Fevereiro","Todas","Goiás"
"58","Colinas do Sul",1,"2017","Fevereiro","Todas","Goiás"
"59","Corumbá de Goiás",4,"2017","Fevereiro","Todas","Goiás"
"60","Cristalina",18,"2017","Fevereiro","Todas","Goiás"
"61","Córrego do Ouro",2,"2017","Fevereiro","Todas","Goiás"
"62","Edealina",2,"2017","Fevereiro","Todas","Goiás"
"63","Fazenda Nova",2,"2017","Fevereiro","Todas","Goiás"
"64","Formosa",30,"2017","Fevereiro","Todas","Goiás"
"65","Formoso",1,"2017","Fevereiro","Todas","Goiás"
"66","Goianira",11,"2017","Fevereiro","Todas","Goiás"
"67","Goianésia",30,"2017","Fevereiro","Todas","Goiás"
"68","Goiânia",994,"2017","Fevereiro","Todas","Goiás"
"69","Abadia de Goiás",2,"2017","Fevereiro","Todas","Goiás"
"70","Abadiânia",4,"2017","Fevereiro","Todas","Goiás"
"71","Alexania",8,"2017","Fevereiro","Todas","Goiás"
"72","Aloândia",1,"2017","Fevereiro","Todas","Goiás"
"73","Alto Paraíso de Goiás",2,"2017","Fevereiro","Todas","Goiás"
"74","Anapolis",209,"2017","Fevereiro","Todas","Goiás"
"75","Anhanguera",1,"2017","Fevereiro","Todas","Goiás"
"76","Aparecida de Goiania",129,"2017","Fevereiro","Todas","Goiás"
"77","Aparecida do Rio Doce",1,"2017","Fevereiro","Todas","Goiás"
"78","Aporé",1,"2017","Fevereiro","Todas","Goiás"
"79","Aragarças",3,"2017","Fevereiro","Todas","Goiás"
"80","Aragoiânia",5,"2017","Fevereiro","Todas","Goiás"
"81","Barro Alto",2,"2017","Fevereiro","Todas","Goiás"
"82","Bela Vista de Goiás",6,"2017","Fevereiro","Todas","Goiás"
"83","Bom Jesus de Goiás",3,"2017","Fevereiro","Todas","Goiás"
"84","Buriti Alegre",2,"2017","Fevereiro","Todas","Goiás"
"85","Cachoeira Dourada",3,"2017","Fevereiro","Todas","Goiás"
"86","Caiapônia",1,"2017","Fevereiro","Todas","Goiás"
"87","Caldas Novas",29,"2017","Fevereiro","Todas","Goiás"
"88","Caldazinha",2,"2017","Fevereiro","Todas","Goiás"
