"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Terra Nova do Norte",4,"2017","Fevereiro","Todas","Mato Grosso"
"2","Torixoréu",2,"2017","Fevereiro","Todas","Mato Grosso"
"3","Varzea Grande",20,"2017","Fevereiro","Todas","Mato Grosso"
"4","Vera",1,"2017","Fevereiro","Todas","Mato Grosso"
"5","Vila Bela da Santíssima Trindade",4,"2017","Fevereiro","Todas","Mato Grosso"
"6","Vila Rica",3,"2017","Fevereiro","Todas","Mato Grosso"
"7","Água Boa",7,"2017","Fevereiro","Todas","Mato Grosso"
"8","Porto Alegre do Norte",2,"2017","Fevereiro","Todas","Mato Grosso"
"9","Porto dos Gaúchos",2,"2017","Fevereiro","Todas","Mato Grosso"
"10","Primavera do Leste",19,"2017","Fevereiro","Todas","Mato Grosso"
"11","Querência",5,"2017","Fevereiro","Todas","Mato Grosso"
"12","Ribeirão Cascalheira",2,"2017","Fevereiro","Todas","Mato Grosso"
"13","Rio Branco",2,"2017","Fevereiro","Todas","Mato Grosso"
"14","Rondonópolis",90,"2017","Fevereiro","Todas","Mato Grosso"
"15","Rosário Oeste",5,"2017","Fevereiro","Todas","Mato Grosso"
"16","Salto do Céu",3,"2017","Fevereiro","Todas","Mato Grosso"
"17","Santa Terezinha",3,"2017","Fevereiro","Todas","Mato Grosso"
"18","Santo Afonso",1,"2017","Fevereiro","Todas","Mato Grosso"
"19","Sapezal",5,"2017","Fevereiro","Todas","Mato Grosso"
"20","Sinop",63,"2017","Fevereiro","Todas","Mato Grosso"
"21","Sorriso",31,"2017","Fevereiro","Todas","Mato Grosso"
"22","São Félix do Araguaia",5,"2017","Fevereiro","Todas","Mato Grosso"
"23","São José do Povo",1,"2017","Fevereiro","Todas","Mato Grosso"
"24","São José dos Quatro Marcos",5,"2017","Fevereiro","Todas","Mato Grosso"
"25","Tabaporã",3,"2017","Fevereiro","Todas","Mato Grosso"
"26","Tangará da Serra",33,"2017","Fevereiro","Todas","Mato Grosso"
"27","Tapurah",2,"2017","Fevereiro","Todas","Mato Grosso"
"28","Lucas do Rio Verde",14,"2017","Fevereiro","Todas","Mato Grosso"
"29","Luciára",3,"2017","Fevereiro","Todas","Mato Grosso"
"30","Marcelândia",5,"2017","Fevereiro","Todas","Mato Grosso"
"31","Matupá",5,"2017","Fevereiro","Todas","Mato Grosso"
"32","Mirassol D'oeste",14,"2017","Fevereiro","Todas","Mato Grosso"
"33","Nobres",5,"2017","Fevereiro","Todas","Mato Grosso"
"34","Nortelândia",2,"2017","Fevereiro","Todas","Mato Grosso"
"35","Nossa Senhora do Livramento",1,"2017","Fevereiro","Todas","Mato Grosso"
"36","Nova Canaã do Norte",8,"2017","Fevereiro","Todas","Mato Grosso"
"37","Nova Maringá",1,"2017","Fevereiro","Todas","Mato Grosso"
"38","Nova Monte Verde",2,"2017","Fevereiro","Todas","Mato Grosso"
"39","Nova Mutum",9,"2017","Fevereiro","Todas","Mato Grosso"
"40","Nova Xavantina",4,"2017","Fevereiro","Todas","Mato Grosso"
"41","Novo Mundo",1,"2017","Fevereiro","Todas","Mato Grosso"
"42","Paranatinga",3,"2017","Fevereiro","Todas","Mato Grosso"
"43","Pedra Preta",6,"2017","Fevereiro","Todas","Mato Grosso"
"44","Peixoto de Azevedo",6,"2017","Fevereiro","Todas","Mato Grosso"
"45","Planalto da Serra",1,"2017","Fevereiro","Todas","Mato Grosso"
"46","Pontal do Araguaia",1,"2017","Fevereiro","Todas","Mato Grosso"
"47","Pontes e Lacerda",12,"2017","Fevereiro","Todas","Mato Grosso"
"48","Confresa",8,"2017","Fevereiro","Todas","Mato Grosso"
"49","Cotriguaçu",2,"2017","Fevereiro","Todas","Mato Grosso"
"50","Cuiaba",426,"2017","Fevereiro","Todas","Mato Grosso"
"51","Cáceres",57,"2017","Fevereiro","Todas","Mato Grosso"
"52","Diamantino",4,"2017","Fevereiro","Todas","Mato Grosso"
"53","Dom Aquino",2,"2017","Fevereiro","Todas","Mato Grosso"
"54","Feliz Natal",3,"2017","Fevereiro","Todas","Mato Grosso"
"55","General Carneiro",3,"2017","Fevereiro","Todas","Mato Grosso"
"56","Glória D'oeste",2,"2017","Fevereiro","Todas","Mato Grosso"
"57","Guarantã do Norte",14,"2017","Fevereiro","Todas","Mato Grosso"
"58","Guiratinga",5,"2017","Fevereiro","Todas","Mato Grosso"
"59","Ipiranga do Norte",1,"2017","Fevereiro","Todas","Mato Grosso"
"60","Itiquira",3,"2017","Fevereiro","Todas","Mato Grosso"
"61","Jaciara",8,"2017","Fevereiro","Todas","Mato Grosso"
"62","Jangada",2,"2017","Fevereiro","Todas","Mato Grosso"
"63","Jauru",2,"2017","Fevereiro","Todas","Mato Grosso"
"64","Juara",13,"2017","Fevereiro","Todas","Mato Grosso"
"65","Juruena",3,"2017","Fevereiro","Todas","Mato Grosso"
"66","Juscimeira",1,"2017","Fevereiro","Todas","Mato Grosso"
"67","Juína",17,"2017","Fevereiro","Todas","Mato Grosso"
"68","Acorizal",1,"2017","Fevereiro","Todas","Mato Grosso"
"69","Alta Floresta",27,"2017","Fevereiro","Todas","Mato Grosso"
"70","Alto Araguaia",4,"2017","Fevereiro","Todas","Mato Grosso"
