"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Upanema",4,"2017","Fevereiro","Todas","Rio Grande do Norte"
"2","Vera Cruz",4,"2017","Fevereiro","Todas","Rio Grande do Norte"
"3","Jucurutu",3,"2017","Fevereiro","Todas","Rio Grande do Norte"
"4","Lagoa Nova",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
"5","Lagoa de Velhos",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"6","Mossoró",166,"2017","Fevereiro","Todas","Rio Grande do Norte"
"7","Natal",227,"2017","Fevereiro","Todas","Rio Grande do Norte"
"8","Nísia Floresta",8,"2017","Fevereiro","Todas","Rio Grande do Norte"
"9","Parelhas",4,"2017","Fevereiro","Todas","Rio Grande do Norte"
"10","Parnamirim",46,"2017","Fevereiro","Todas","Rio Grande do Norte"
"11","Riachuelo",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
"12","Rio do Fogo",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"13","Santa Cruz",13,"2017","Fevereiro","Todas","Rio Grande do Norte"
"14","Serra do Mel",7,"2017","Fevereiro","Todas","Rio Grande do Norte"
"15","São Bento do Norte",5,"2017","Fevereiro","Todas","Rio Grande do Norte"
"16","São Gonçalo do Amarante",22,"2017","Fevereiro","Todas","Rio Grande do Norte"
"17","São José do Campestre",4,"2017","Fevereiro","Todas","Rio Grande do Norte"
"18","Sítio Novo",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"19","Taipu",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"20","Tangará",5,"2017","Fevereiro","Todas","Rio Grande do Norte"
"21","Tibau",3,"2017","Fevereiro","Todas","Rio Grande do Norte"
"22","Touros",9,"2017","Fevereiro","Todas","Rio Grande do Norte"
"23","Angicos",3,"2017","Fevereiro","Todas","Rio Grande do Norte"
"24","Apodi",12,"2017","Fevereiro","Todas","Rio Grande do Norte"
"25","Arez",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
"26","Açu",9,"2017","Fevereiro","Todas","Rio Grande do Norte"
"27","Baraúna",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
"28","Baía Formosa",3,"2017","Fevereiro","Todas","Rio Grande do Norte"
"29","Bento Fernandes",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"30","Caiçara do Rio do Vento",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"31","Canguaretama",7,"2017","Fevereiro","Todas","Rio Grande do Norte"
"32","Caraúbas",9,"2017","Fevereiro","Todas","Rio Grande do Norte"
"33","Carnaubais",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
"34","Ceará-Mirim",32,"2017","Fevereiro","Todas","Rio Grande do Norte"
"35","Coronel Ezequiel",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
"36","Currais Novos",19,"2017","Fevereiro","Todas","Rio Grande do Norte"
"37","Equador",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"38","Florânia",3,"2017","Fevereiro","Todas","Rio Grande do Norte"
"39","Goianinha",11,"2017","Fevereiro","Todas","Rio Grande do Norte"
"40","Itajá",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"41","Jandaíra",1,"2017","Fevereiro","Todas","Rio Grande do Norte"
"42","Jardim de Angicos",2,"2017","Fevereiro","Todas","Rio Grande do Norte"
