"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",3,"2017","Janeiro","Todas","Acre"
"2","Brasiléia",11,"2017","Janeiro","Todas","Acre"
"3","Bujari",1,"2017","Janeiro","Todas","Acre"
"4","Cruzeiro do Sul",38,"2017","Janeiro","Todas","Acre"
"5","Epitaciolândia",4,"2017","Janeiro","Todas","Acre"
"6","Feijó",9,"2017","Janeiro","Todas","Acre"
"7","Manoel Urbano",6,"2017","Janeiro","Todas","Acre"
"8","Mâncio Lima",4,"2017","Janeiro","Todas","Acre"
"9","Plácido de Castro",1,"2017","Janeiro","Todas","Acre"
"10","Porto Acre",5,"2017","Janeiro","Todas","Acre"
"11","Rio Branco",160,"2017","Janeiro","Todas","Acre"
"12","Rodrigues Alves",2,"2017","Janeiro","Todas","Acre"
"13","Sena Madureira",4,"2017","Janeiro","Todas","Acre"
"14","Senador Guiomard",4,"2017","Janeiro","Todas","Acre"
"15","Tarauacá",11,"2017","Janeiro","Todas","Acre"
"16","Xapuri",4,"2017","Janeiro","Todas","Acre"
