"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Teixeira de Freitas",136,"2017","Janeiro","Todas","Bahia"
"2","Teodoro Sampaio",2,"2017","Janeiro","Todas","Bahia"
"3","Terra Nova",3,"2017","Janeiro","Todas","Bahia"
"4","Tremedal",5,"2017","Janeiro","Todas","Bahia"
"5","Tucano",18,"2017","Janeiro","Todas","Bahia"
"6","Ubaitaba",3,"2017","Janeiro","Todas","Bahia"
"7","Uruçuca",5,"2017","Janeiro","Todas","Bahia"
"8","Vera Cruz",10,"2017","Janeiro","Todas","Bahia"
"9","Vitoria da Conquista",5,"2017","Janeiro","Todas","Bahia"
"10","Xique-Xique",14,"2017","Janeiro","Todas","Bahia"
"11","Pé de Serra",6,"2017","Janeiro","Todas","Bahia"
"12","Rafael Jambeiro",7,"2017","Janeiro","Todas","Bahia"
"13","Remanso",16,"2017","Janeiro","Todas","Bahia"
"14","Riachão do Jacuípe",15,"2017","Janeiro","Todas","Bahia"
"15","Ribeira do Pombal",29,"2017","Janeiro","Todas","Bahia"
"16","Rio do Antônio",3,"2017","Janeiro","Todas","Bahia"
"17","Ruy Barbosa",18,"2017","Janeiro","Todas","Bahia"
"18","Salvador",746,"2017","Janeiro","Todas","Bahia"
"19","Santa Bárbara",10,"2017","Janeiro","Todas","Bahia"
"20","Santa Cruz Cabrália",9,"2017","Janeiro","Todas","Bahia"
"21","Santa Maria da Vitória",21,"2017","Janeiro","Todas","Bahia"
"22","Santa Rita de Cássia",9,"2017","Janeiro","Todas","Bahia"
"23","Santo Amaro",6,"2017","Janeiro","Todas","Bahia"
"24","Santo Estêvão",22,"2017","Janeiro","Todas","Bahia"
"25","Saúde",11,"2017","Janeiro","Todas","Bahia"
"26","Sebastião Laranjeiras",5,"2017","Janeiro","Todas","Bahia"
"27","Senhor do Bonfim",16,"2017","Janeiro","Todas","Bahia"
"28","Serrinha",9,"2017","Janeiro","Todas","Bahia"
"29","São Felipe",8,"2017","Janeiro","Todas","Bahia"
"30","São Félix",11,"2017","Janeiro","Todas","Bahia"
"31","Juazeiro",86,"2017","Janeiro","Todas","Bahia"
"32","Jussiape",5,"2017","Janeiro","Todas","Bahia"
"33","Livramento de Nossa Senhora",22,"2017","Janeiro","Todas","Bahia"
"34","Luís Eduardo Magalhães",24,"2017","Janeiro","Todas","Bahia"
"35","Maracás",5,"2017","Janeiro","Todas","Bahia"
"36","Maragogipe",16,"2017","Janeiro","Todas","Bahia"
"37","Monte Santo",22,"2017","Janeiro","Todas","Bahia"
"38","Morpará",5,"2017","Janeiro","Todas","Bahia"
"39","Mucuri",19,"2017","Janeiro","Todas","Bahia"
"40","Nazaré",4,"2017","Janeiro","Todas","Bahia"
"41","Nova Itarana",1,"2017","Janeiro","Todas","Bahia"
"42","Nova Viçosa",20,"2017","Janeiro","Todas","Bahia"
"43","Olindina",12,"2017","Janeiro","Todas","Bahia"
"44","Palmas de Monte Alto",6,"2017","Janeiro","Todas","Bahia"
"45","Paulo Afonso",2,"2017","Janeiro","Todas","Bahia"
"46","Pindobaçu",11,"2017","Janeiro","Todas","Bahia"
"47","Piripá",6,"2017","Janeiro","Todas","Bahia"
"48","Piritiba",6,"2017","Janeiro","Todas","Bahia"
"49","Poções",41,"2017","Janeiro","Todas","Bahia"
"50","Presidente Tancredo Neves",9,"2017","Janeiro","Todas","Bahia"
"51","Gandu",11,"2017","Janeiro","Todas","Bahia"
"52","Gavião",2,"2017","Janeiro","Todas","Bahia"
"53","Guanambi",48,"2017","Janeiro","Todas","Bahia"
"54","Iaçu",7,"2017","Janeiro","Todas","Bahia"
"55","Ibicaraí",8,"2017","Janeiro","Todas","Bahia"
"56","Ibotirama",12,"2017","Janeiro","Todas","Bahia"
"57","Ichu",1,"2017","Janeiro","Todas","Bahia"
"58","Ilheus",100,"2017","Janeiro","Todas","Bahia"
"59","Irará",6,"2017","Janeiro","Todas","Bahia"
"60","Irecê",77,"2017","Janeiro","Todas","Bahia"
"61","Itaberaba",30,"2017","Janeiro","Todas","Bahia"
"62","Itabuna",147,"2017","Janeiro","Todas","Bahia"
"63","Itagimirim",6,"2017","Janeiro","Todas","Bahia"
"64","Itamaraju",41,"2017","Janeiro","Todas","Bahia"
"65","Itapetinga",46,"2017","Janeiro","Todas","Bahia"
"66","Itatim",4,"2017","Janeiro","Todas","Bahia"
"67","Itororó",3,"2017","Janeiro","Todas","Bahia"
"68","Jacobina",51,"2017","Janeiro","Todas","Bahia"
"69","Jaguaripe",1,"2017","Janeiro","Todas","Bahia"
"70","Jeremoabo",10,"2017","Janeiro","Todas","Bahia"
"71","Caldeirão Grande",5,"2017","Janeiro","Todas","Bahia"
"72","Campo Formoso",26,"2017","Janeiro","Todas","Bahia"
"73","Canarana",4,"2017","Janeiro","Todas","Bahia"
"74","Candeias",49,"2017","Janeiro","Todas","Bahia"
"75","Casa Nova",19,"2017","Janeiro","Todas","Bahia"
"76","Coaraci",13,"2017","Janeiro","Todas","Bahia"
"77","Conceição da Feira",2,"2017","Janeiro","Todas","Bahia"
"78","Conceição do Coité",14,"2017","Janeiro","Todas","Bahia"
"79","Conceição do Jacuípe",18,"2017","Janeiro","Todas","Bahia"
"80","Coração de Maria",2,"2017","Janeiro","Todas","Bahia"
"81","Cruz das Almas",30,"2017","Janeiro","Todas","Bahia"
"82","Cícero Dantas",23,"2017","Janeiro","Todas","Bahia"
"83","Dias D'Ávila",30,"2017","Janeiro","Todas","Bahia"
"84","Dom Basílio",1,"2017","Janeiro","Todas","Bahia"
"85","Dom Macedo Costa",5,"2017","Janeiro","Todas","Bahia"
"86","Esplanada",17,"2017","Janeiro","Todas","Bahia"
"87","Euclides da Cunha",29,"2017","Janeiro","Todas","Bahia"
"88","Eunapolis",63,"2017","Janeiro","Todas","Bahia"
"89","Feira de Santana",353,"2017","Janeiro","Todas","Bahia"
"90","Formosa do Rio Preto",6,"2017","Janeiro","Todas","Bahia"
"91","Alagoinhas",39,"2017","Janeiro","Todas","Bahia"
"92","Almadina",3,"2017","Janeiro","Todas","Bahia"
"93","Amelia Rodrigues",2,"2017","Janeiro","Todas","Bahia"
"94","Anguera",1,"2017","Janeiro","Todas","Bahia"
"95","Antas",5,"2017","Janeiro","Todas","Bahia"
"96","Araci",7,"2017","Janeiro","Todas","Bahia"
"97","Araças",4,"2017","Janeiro","Todas","Bahia"
"98","Barra",30,"2017","Janeiro","Todas","Bahia"
"99","Barra da Estiva",18,"2017","Janeiro","Todas","Bahia"
"100","Barra do Choça",4,"2017","Janeiro","Todas","Bahia"
"101","Barreiras",99,"2017","Janeiro","Todas","Bahia"
"102","Belmonte",18,"2017","Janeiro","Todas","Bahia"
"103","Belo Campo",9,"2017","Janeiro","Todas","Bahia"
"104","Bom Jesus da Lapa",29,"2017","Janeiro","Todas","Bahia"
"105","Brumado",33,"2017","Janeiro","Todas","Bahia"
"106","Buritirama",5,"2017","Janeiro","Todas","Bahia"
"107","Caatiba",4,"2017","Janeiro","Todas","Bahia"
"108","Cabaceiras do Paraguaçu",8,"2017","Janeiro","Todas","Bahia"
"109","Caculé",14,"2017","Janeiro","Todas","Bahia"
"110","Caetité",14,"2017","Janeiro","Todas","Bahia"
