"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Quixeramobim",27,"2017","Junho","Todas","Ceará"
"2","Quixere",8,"2017","Junho","Todas","Ceará"
"3","Reriutaba",7,"2017","Junho","Todas","Ceará"
"4","Russas",32,"2017","Junho","Todas","Ceará"
"5","Salitre",6,"2017","Junho","Todas","Ceará"
"6","Santa Quitéria",16,"2017","Junho","Todas","Ceará"
"7","Senador Pompeu",4,"2017","Junho","Todas","Ceará"
"8","São Benedito",13,"2017","Junho","Todas","Ceará"
"9","São Gonçalo do Amarante",3,"2017","Junho","Todas","Ceará"
"10","Tabuleiro do Norte",12,"2017","Junho","Todas","Ceará"
"11","Tauá",24,"2017","Junho","Todas","Ceará"
"12","Tianguá",4,"2017","Junho","Todas","Ceará"
"13","Trairi",13,"2017","Junho","Todas","Ceará"
"14","Tururu",3,"2017","Junho","Todas","Ceará"
"15","Ubajara",13,"2017","Junho","Todas","Ceará"
"16","Uruoca",1,"2017","Junho","Todas","Ceará"
"17","Viçosa do Ceará",20,"2017","Junho","Todas","Ceará"
"18","Várzea Alegre",9,"2017","Junho","Todas","Ceará"
"19","Maracanau",72,"2017","Junho","Todas","Ceará"
"20","Maranguape",50,"2017","Junho","Todas","Ceará"
"21","Marco",12,"2017","Junho","Todas","Ceará"
"22","Milhã",8,"2017","Junho","Todas","Ceará"
"23","Morada Nova",18,"2017","Junho","Todas","Ceará"
"24","Mulungu",1,"2017","Junho","Todas","Ceará"
"25","Nova Russas",8,"2017","Junho","Todas","Ceará"
"26","Novo Oriente",21,"2017","Junho","Todas","Ceará"
"27","Ocara",6,"2017","Junho","Todas","Ceará"
"28","Orós",1,"2017","Junho","Todas","Ceará"
"29","Pacatuba",30,"2017","Junho","Todas","Ceará"
"30","Palhano",2,"2017","Junho","Todas","Ceará"
"31","Palmácia",5,"2017","Junho","Todas","Ceará"
"32","Paracuru",17,"2017","Junho","Todas","Ceará"
"33","Paraipaba",8,"2017","Junho","Todas","Ceará"
"34","Pedra Branca",3,"2017","Junho","Todas","Ceará"
"35","Penaforte",4,"2017","Junho","Todas","Ceará"
"36","Piquet Carneiro",7,"2017","Junho","Todas","Ceará"
"37","Potiretama",1,"2017","Junho","Todas","Ceará"
"38","Quixadá",40,"2017","Junho","Todas","Ceará"
"39","Cruz",11,"2017","Junho","Todas","Ceará"
"40","Farias Brito",2,"2017","Junho","Todas","Ceará"
"41","Fortaleza",1865,"2017","Junho","Todas","Ceará"
"42","Fortim",4,"2017","Junho","Todas","Ceará"
"43","Granja",4,"2017","Junho","Todas","Ceará"
"44","Hidrolândia",8,"2017","Junho","Todas","Ceará"
"45","Horizonte",41,"2017","Junho","Todas","Ceará"
"46","Ibiapina",16,"2017","Junho","Todas","Ceará"
"47","Iguatu",71,"2017","Junho","Todas","Ceará"
"48","Ipaporanga",7,"2017","Junho","Todas","Ceará"
"49","Irauçuba",9,"2017","Junho","Todas","Ceará"
"50","Itapiúna",11,"2017","Junho","Todas","Ceará"
"51","Jaguaretama",9,"2017","Junho","Todas","Ceará"
"52","Jaguaribe",16,"2017","Junho","Todas","Ceará"
"53","Jaguaruana",13,"2017","Junho","Todas","Ceará"
"54","Jati",4,"2017","Junho","Todas","Ceará"
"55","Juazeiro do Norte",206,"2017","Junho","Todas","Ceará"
"56","Lavras da Mangabeira",8,"2017","Junho","Todas","Ceará"
"57","Limoeiro do Norte",28,"2017","Junho","Todas","Ceará"
"58","Madalena",5,"2017","Junho","Todas","Ceará"
"59","Acarapé",5,"2017","Junho","Todas","Ceará"
"60","Acaraú",18,"2017","Junho","Todas","Ceará"
"61","Alto Santo",4,"2017","Junho","Todas","Ceará"
"62","Amontada",1,"2017","Junho","Todas","Ceará"
"63","Aracati",40,"2017","Junho","Todas","Ceará"
"64","Ararendá",4,"2017","Junho","Todas","Ceará"
"65","Araripe",7,"2017","Junho","Todas","Ceará"
"66","Aratuba",4,"2017","Junho","Todas","Ceará"
"67","Barbalha",90,"2017","Junho","Todas","Ceará"
"68","Barreira",4,"2017","Junho","Todas","Ceará"
"69","Beberibe",21,"2017","Junho","Todas","Ceará"
"70","Campos Sales",11,"2017","Junho","Todas","Ceará"
"71","Canindé",43,"2017","Junho","Todas","Ceará"
"72","Capistrano",8,"2017","Junho","Todas","Ceará"
"73","Cariús",4,"2017","Junho","Todas","Ceará"
"74","Carnaubal",9,"2017","Junho","Todas","Ceará"
"75","Caucaia",19,"2017","Junho","Todas","Ceará"
"76","Choró",2,"2017","Junho","Todas","Ceará"
"77","Coreaú",8,"2017","Junho","Todas","Ceará"
"78","Crato",55,"2017","Junho","Todas","Ceará"
