"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Francisco de Goiás",1,"2017","Maio","Todas","Goiás"
"2","São Luís de Montes Belos",15,"2017","Maio","Todas","Goiás"
"3","São Miguel do Passa Quatro",1,"2017","Maio","Todas","Goiás"
"4","Trombas",3,"2017","Maio","Todas","Goiás"
"5","Turvânia",1,"2017","Maio","Todas","Goiás"
"6","Uruaçu",18,"2017","Maio","Todas","Goiás"
"7","Valparaíso de Goiás",23,"2017","Maio","Todas","Goiás"
"8","Varjão",1,"2017","Maio","Todas","Goiás"
"9","Vianópolis",2,"2017","Maio","Todas","Goiás"
"10","Vicentinópolis",4,"2017","Maio","Todas","Goiás"
"11","Vila Propício",1,"2017","Maio","Todas","Goiás"
"12","Água Fria de Goiás",1,"2017","Maio","Todas","Goiás"
"13","Águas Lindas de Goiás",35,"2017","Maio","Todas","Goiás"
"14","Nova Crixás",4,"2017","Maio","Todas","Goiás"
"15","Nova Gloria",1,"2017","Maio","Todas","Goiás"
"16","Nova Veneza",2,"2017","Maio","Todas","Goiás"
"17","Novo Gama",17,"2017","Maio","Todas","Goiás"
"18","Palmeiras de Goiás",11,"2017","Maio","Todas","Goiás"
"19","Perolândia",2,"2017","Maio","Todas","Goiás"
"20","Piracanjuba",14,"2017","Maio","Todas","Goiás"
"21","Planaltina",37,"2017","Maio","Todas","Goiás"
"22","Pontalina",2,"2017","Maio","Todas","Goiás"
"23","Porangatu",23,"2017","Maio","Todas","Goiás"
"24","Posse",16,"2017","Maio","Todas","Goiás"
"25","Rialma",1,"2017","Maio","Todas","Goiás"
"26","Rio Quente",1,"2017","Maio","Todas","Goiás"
"27","Rio Verde",103,"2017","Maio","Todas","Goiás"
"28","Rubiataba",4,"2017","Maio","Todas","Goiás"
"29","Sanclerlândia",8,"2017","Maio","Todas","Goiás"
"30","Santa Fé de Goiás",7,"2017","Maio","Todas","Goiás"
"31","Santa Terezinha de Goiás",1,"2017","Maio","Todas","Goiás"
"32","Santo Antônio do Descoberto",13,"2017","Maio","Todas","Goiás"
"33","Serranópolis",2,"2017","Maio","Todas","Goiás"
"34","Goianira",12,"2017","Maio","Todas","Goiás"
"35","Goianésia",30,"2017","Maio","Todas","Goiás"
"36","Goiânia",1242,"2017","Maio","Todas","Goiás"
"37","Iaciara",3,"2017","Maio","Todas","Goiás"
"38","Inaciolândia",2,"2017","Maio","Todas","Goiás"
"39","Inhumas",26,"2017","Maio","Todas","Goiás"
"40","Iporá",14,"2017","Maio","Todas","Goiás"
"41","Itaguaru",1,"2017","Maio","Todas","Goiás"
"42","Itapuranga",10,"2017","Maio","Todas","Goiás"
"43","Itumbiara",31,"2017","Maio","Todas","Goiás"
"44","Jaraguá",8,"2017","Maio","Todas","Goiás"
"45","Leopoldo de Bulhões",2,"2017","Maio","Todas","Goiás"
"46","Mara Rosa",4,"2017","Maio","Todas","Goiás"
