"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Wenceslau Braz",15,"2017","Maio","Todas","Paraná"
"2","Terra Rica",10,"2017","Maio","Todas","Paraná"
"3","Terra Roxa",5,"2017","Maio","Todas","Paraná"
"4","Tibagi",6,"2017","Maio","Todas","Paraná"
"5","Tijucas do Sul",6,"2017","Maio","Todas","Paraná"
"6","Toledo",93,"2017","Maio","Todas","Paraná"
"7","Três Barras do Paraná",11,"2017","Maio","Todas","Paraná"
"8","Tunas do Paraná",4,"2017","Maio","Todas","Paraná"
"9","Tuneiras do Oeste",2,"2017","Maio","Todas","Paraná"
"10","Tupãssi",2,"2017","Maio","Todas","Paraná"
"11","Turvo",1,"2017","Maio","Todas","Paraná"
"12","Ubiratã",10,"2017","Maio","Todas","Paraná"
"13","Umuarama",148,"2017","Maio","Todas","Paraná"
"14","Uniflor",1,"2017","Maio","Todas","Paraná"
"15","União da Vitória",36,"2017","Maio","Todas","Paraná"
"16","Uraí",7,"2017","Maio","Todas","Paraná"
"17","Ventania",3,"2017","Maio","Todas","Paraná"
"18","Vera Cruz do Oeste",9,"2017","Maio","Todas","Paraná"
"19","Verê",2,"2017","Maio","Todas","Paraná"
"20","Virmond",2,"2017","Maio","Todas","Paraná"
"21","Vitorino",2,"2017","Maio","Todas","Paraná"
"22","São Jorge do Ivaí",1,"2017","Maio","Todas","Paraná"
"23","São Jorge do Patrocínio",5,"2017","Maio","Todas","Paraná"
"24","São José da Boa Vista",2,"2017","Maio","Todas","Paraná"
"25","São José das Palmeiras",2,"2017","Maio","Todas","Paraná"
"26","São José dos Pinhais",97,"2017","Maio","Todas","Paraná"
"27","São João",7,"2017","Maio","Todas","Paraná"
"28","São João do Caiuá",2,"2017","Maio","Todas","Paraná"
"29","São João do Ivaí",6,"2017","Maio","Todas","Paraná"
"30","São João do Triunfo",5,"2017","Maio","Todas","Paraná"
"31","São Mateus do Sul",24,"2017","Maio","Todas","Paraná"
"32","São Miguel do Iguaçu",5,"2017","Maio","Todas","Paraná"
"33","São Pedro do Iguaçu",5,"2017","Maio","Todas","Paraná"
"34","São Pedro do Ivaí",1,"2017","Maio","Todas","Paraná"
"35","São Sebastião da Amoreira",2,"2017","Maio","Todas","Paraná"
"36","Tamarana",6,"2017","Maio","Todas","Paraná"
"37","Tapejara",3,"2017","Maio","Todas","Paraná"
"38","Tapira",4,"2017","Maio","Todas","Paraná"
"39","Teixeira Soares",5,"2017","Maio","Todas","Paraná"
"40","Telemaco Borba",50,"2017","Maio","Todas","Paraná"
"41","Terra Boa",7,"2017","Maio","Todas","Paraná"
"42","Santa Isabel do Ivaí",7,"2017","Maio","Todas","Paraná"
"43","Santa Izabel do Oeste",7,"2017","Maio","Todas","Paraná"
"44","Santa Mariana",2,"2017","Maio","Todas","Paraná"
"45","Santa Mônica",2,"2017","Maio","Todas","Paraná"
"46","Santa Tereza do Oeste",1,"2017","Maio","Todas","Paraná"
"47","Santa Terezinha de Itaipu",7,"2017","Maio","Todas","Paraná"
"48","Santo Antônio da Platina",34,"2017","Maio","Todas","Paraná"
"49","Santo Antônio do Sudoeste",7,"2017","Maio","Todas","Paraná"
"50","Sapopema",4,"2017","Maio","Todas","Paraná"
"51","Sarandi",57,"2017","Maio","Todas","Paraná"
"52","Saudade do Iguaçu",4,"2017","Maio","Todas","Paraná"
"53","Sengés",1,"2017","Maio","Todas","Paraná"
"54","Serranópolis do Iguaçu",1,"2017","Maio","Todas","Paraná"
"55","Sertaneja",3,"2017","Maio","Todas","Paraná"
"56","Sertanópolis",5,"2017","Maio","Todas","Paraná"
"57","Siqueira Campos",11,"2017","Maio","Todas","Paraná"
"58","Sulina",1,"2017","Maio","Todas","Paraná"
"59","São Carlos do Ivaí",3,"2017","Maio","Todas","Paraná"
"60","São Jerônimo da Serra",5,"2017","Maio","Todas","Paraná"
"61","São Jorge D'oeste",3,"2017","Maio","Todas","Paraná"
"62","Renascença",2,"2017","Maio","Todas","Paraná"
"63","Reserva",14,"2017","Maio","Todas","Paraná"
"64","Reserva do Iguaçu",1,"2017","Maio","Todas","Paraná"
"65","Ribeirão Claro",8,"2017","Maio","Todas","Paraná"
"66","Ribeirão do Pinhal",6,"2017","Maio","Todas","Paraná"
"67","Rio Azul",6,"2017","Maio","Todas","Paraná"
"68","Rio Bom",2,"2017","Maio","Todas","Paraná"
"69","Rio Bonito do Iguaçu",1,"2017","Maio","Todas","Paraná"
"70","Rio Branco do Sul",13,"2017","Maio","Todas","Paraná"
"71","Rio Negro",17,"2017","Maio","Todas","Paraná"
"72","Rolandia",29,"2017","Maio","Todas","Paraná"
"73","Roncador",7,"2017","Maio","Todas","Paraná"
"74","Rondon",3,"2017","Maio","Todas","Paraná"
"75","Rosário do Ivaí",4,"2017","Maio","Todas","Paraná"
"76","Sabáudia",1,"2017","Maio","Todas","Paraná"
"77","Salto do Itararé",2,"2017","Maio","Todas","Paraná"
"78","Salto do Lontra",3,"2017","Maio","Todas","Paraná"
"79","Santa Cruz de Monte Castelo",1,"2017","Maio","Todas","Paraná"
"80","Santa Fé",1,"2017","Maio","Todas","Paraná"
"81","Santa Helena",8,"2017","Maio","Todas","Paraná"
"82","Porto Rico",3,"2017","Maio","Todas","Paraná"
"83","Porto Vitória",1,"2017","Maio","Todas","Paraná"
"84","Pranchita",6,"2017","Maio","Todas","Paraná"
"85","Primeiro de Maio",4,"2017","Maio","Todas","Paraná"
"86","Prudentópolis",16,"2017","Maio","Todas","Paraná"
"87","Pérola",2,"2017","Maio","Todas","Paraná"
"88","Pérola D'oeste",2,"2017","Maio","Todas","Paraná"
"89","Quarto Centenário",2,"2017","Maio","Todas","Paraná"
"90","Quatiguá",2,"2017","Maio","Todas","Paraná"
"91","Quatro Barras",3,"2017","Maio","Todas","Paraná"
"92","Quatro Pontes",1,"2017","Maio","Todas","Paraná"
"93","Quedas do Iguaçu",15,"2017","Maio","Todas","Paraná"
"94","Querência do Norte",1,"2017","Maio","Todas","Paraná"
"95","Quinta do Sol",1,"2017","Maio","Todas","Paraná"
"96","Quitandinha",7,"2017","Maio","Todas","Paraná"
"97","Ramilândia",1,"2017","Maio","Todas","Paraná"
"98","Rancho Alegre",1,"2017","Maio","Todas","Paraná"
"99","Rancho Alegre D'oeste",2,"2017","Maio","Todas","Paraná"
"100","Realeza",5,"2017","Maio","Todas","Paraná"
"101","Rebouças",6,"2017","Maio","Todas","Paraná"
"102","Paraíso do Norte",4,"2017","Maio","Todas","Paraná"
"103","Pato Bragado",5,"2017","Maio","Todas","Paraná"
"104","Pato Branco",78,"2017","Maio","Todas","Paraná"
"105","Paula Freitas",2,"2017","Maio","Todas","Paraná"
"106","Paulo Frontin",3,"2017","Maio","Todas","Paraná"
"107","Peabiru",1,"2017","Maio","Todas","Paraná"
"108","Perobal",3,"2017","Maio","Todas","Paraná"
"109","Pinhais",27,"2017","Maio","Todas","Paraná"
"110","Pinhalão",3,"2017","Maio","Todas","Paraná"
"111","Pinhão",7,"2017","Maio","Todas","Paraná"
"112","Piraquara",30,"2017","Maio","Todas","Paraná"
"113","Pitanga",17,"2017","Maio","Todas","Paraná"
"114","Pitangueiras",1,"2017","Maio","Todas","Paraná"
"115","Piên",5,"2017","Maio","Todas","Paraná"
"116","Planaltina do Paraná",2,"2017","Maio","Todas","Paraná"
"117","Planalto",11,"2017","Maio","Todas","Paraná"
"118","Ponta Grossa",262,"2017","Maio","Todas","Paraná"
"119","Pontal do Parana",13,"2017","Maio","Todas","Paraná"
"120","Porecatu",4,"2017","Maio","Todas","Paraná"
"121","Porto Barreiro",1,"2017","Maio","Todas","Paraná"
"122","Nova Laranjeiras",6,"2017","Maio","Todas","Paraná"
"123","Nova Londrina",7,"2017","Maio","Todas","Paraná"
"124","Nova Olímpia",3,"2017","Maio","Todas","Paraná"
"125","Nova Prata do Iguaçu",5,"2017","Maio","Todas","Paraná"
"126","Nova Santa Bárbara",1,"2017","Maio","Todas","Paraná"
"127","Nova Santa Rosa",7,"2017","Maio","Todas","Paraná"
"128","Nova Tebas",1,"2017","Maio","Todas","Paraná"
"129","Novo Itacolomi",2,"2017","Maio","Todas","Paraná"
"130","Ortigueira",14,"2017","Maio","Todas","Paraná"
"131","Ourizona",3,"2017","Maio","Todas","Paraná"
"132","Ouro Verde do Oeste",1,"2017","Maio","Todas","Paraná"
"133","Paiçandu",9,"2017","Maio","Todas","Paraná"
"134","Palmas",24,"2017","Maio","Todas","Paraná"
"135","Palmeira",17,"2017","Maio","Todas","Paraná"
"136","Palmital",7,"2017","Maio","Todas","Paraná"
"137","Palotina",16,"2017","Maio","Todas","Paraná"
"138","Paranacity",3,"2017","Maio","Todas","Paraná"
"139","Paranagua",114,"2017","Maio","Todas","Paraná"
"140","Paranapoema",1,"2017","Maio","Todas","Paraná"
"141","Paranavaí",66,"2017","Maio","Todas","Paraná"
"142","Marquinho",1,"2017","Maio","Todas","Paraná"
"143","Marumbi",2,"2017","Maio","Todas","Paraná"
"144","Matelandia",8,"2017","Maio","Todas","Paraná"
"145","Matinhos",11,"2017","Maio","Todas","Paraná"
"146","Mato Rico",2,"2017","Maio","Todas","Paraná"
"147","Mauá da Serra",5,"2017","Maio","Todas","Paraná"
"148","Medianeira",22,"2017","Maio","Todas","Paraná"
"149","Miraselva",1,"2017","Maio","Todas","Paraná"
"150","Missal",9,"2017","Maio","Todas","Paraná"
"151","Moreira Sales",7,"2017","Maio","Todas","Paraná"
"152","Morretes",9,"2017","Maio","Todas","Paraná"
"153","Munhoz de Melo",2,"2017","Maio","Todas","Paraná"
"154","Nossa Senhora das Graças",1,"2017","Maio","Todas","Paraná"
"155","Nova Aliança do Ivaí",1,"2017","Maio","Todas","Paraná"
"156","Nova América da Colina",2,"2017","Maio","Todas","Paraná"
