"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uruguaiana",109,"2017","Maio","Todas","Rio Grande do Sul"
"2","Vacaria",5,"2017","Maio","Todas","Rio Grande do Sul"
"3","Vale do Sol",10,"2017","Maio","Todas","Rio Grande do Sul"
"4","Venâncio Aires",69,"2017","Maio","Todas","Rio Grande do Sul"
"5","Vera Cruz",20,"2017","Maio","Todas","Rio Grande do Sul"
"6","Veranopolis",2,"2017","Maio","Todas","Rio Grande do Sul"
"7","Viamao",2,"2017","Maio","Todas","Rio Grande do Sul"
"8","Victor Graeff",1,"2017","Maio","Todas","Rio Grande do Sul"
"9","São Valentim",3,"2017","Maio","Todas","Rio Grande do Sul"
"10","São Vicente do Sul",1,"2017","Maio","Todas","Rio Grande do Sul"
"11","Tabaí",1,"2017","Maio","Todas","Rio Grande do Sul"
"12","Tapejara",19,"2017","Maio","Todas","Rio Grande do Sul"
"13","Tapes",11,"2017","Maio","Todas","Rio Grande do Sul"
"14","Taquara",1,"2017","Maio","Todas","Rio Grande do Sul"
"15","Tenente Portela",25,"2017","Maio","Todas","Rio Grande do Sul"
"16","Terra de Areia",3,"2017","Maio","Todas","Rio Grande do Sul"
"17","Teutônia",26,"2017","Maio","Todas","Rio Grande do Sul"
"18","Torres",1,"2017","Maio","Todas","Rio Grande do Sul"
"19","Tramandaí",50,"2017","Maio","Todas","Rio Grande do Sul"
"20","Triunfo",14,"2017","Maio","Todas","Rio Grande do Sul"
"21","Três Cachoeiras",4,"2017","Maio","Todas","Rio Grande do Sul"
"22","Três Coroas",15,"2017","Maio","Todas","Rio Grande do Sul"
"23","Três Passos",43,"2017","Maio","Todas","Rio Grande do Sul"
"24","Três de Maio",22,"2017","Maio","Todas","Rio Grande do Sul"
"25","Tunas",2,"2017","Maio","Todas","Rio Grande do Sul"
"26","Tupanciretã",5,"2017","Maio","Todas","Rio Grande do Sul"
"27","Tupandi",4,"2017","Maio","Todas","Rio Grande do Sul"
"28","Tuparendi",10,"2017","Maio","Todas","Rio Grande do Sul"
"29","Serafina Correa",2,"2017","Maio","Todas","Rio Grande do Sul"
"30","Sertão Santana",2,"2017","Maio","Todas","Rio Grande do Sul"
"31","Severiano de Almeida",2,"2017","Maio","Todas","Rio Grande do Sul"
"32","Sinimbu",6,"2017","Maio","Todas","Rio Grande do Sul"
"33","Soledade",1,"2017","Maio","Todas","Rio Grande do Sul"
"34","São Borja",63,"2017","Maio","Todas","Rio Grande do Sul"
"35","São Francisco de Paula",1,"2017","Maio","Todas","Rio Grande do Sul"
"36","São Gabriel",40,"2017","Maio","Todas","Rio Grande do Sul"
"37","São Jorge",1,"2017","Maio","Todas","Rio Grande do Sul"
"38","São José do Norte",2,"2017","Maio","Todas","Rio Grande do Sul"
"39","São José do Ouro",13,"2017","Maio","Todas","Rio Grande do Sul"
"40","São Leopoldo",15,"2017","Maio","Todas","Rio Grande do Sul"
"41","São Luiz Gonzaga",1,"2017","Maio","Todas","Rio Grande do Sul"
"42","São Martinho",5,"2017","Maio","Todas","Rio Grande do Sul"
"43","São Miguel das Missões",4,"2017","Maio","Todas","Rio Grande do Sul"
"44","São Nicolau",1,"2017","Maio","Todas","Rio Grande do Sul"
"45","São Pedro do Butiá",1,"2017","Maio","Todas","Rio Grande do Sul"
"46","São Pedro do Sul",12,"2017","Maio","Todas","Rio Grande do Sul"
"47","São Sebastião do Caí",11,"2017","Maio","Todas","Rio Grande do Sul"
"48","São Sepé",18,"2017","Maio","Todas","Rio Grande do Sul"
"49","Rosário do Sul",40,"2017","Maio","Todas","Rio Grande do Sul"
"50","Salvador do Sul",3,"2017","Maio","Todas","Rio Grande do Sul"
"51","Sananduva",10,"2017","Maio","Todas","Rio Grande do Sul"
"52","Santa Bárbara do Sul",8,"2017","Maio","Todas","Rio Grande do Sul"
"53","Santa Clara do Sul",4,"2017","Maio","Todas","Rio Grande do Sul"
"54","Santa Maria",247,"2017","Maio","Todas","Rio Grande do Sul"
"55","Santa Rosa",85,"2017","Maio","Todas","Rio Grande do Sul"
"56","Santa Vitória do Palmar",18,"2017","Maio","Todas","Rio Grande do Sul"
"57","Santana da Boa Vista",10,"2017","Maio","Todas","Rio Grande do Sul"
"58","Santana do Livramento",68,"2017","Maio","Todas","Rio Grande do Sul"
"59","Santo Angelo",3,"2017","Maio","Todas","Rio Grande do Sul"
"60","Santo Antônio da Patrulha",20,"2017","Maio","Todas","Rio Grande do Sul"
"61","Santo Antônio das Missões",6,"2017","Maio","Todas","Rio Grande do Sul"
"62","Santo Cristo",7,"2017","Maio","Todas","Rio Grande do Sul"
"63","Sao Jeronimo",25,"2017","Maio","Todas","Rio Grande do Sul"
"64","Sapiranga",56,"2017","Maio","Todas","Rio Grande do Sul"
"65","Sapucaia do Sul",79,"2017","Maio","Todas","Rio Grande do Sul"
"66","Sarandi",18,"2017","Maio","Todas","Rio Grande do Sul"
"67","Seberi",1,"2017","Maio","Todas","Rio Grande do Sul"
"68","Selbach",3,"2017","Maio","Todas","Rio Grande do Sul"
"69","Paraí",2,"2017","Maio","Todas","Rio Grande do Sul"
"70","Parobé",22,"2017","Maio","Todas","Rio Grande do Sul"
"71","Passa Sete",1,"2017","Maio","Todas","Rio Grande do Sul"
"72","Passo Fundo",14,"2017","Maio","Todas","Rio Grande do Sul"
"73","Passo do Sobrado",2,"2017","Maio","Todas","Rio Grande do Sul"
"74","Pedro Osório",8,"2017","Maio","Todas","Rio Grande do Sul"
"75","Pelotas",15,"2017","Maio","Todas","Rio Grande do Sul"
"76","Pinheiro Machado",5,"2017","Maio","Todas","Rio Grande do Sul"
"77","Piratini",16,"2017","Maio","Todas","Rio Grande do Sul"
"78","Planalto",8,"2017","Maio","Todas","Rio Grande do Sul"
"79","Porto Alegre",924,"2017","Maio","Todas","Rio Grande do Sul"
"80","Porto Xavier",9,"2017","Maio","Todas","Rio Grande do Sul"
"81","Portão",17,"2017","Maio","Todas","Rio Grande do Sul"
"82","Putinga",1,"2017","Maio","Todas","Rio Grande do Sul"
"83","Quaraí",23,"2017","Maio","Todas","Rio Grande do Sul"
"84","Restinga Seca",10,"2017","Maio","Todas","Rio Grande do Sul"
"85","Rio Grande",164,"2017","Maio","Todas","Rio Grande do Sul"
"86","Rio Pardo",22,"2017","Maio","Todas","Rio Grande do Sul"
"87","Rodeio Bonito",9,"2017","Maio","Todas","Rio Grande do Sul"
"88","Rolante",24,"2017","Maio","Todas","Rio Grande do Sul"
"89","Maquiné",3,"2017","Maio","Todas","Rio Grande do Sul"
"90","Marau",7,"2017","Maio","Todas","Rio Grande do Sul"
"91","Mariana Pimentel",1,"2017","Maio","Todas","Rio Grande do Sul"
"92","Mariano Moro",2,"2017","Maio","Todas","Rio Grande do Sul"
"93","Marques de Souza",10,"2017","Maio","Todas","Rio Grande do Sul"
"94","Maximiliano de Almeida",5,"2017","Maio","Todas","Rio Grande do Sul"
"95","Muçum",1,"2017","Maio","Todas","Rio Grande do Sul"
"96","Nonoai",12,"2017","Maio","Todas","Rio Grande do Sul"
"97","Nova Bassano",5,"2017","Maio","Todas","Rio Grande do Sul"
"98","Nova Bréscia",2,"2017","Maio","Todas","Rio Grande do Sul"
"99","Nova Palma",1,"2017","Maio","Todas","Rio Grande do Sul"
"100","Nova Petropolis",14,"2017","Maio","Todas","Rio Grande do Sul"
"101","Nova Prata",1,"2017","Maio","Todas","Rio Grande do Sul"
"102","Nova Santa Rita",5,"2017","Maio","Todas","Rio Grande do Sul"
"103","Novo Hamburgo",153,"2017","Maio","Todas","Rio Grande do Sul"
"104","Osorio",36,"2017","Maio","Todas","Rio Grande do Sul"
"105","Paim Filho",1,"2017","Maio","Todas","Rio Grande do Sul"
"106","Palmares do Sul",4,"2017","Maio","Todas","Rio Grande do Sul"
"107","Palmeira das Missões",25,"2017","Maio","Todas","Rio Grande do Sul"
"108","Panambi",17,"2017","Maio","Todas","Rio Grande do Sul"
"109","Guarani das Missões",15,"2017","Maio","Todas","Rio Grande do Sul"
"110","Herval",3,"2017","Maio","Todas","Rio Grande do Sul"
"111","Ibarama",3,"2017","Maio","Todas","Rio Grande do Sul"
"112","Ibiaçá",1,"2017","Maio","Todas","Rio Grande do Sul"
"113","Ibiraiaras",2,"2017","Maio","Todas","Rio Grande do Sul"
"114","Ibirubá",9,"2017","Maio","Todas","Rio Grande do Sul"
"115","Ijui",89,"2017","Maio","Todas","Rio Grande do Sul"
"116","Ilópolis",3,"2017","Maio","Todas","Rio Grande do Sul"
"117","Imigrante",1,"2017","Maio","Todas","Rio Grande do Sul"
"118","Independência",2,"2017","Maio","Todas","Rio Grande do Sul"
"119","Inhacorá",1,"2017","Maio","Todas","Rio Grande do Sul"
"120","Ipê",3,"2017","Maio","Todas","Rio Grande do Sul"
"121","Itaara",1,"2017","Maio","Todas","Rio Grande do Sul"
"122","Itaqui",19,"2017","Maio","Todas","Rio Grande do Sul"
"123","Ivoti",18,"2017","Maio","Todas","Rio Grande do Sul"
"124","Jaguarão",20,"2017","Maio","Todas","Rio Grande do Sul"
"125","Júlio de Castilhos",3,"2017","Maio","Todas","Rio Grande do Sul"
"126","Lagoa Vermelha",21,"2017","Maio","Todas","Rio Grande do Sul"
"127","Lavras do Sul",5,"2017","Maio","Todas","Rio Grande do Sul"
"128","Liberato Salzano",3,"2017","Maio","Todas","Rio Grande do Sul"
"129","Doutor Maurício Cardoso",2,"2017","Maio","Todas","Rio Grande do Sul"
"130","Eldorado do Sul",1,"2017","Maio","Todas","Rio Grande do Sul"
"131","Encantado",17,"2017","Maio","Todas","Rio Grande do Sul"
"132","Encruzilhada do Sul",19,"2017","Maio","Todas","Rio Grande do Sul"
"133","Erechim",10,"2017","Maio","Todas","Rio Grande do Sul"
"134","Erval Seco",9,"2017","Maio","Todas","Rio Grande do Sul"
"135","Esmeralda",3,"2017","Maio","Todas","Rio Grande do Sul"
"136","Estancia Velha",16,"2017","Maio","Todas","Rio Grande do Sul"
"137","Farroupilha",29,"2017","Maio","Todas","Rio Grande do Sul"
"138","Feliz",1,"2017","Maio","Todas","Rio Grande do Sul"
"139","Formigueiro",3,"2017","Maio","Todas","Rio Grande do Sul"
"140","Frederico Westphalen",26,"2017","Maio","Todas","Rio Grande do Sul"
"141","Garibaldi",20,"2017","Maio","Todas","Rio Grande do Sul"
"142","Gaurama",5,"2017","Maio","Todas","Rio Grande do Sul"
"143","Giruá",17,"2017","Maio","Todas","Rio Grande do Sul"
