"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tomazina",6,"2017","Março","Todas","Paraná"
"2","Três Barras do Paraná",6,"2017","Março","Todas","Paraná"
"3","Tunas do Paraná",3,"2017","Março","Todas","Paraná"
"4","Tuneiras do Oeste",2,"2017","Março","Todas","Paraná"
"5","Tupãssi",5,"2017","Março","Todas","Paraná"
"6","Turvo",6,"2017","Março","Todas","Paraná"
"7","Ubiratã",8,"2017","Março","Todas","Paraná"
"8","Umuarama",136,"2017","Março","Todas","Paraná"
"9","União da Vitória",31,"2017","Março","Todas","Paraná"
"10","Uraí",2,"2017","Março","Todas","Paraná"
"11","Ventania",4,"2017","Março","Todas","Paraná"
"12","Verê",5,"2017","Março","Todas","Paraná"
"13","Virmond",2,"2017","Março","Todas","Paraná"
"14","Vitorino",1,"2017","Março","Todas","Paraná"
"15","Wenceslau Braz",9,"2017","Março","Todas","Paraná"
"16","Ângulo",1,"2017","Março","Todas","Paraná"
"17","São João do Ivaí",8,"2017","Março","Todas","Paraná"
"18","São João do Triunfo",3,"2017","Março","Todas","Paraná"
"19","São Manoel do Paraná",1,"2017","Março","Todas","Paraná"
"20","São Mateus do Sul",20,"2017","Março","Todas","Paraná"
"21","São Miguel do Iguaçu",3,"2017","Março","Todas","Paraná"
"22","São Pedro do Ivaí",3,"2017","Março","Todas","Paraná"
"23","São Sebastião da Amoreira",2,"2017","Março","Todas","Paraná"
"24","São Tomé",1,"2017","Março","Todas","Paraná"
"25","Tamarana",3,"2017","Março","Todas","Paraná"
"26","Tamboara",4,"2017","Março","Todas","Paraná"
"27","Tapejara",3,"2017","Março","Todas","Paraná"
"28","Tapira",1,"2017","Março","Todas","Paraná"
"29","Teixeira Soares",4,"2017","Março","Todas","Paraná"
"30","Telemaco Borba",40,"2017","Março","Todas","Paraná"
"31","Terra Boa",5,"2017","Março","Todas","Paraná"
"32","Terra Rica",7,"2017","Março","Todas","Paraná"
"33","Terra Roxa",6,"2017","Março","Todas","Paraná"
"34","Tibagi",12,"2017","Março","Todas","Paraná"
"35","Tijucas do Sul",3,"2017","Março","Todas","Paraná"
"36","Toledo",68,"2017","Março","Todas","Paraná"
"37","Santo Antônio da Platina",28,"2017","Março","Todas","Paraná"
"38","Santo Antônio do Paraíso",1,"2017","Março","Todas","Paraná"
"39","Santo Antônio do Sudoeste",6,"2017","Março","Todas","Paraná"
"40","Sapopema",2,"2017","Março","Todas","Paraná"
"41","Sarandi",58,"2017","Março","Todas","Paraná"
"42","Saudade do Iguaçu",2,"2017","Março","Todas","Paraná"
"43","Sengés",3,"2017","Março","Todas","Paraná"
"44","Serranópolis do Iguaçu",3,"2017","Março","Todas","Paraná"
"45","Sertaneja",1,"2017","Março","Todas","Paraná"
"46","Sertanópolis",5,"2017","Março","Todas","Paraná"
"47","Siqueira Campos",12,"2017","Março","Todas","Paraná"
"48","São Carlos do Ivaí",1,"2017","Março","Todas","Paraná"
"49","São Jerônimo da Serra",3,"2017","Março","Todas","Paraná"
"50","São Jorge D'oeste",3,"2017","Março","Todas","Paraná"
"51","São Jorge do Ivaí",1,"2017","Março","Todas","Paraná"
"52","São Jorge do Patrocínio",6,"2017","Março","Todas","Paraná"
"53","São José da Boa Vista",1,"2017","Março","Todas","Paraná"
"54","São José dos Pinhais",83,"2017","Março","Todas","Paraná"
"55","São João",2,"2017","Março","Todas","Paraná"
"56","São João do Caiuá",3,"2017","Março","Todas","Paraná"
"57","Rio Bom",1,"2017","Março","Todas","Paraná"
"58","Rio Bonito do Iguaçu",5,"2017","Março","Todas","Paraná"
"59","Rio Branco do Sul",11,"2017","Março","Todas","Paraná"
"60","Rio Negro",19,"2017","Março","Todas","Paraná"
"61","Rolandia",22,"2017","Março","Todas","Paraná"
"62","Roncador",8,"2017","Março","Todas","Paraná"
"63","Rondon",3,"2017","Março","Todas","Paraná"
"64","Rosário do Ivaí",2,"2017","Março","Todas","Paraná"
"65","Salgado Filho",1,"2017","Março","Todas","Paraná"
"66","Salto do Itararé",1,"2017","Março","Todas","Paraná"
"67","Salto do Lontra",2,"2017","Março","Todas","Paraná"
"68","Santa Amélia",2,"2017","Março","Todas","Paraná"
"69","Santa Cruz de Monte Castelo",1,"2017","Março","Todas","Paraná"
"70","Santa Fé",3,"2017","Março","Todas","Paraná"
"71","Santa Helena",14,"2017","Março","Todas","Paraná"
"72","Santa Isabel do Ivaí",2,"2017","Março","Todas","Paraná"
"73","Santa Izabel do Oeste",5,"2017","Março","Todas","Paraná"
"74","Santa Mariana",10,"2017","Março","Todas","Paraná"
"75","Santa Tereza do Oeste",5,"2017","Março","Todas","Paraná"
"76","Santa Terezinha de Itaipu",6,"2017","Março","Todas","Paraná"
"77","Prudentópolis",31,"2017","Março","Todas","Paraná"
"78","Pérola",6,"2017","Março","Todas","Paraná"
"79","Pérola D'oeste",1,"2017","Março","Todas","Paraná"
"80","Quarto Centenário",1,"2017","Março","Todas","Paraná"
"81","Quatiguá",3,"2017","Março","Todas","Paraná"
"82","Quatro Barras",3,"2017","Março","Todas","Paraná"
"83","Quatro Pontes",1,"2017","Março","Todas","Paraná"
"84","Quedas do Iguaçu",10,"2017","Março","Todas","Paraná"
"85","Querência do Norte",2,"2017","Março","Todas","Paraná"
"86","Quinta do Sol",2,"2017","Março","Todas","Paraná"
"87","Quitandinha",5,"2017","Março","Todas","Paraná"
"88","Rancho Alegre",2,"2017","Março","Todas","Paraná"
"89","Rancho Alegre D'oeste",1,"2017","Março","Todas","Paraná"
"90","Realeza",3,"2017","Março","Todas","Paraná"
"91","Rebouças",14,"2017","Março","Todas","Paraná"
"92","Renascença",1,"2017","Março","Todas","Paraná"
"93","Reserva",11,"2017","Março","Todas","Paraná"
"94","Ribeirão Claro",11,"2017","Março","Todas","Paraná"
"95","Ribeirão do Pinhal",5,"2017","Março","Todas","Paraná"
"96","Rio Azul",6,"2017","Março","Todas","Paraná"
"97","Pinhais",18,"2017","Março","Todas","Paraná"
"98","Pinhal de São Bento",2,"2017","Março","Todas","Paraná"
"99","Pinhão",15,"2017","Março","Todas","Paraná"
"100","Piraquara",16,"2017","Março","Todas","Paraná"
"101","Piraí do Sul",4,"2017","Março","Todas","Paraná"
"102","Pitanga",10,"2017","Março","Todas","Paraná"
"103","Pitangueiras",1,"2017","Março","Todas","Paraná"
"104","Piên",1,"2017","Março","Todas","Paraná"
"105","Planaltina do Paraná",4,"2017","Março","Todas","Paraná"
"106","Planalto",10,"2017","Março","Todas","Paraná"
"107","Ponta Grossa",252,"2017","Março","Todas","Paraná"
"108","Pontal do Parana",10,"2017","Março","Todas","Paraná"
"109","Porecatu",7,"2017","Março","Todas","Paraná"
"110","Porto Amazonas",4,"2017","Março","Todas","Paraná"
"111","Porto Barreiro",1,"2017","Março","Todas","Paraná"
"112","Porto Rico",1,"2017","Março","Todas","Paraná"
"113","Porto Vitória",1,"2017","Março","Todas","Paraná"
"114","Prado Ferreira",2,"2017","Março","Todas","Paraná"
"115","Pranchita",3,"2017","Março","Todas","Paraná"
"116","Primeiro de Maio",4,"2017","Março","Todas","Paraná"
"117","Nova Londrina",3,"2017","Março","Todas","Paraná"
"118","Nova Prata do Iguaçu",8,"2017","Março","Todas","Paraná"
"119","Nova Santa Rosa",3,"2017","Março","Todas","Paraná"
"120","Nova Tebas",2,"2017","Março","Todas","Paraná"
"121","Novo Itacolomi",2,"2017","Março","Todas","Paraná"
"122","Paiçandu",6,"2017","Março","Todas","Paraná"
"123","Palmas",24,"2017","Março","Todas","Paraná"
"124","Palmeira",16,"2017","Março","Todas","Paraná"
"125","Palmital",4,"2017","Março","Todas","Paraná"
"126","Palotina",8,"2017","Março","Todas","Paraná"
"127","Paranacity",1,"2017","Março","Todas","Paraná"
"128","Paranagua",102,"2017","Março","Todas","Paraná"
"129","Paranapoema",3,"2017","Março","Todas","Paraná"
"130","Paranavaí",54,"2017","Março","Todas","Paraná"
"131","Paraíso do Norte",16,"2017","Março","Todas","Paraná"
"132","Pato Branco",64,"2017","Março","Todas","Paraná"
"133","Paula Freitas",1,"2017","Março","Todas","Paraná"
"134","Paulo Frontin",3,"2017","Março","Todas","Paraná"
"135","Peabiru",1,"2017","Março","Todas","Paraná"
