"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Felipe",13,"2017","Novembro","Todas","Bahia"
"2","São Félix do Coribe",3,"2017","Novembro","Todas","Bahia"
"3","São Sebastião do Passé",1,"2017","Novembro","Todas","Bahia"
"4","Taperoá",10,"2017","Novembro","Todas","Bahia"
"5","Teixeira de Freitas",91,"2017","Novembro","Todas","Bahia"
"6","Teodoro Sampaio",7,"2017","Novembro","Todas","Bahia"
"7","Terra Nova",1,"2017","Novembro","Todas","Bahia"
"8","Tremedal",3,"2017","Novembro","Todas","Bahia"
"9","Ubaitaba",10,"2017","Novembro","Todas","Bahia"
"10","Urandi",10,"2017","Novembro","Todas","Bahia"
"11","Uruçuca",8,"2017","Novembro","Todas","Bahia"
"12","Valença",23,"2017","Novembro","Todas","Bahia"
"13","Vera Cruz",8,"2017","Novembro","Todas","Bahia"
"14","Vitoria da Conquista",60,"2017","Novembro","Todas","Bahia"
"15","Xique-Xique",25,"2017","Novembro","Todas","Bahia"
"16","Pé de Serra",6,"2017","Novembro","Todas","Bahia"
"17","Rafael Jambeiro",8,"2017","Novembro","Todas","Bahia"
"18","Remanso",17,"2017","Novembro","Todas","Bahia"
"19","Riachão do Jacuípe",17,"2017","Novembro","Todas","Bahia"
"20","Ribeira do Pombal",40,"2017","Novembro","Todas","Bahia"
"21","Rio do Antônio",10,"2017","Novembro","Todas","Bahia"
"22","Ruy Barbosa",21,"2017","Novembro","Todas","Bahia"
"23","Salvador",739,"2017","Novembro","Todas","Bahia"
"24","Santa Bárbara",14,"2017","Novembro","Todas","Bahia"
"25","Santa Cruz Cabrália",6,"2017","Novembro","Todas","Bahia"
"26","Santa Maria da Vitória",16,"2017","Novembro","Todas","Bahia"
"27","Santa Rita de Cássia",14,"2017","Novembro","Todas","Bahia"
"28","Santo Amaro",19,"2017","Novembro","Todas","Bahia"
"29","Santo Estêvão",34,"2017","Novembro","Todas","Bahia"
"30","Sapeaçu",4,"2017","Novembro","Todas","Bahia"
"31","Saúde",19,"2017","Novembro","Todas","Bahia"
"32","Sebastião Laranjeiras",3,"2017","Novembro","Todas","Bahia"
"33","Serra do Ramalho",11,"2017","Novembro","Todas","Bahia"
"34","Serrinha",31,"2017","Novembro","Todas","Bahia"
"35","São Desidério",11,"2017","Novembro","Todas","Bahia"
"36","Maracás",1,"2017","Novembro","Todas","Bahia"
"37","Maragogipe",13,"2017","Novembro","Todas","Bahia"
"38","Mata de Sao Joao",1,"2017","Novembro","Todas","Bahia"
"39","Miguel Calmon",18,"2017","Novembro","Todas","Bahia"
"40","Monte Santo",23,"2017","Novembro","Todas","Bahia"
"41","Morpará",2,"2017","Novembro","Todas","Bahia"
"42","Mucuri",6,"2017","Novembro","Todas","Bahia"
"43","Nazaré",23,"2017","Novembro","Todas","Bahia"
"44","Nova Itarana",3,"2017","Novembro","Todas","Bahia"
"45","Nova Viçosa",13,"2017","Novembro","Todas","Bahia"
"46","Ouriçangas",6,"2017","Novembro","Todas","Bahia"
"47","Palmeiras",2,"2017","Novembro","Todas","Bahia"
