"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tabaporã",3,"2017","Novembro","Todas","Mato Grosso"
"2","Tangará da Serra",39,"2017","Novembro","Todas","Mato Grosso"
"3","Tapurah",1,"2017","Novembro","Todas","Mato Grosso"
"4","Terra Nova do Norte",6,"2017","Novembro","Todas","Mato Grosso"
"5","Torixoréu",3,"2017","Novembro","Todas","Mato Grosso"
"6","União do Sul",3,"2017","Novembro","Todas","Mato Grosso"
"7","Varzea Grande",23,"2017","Novembro","Todas","Mato Grosso"
"8","Vera",2,"2017","Novembro","Todas","Mato Grosso"
"9","Vila Bela da Santíssima Trindade",8,"2017","Novembro","Todas","Mato Grosso"
"10","Vila Rica",5,"2017","Novembro","Todas","Mato Grosso"
"11","Água Boa",10,"2017","Novembro","Todas","Mato Grosso"
"12","Pedra Preta",15,"2017","Novembro","Todas","Mato Grosso"
"13","Peixoto de Azevedo",7,"2017","Novembro","Todas","Mato Grosso"
"14","Pontes e Lacerda",12,"2017","Novembro","Todas","Mato Grosso"
"15","Porto dos Gaúchos",1,"2017","Novembro","Todas","Mato Grosso"
"16","Poxoréo",7,"2017","Novembro","Todas","Mato Grosso"
"17","Primavera do Leste",22,"2017","Novembro","Todas","Mato Grosso"
"18","Querência",4,"2017","Novembro","Todas","Mato Grosso"
"19","Ribeirão Cascalheira",5,"2017","Novembro","Todas","Mato Grosso"
"20","Rondonópolis",121,"2017","Novembro","Todas","Mato Grosso"
"21","Rosário Oeste",4,"2017","Novembro","Todas","Mato Grosso"
"22","Salto do Céu",2,"2017","Novembro","Todas","Mato Grosso"
"23","Santa Terezinha",1,"2017","Novembro","Todas","Mato Grosso"
"24","Santo Afonso",2,"2017","Novembro","Todas","Mato Grosso"
"25","Santo Antônio do Leverger",2,"2017","Novembro","Todas","Mato Grosso"
"26","Sapezal",8,"2017","Novembro","Todas","Mato Grosso"
"27","Sinop",49,"2017","Novembro","Todas","Mato Grosso"
"28","Sorriso",36,"2017","Novembro","Todas","Mato Grosso"
"29","São Félix do Araguaia",3,"2017","Novembro","Todas","Mato Grosso"
"30","São José do Povo",2,"2017","Novembro","Todas","Mato Grosso"
"31","São José dos Quatro Marcos",2,"2017","Novembro","Todas","Mato Grosso"
"32","Lucas do Rio Verde",21,"2017","Novembro","Todas","Mato Grosso"
"33","Marcelândia",2,"2017","Novembro","Todas","Mato Grosso"
"34","Matupá",5,"2017","Novembro","Todas","Mato Grosso"
"35","Mirassol D'oeste",17,"2017","Novembro","Todas","Mato Grosso"
"36","Nobres",5,"2017","Novembro","Todas","Mato Grosso"
"37","Nortelândia",2,"2017","Novembro","Todas","Mato Grosso"
"38","Nossa Senhora do Livramento",3,"2017","Novembro","Todas","Mato Grosso"
"39","Nova Bandeirantes",3,"2017","Novembro","Todas","Mato Grosso"
"40","Nova Canaã do Norte",2,"2017","Novembro","Todas","Mato Grosso"
"41","Nova Guarita",1,"2017","Novembro","Todas","Mato Grosso"
"42","Nova Lacerda",2,"2017","Novembro","Todas","Mato Grosso"
"43","Nova Marilândia",1,"2017","Novembro","Todas","Mato Grosso"
"44","Nova Maringá",1,"2017","Novembro","Todas","Mato Grosso"
"45","Nova Monte Verde",4,"2017","Novembro","Todas","Mato Grosso"
"46","Nova Mutum",6,"2017","Novembro","Todas","Mato Grosso"
"47","Nova Ubiratã",1,"2017","Novembro","Todas","Mato Grosso"
"48","Nova Xavantina",8,"2017","Novembro","Todas","Mato Grosso"
"49","Novo Mundo",1,"2017","Novembro","Todas","Mato Grosso"
"50","Paranatinga",5,"2017","Novembro","Todas","Mato Grosso"
"51","Paranaíta",3,"2017","Novembro","Todas","Mato Grosso"
"52","Colniza",5,"2017","Novembro","Todas","Mato Grosso"
"53","Colíder",22,"2017","Novembro","Todas","Mato Grosso"
"54","Comodoro",4,"2017","Novembro","Todas","Mato Grosso"
"55","Confresa",16,"2017","Novembro","Todas","Mato Grosso"
"56","Cotriguaçu",4,"2017","Novembro","Todas","Mato Grosso"
"57","Cuiaba",432,"2017","Novembro","Todas","Mato Grosso"
"58","Cáceres",73,"2017","Novembro","Todas","Mato Grosso"
"59","Diamantino",5,"2017","Novembro","Todas","Mato Grosso"
"60","Dom Aquino",3,"2017","Novembro","Todas","Mato Grosso"
"61","Feliz Natal",4,"2017","Novembro","Todas","Mato Grosso"
"62","Figueirópolis D'oeste",2,"2017","Novembro","Todas","Mato Grosso"
"63","Glória D'oeste",1,"2017","Novembro","Todas","Mato Grosso"
"64","Guarantã do Norte",8,"2017","Novembro","Todas","Mato Grosso"
"65","Guiratinga",6,"2017","Novembro","Todas","Mato Grosso"
"66","Itanhangá",1,"2017","Novembro","Todas","Mato Grosso"
"67","Jaciara",7,"2017","Novembro","Todas","Mato Grosso"
"68","Jauru",3,"2017","Novembro","Todas","Mato Grosso"
"69","Juara",17,"2017","Novembro","Todas","Mato Grosso"
"70","Juruena",4,"2017","Novembro","Todas","Mato Grosso"
"71","Juscimeira",4,"2017","Novembro","Todas","Mato Grosso"
"72","Acorizal",2,"2017","Novembro","Todas","Mato Grosso"
"73","Alta Floresta",22,"2017","Novembro","Todas","Mato Grosso"
"74","Alto Araguaia",6,"2017","Novembro","Todas","Mato Grosso"
"75","Alto Garças",2,"2017","Novembro","Todas","Mato Grosso"
"76","Alto Paraguai",3,"2017","Novembro","Todas","Mato Grosso"
"77","Alto Taquari",1,"2017","Novembro","Todas","Mato Grosso"
"78","Apiacás",1,"2017","Novembro","Todas","Mato Grosso"
"79","Araguaiana",1,"2017","Novembro","Todas","Mato Grosso"
"80","Araputanga",5,"2017","Novembro","Todas","Mato Grosso"
"81","Arenápolis",5,"2017","Novembro","Todas","Mato Grosso"
"82","Aripuanã",1,"2017","Novembro","Todas","Mato Grosso"
"83","Barra do Bugres",12,"2017","Novembro","Todas","Mato Grosso"
"84","Barra do Garças",47,"2017","Novembro","Todas","Mato Grosso"
"85","Brasnorte",1,"2017","Novembro","Todas","Mato Grosso"
"86","Campo Novo do Parecis",9,"2017","Novembro","Todas","Mato Grosso"
"87","Campo Verde",4,"2017","Novembro","Todas","Mato Grosso"
"88","Canabrava do Norte",1,"2017","Novembro","Todas","Mato Grosso"
"89","Canarana",3,"2017","Novembro","Todas","Mato Grosso"
"90","Carlinda",1,"2017","Novembro","Todas","Mato Grosso"
"91","Cláudia",4,"2017","Novembro","Todas","Mato Grosso"
