"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Águas Formosas",12,"2017","Novembro","Todas","Minas Gerais"
"2","Águas Vermelhas",2,"2017","Novembro","Todas","Minas Gerais"
"3","Urucania",5,"2017","Novembro","Todas","Minas Gerais"
"4","Urucuia",2,"2017","Novembro","Todas","Minas Gerais"
"5","Vargem Alegre",1,"2017","Novembro","Todas","Minas Gerais"
"6","Varginha",88,"2017","Novembro","Todas","Minas Gerais"
"7","Varjão de Minas",2,"2017","Novembro","Todas","Minas Gerais"
"8","Varzea da Palma",10,"2017","Novembro","Todas","Minas Gerais"
"9","Varzelândia",10,"2017","Novembro","Todas","Minas Gerais"
"10","Vazante",9,"2017","Novembro","Todas","Minas Gerais"
"11","Verdelândia",1,"2017","Novembro","Todas","Minas Gerais"
"12","Veredinha",2,"2017","Novembro","Todas","Minas Gerais"
"13","Vermelho Novo",3,"2017","Novembro","Todas","Minas Gerais"
"14","Vespasiano",23,"2017","Novembro","Todas","Minas Gerais"
"15","Vieiras",1,"2017","Novembro","Todas","Minas Gerais"
"16","Virginópolis",11,"2017","Novembro","Todas","Minas Gerais"
"17","Virgolândia",2,"2017","Novembro","Todas","Minas Gerais"
"18","Virgínia",7,"2017","Novembro","Todas","Minas Gerais"
"19","Visconde do Rio Branco",26,"2017","Novembro","Todas","Minas Gerais"
"20","Viçosa",44,"2017","Novembro","Todas","Minas Gerais"
"21","Volta Grande",2,"2017","Novembro","Todas","Minas Gerais"
"22","Água Boa",9,"2017","Novembro","Todas","Minas Gerais"
"23","Timoteo",38,"2017","Novembro","Todas","Minas Gerais"
"24","Tiradentes",4,"2017","Novembro","Todas","Minas Gerais"
"25","Tiros",4,"2017","Novembro","Todas","Minas Gerais"
"26","Tocantins",5,"2017","Novembro","Todas","Minas Gerais"
"27","Tocos do Moji",1,"2017","Novembro","Todas","Minas Gerais"
"28","Toledo",1,"2017","Novembro","Todas","Minas Gerais"
"29","Tombos",6,"2017","Novembro","Todas","Minas Gerais"
"30","Três Corações",41,"2017","Novembro","Todas","Minas Gerais"
"31","Três Marias",10,"2017","Novembro","Todas","Minas Gerais"
"32","Três Pontas",34,"2017","Novembro","Todas","Minas Gerais"
"33","Tumiritinga",1,"2017","Novembro","Todas","Minas Gerais"
"34","Tupaciguara",25,"2017","Novembro","Todas","Minas Gerais"
"35","Turmalina",6,"2017","Novembro","Todas","Minas Gerais"
"36","Turvolândia",2,"2017","Novembro","Todas","Minas Gerais"
"37","Ubaporanga",6,"2017","Novembro","Todas","Minas Gerais"
"38","Ubaí",8,"2017","Novembro","Todas","Minas Gerais"
"39","Uberaba",196,"2017","Novembro","Todas","Minas Gerais"
"40","Uberlandia",317,"2017","Novembro","Todas","Minas Gerais"
"41","Ubá",75,"2017","Novembro","Todas","Minas Gerais"
"42","Unaí",29,"2017","Novembro","Todas","Minas Gerais"
"43","São Pedro da União",3,"2017","Novembro","Todas","Minas Gerais"
"44","São Pedro do Suaçuí",3,"2017","Novembro","Todas","Minas Gerais"
"45","São Pedro dos Ferros",2,"2017","Novembro","Todas","Minas Gerais"
"46","São Romão",1,"2017","Novembro","Todas","Minas Gerais"
"47","São Roque de Minas",1,"2017","Novembro","Todas","Minas Gerais"
"48","São Sebastião da Bela Vista",1,"2017","Novembro","Todas","Minas Gerais"
"49","São Sebastião do Anta",4,"2017","Novembro","Todas","Minas Gerais"
"50","São Sebastião do Maranhão",4,"2017","Novembro","Todas","Minas Gerais"
"51","São Sebastião do Oeste",1,"2017","Novembro","Todas","Minas Gerais"
"52","São Sebastião do Paraíso",47,"2017","Novembro","Todas","Minas Gerais"
"53","São Sebastião do Rio Verde",1,"2017","Novembro","Todas","Minas Gerais"
"54","São Thomé das Letras",2,"2017","Novembro","Todas","Minas Gerais"
"55","São Tiago",5,"2017","Novembro","Todas","Minas Gerais"
"56","São Vicente de Minas",4,"2017","Novembro","Todas","Minas Gerais"
"57","Tabuleiro",2,"2017","Novembro","Todas","Minas Gerais"
"58","Taiobeiras",16,"2017","Novembro","Todas","Minas Gerais"
"59","Tapira",2,"2017","Novembro","Todas","Minas Gerais"
"60","Tarumirim",6,"2017","Novembro","Todas","Minas Gerais"
"61","Teixeiras",8,"2017","Novembro","Todas","Minas Gerais"
"62","Teófilo Otoni",103,"2017","Novembro","Todas","Minas Gerais"
"63","São Gotardo",22,"2017","Novembro","Todas","Minas Gerais"
"64","São Joaquim de Bicas",7,"2017","Novembro","Todas","Minas Gerais"
"65","São José da Barra",3,"2017","Novembro","Todas","Minas Gerais"
"66","São José da Safira",1,"2017","Novembro","Todas","Minas Gerais"
"67","São José do Alegre",1,"2017","Novembro","Todas","Minas Gerais"
"68","São José do Divino",1,"2017","Novembro","Todas","Minas Gerais"
"69","São José do Goiabal",2,"2017","Novembro","Todas","Minas Gerais"
"70","São José do Jacuri",3,"2017","Novembro","Todas","Minas Gerais"
"71","São João Batista do Glória",1,"2017","Novembro","Todas","Minas Gerais"
"72","São João Del Rei",66,"2017","Novembro","Todas","Minas Gerais"
"73","São João Evangelista",9,"2017","Novembro","Todas","Minas Gerais"
"74","São João Nepomuceno",24,"2017","Novembro","Todas","Minas Gerais"
"75","São João da Lagoa",1,"2017","Novembro","Todas","Minas Gerais"
"76","São João da Mata",1,"2017","Novembro","Todas","Minas Gerais"
"77","São João das Missões",5,"2017","Novembro","Todas","Minas Gerais"
"78","São João do Oriente",9,"2017","Novembro","Todas","Minas Gerais"
"79","São João do Pacuí",2,"2017","Novembro","Todas","Minas Gerais"
"80","São João do Paraíso",12,"2017","Novembro","Todas","Minas Gerais"
"81","São Lourenço",55,"2017","Novembro","Todas","Minas Gerais"
"82","São Miguel do Anta",6,"2017","Novembro","Todas","Minas Gerais"
"83","Sete Lagoas",112,"2017","Novembro","Todas","Minas Gerais"
"84","Setubinha",8,"2017","Novembro","Todas","Minas Gerais"
"85","Silvianópolis",2,"2017","Novembro","Todas","Minas Gerais"
"86","Simonésia",14,"2017","Novembro","Todas","Minas Gerais"
"87","Simão Pereira",1,"2017","Novembro","Todas","Minas Gerais"
"88","Sobrália",1,"2017","Novembro","Todas","Minas Gerais"
"89","Soledade de Minas",5,"2017","Novembro","Todas","Minas Gerais"
"90","São Bento Abade",3,"2017","Novembro","Todas","Minas Gerais"
"91","São Brás do Suaçuí",6,"2017","Novembro","Todas","Minas Gerais"
"92","São Domingos do Prata",9,"2017","Novembro","Todas","Minas Gerais"
"93","São Francisco",36,"2017","Novembro","Todas","Minas Gerais"
"94","São Francisco de Paula",4,"2017","Novembro","Todas","Minas Gerais"
"95","São Francisco de Sales",4,"2017","Novembro","Todas","Minas Gerais"
"96","São Francisco do Glória",1,"2017","Novembro","Todas","Minas Gerais"
"97","São Félix de Minas",3,"2017","Novembro","Todas","Minas Gerais"
"98","São Geraldo da Piedade",1,"2017","Novembro","Todas","Minas Gerais"
"99","São Gonçalo do Abaeté",5,"2017","Novembro","Todas","Minas Gerais"
"100","São Gonçalo do Pará",9,"2017","Novembro","Todas","Minas Gerais"
"101","São Gonçalo do Rio Abaixo",6,"2017","Novembro","Todas","Minas Gerais"
