"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São José de Piranhas",15,"2017","Novembro","Todas","Paraíba"
"2","São José dos Ramos",2,"2017","Novembro","Todas","Paraíba"
"3","São João do Cariri",3,"2017","Novembro","Todas","Paraíba"
"4","São João do Rio do Peixe",5,"2017","Novembro","Todas","Paraíba"
"5","São João do Tigre",2,"2017","Novembro","Todas","Paraíba"
"6","São Mamede",10,"2017","Novembro","Todas","Paraíba"
"7","São Miguel de Taipu",2,"2017","Novembro","Todas","Paraíba"
"8","São Sebastião de Lagoa de Roça",5,"2017","Novembro","Todas","Paraíba"
"9","Taperoá",20,"2017","Novembro","Todas","Paraíba"
"10","Tavares",5,"2017","Novembro","Todas","Paraíba"
"11","Teixeira",5,"2017","Novembro","Todas","Paraíba"
"12","Tenório",1,"2017","Novembro","Todas","Paraíba"
"13","Triunfo",1,"2017","Novembro","Todas","Paraíba"
"14","Umbuzeiro",5,"2017","Novembro","Todas","Paraíba"
"15","Vieirópolis",2,"2017","Novembro","Todas","Paraíba"
"16","Vista Serrana",1,"2017","Novembro","Todas","Paraíba"
"17","Água Branca",1,"2017","Novembro","Todas","Paraíba"
"18","Santa Teresinha",1,"2017","Novembro","Todas","Paraíba"
"19","Santana dos Garrotes",5,"2017","Novembro","Todas","Paraíba"
"20","Santo André",2,"2017","Novembro","Todas","Paraíba"
"21","Sapé",28,"2017","Novembro","Todas","Paraíba"
"22","Seridó",2,"2017","Novembro","Todas","Paraíba"
"23","Serra Branca",13,"2017","Novembro","Todas","Paraíba"
"24","Serraria",3,"2017","Novembro","Todas","Paraíba"
"25","Sertãozinho",3,"2017","Novembro","Todas","Paraíba"
"26","Sobrado",2,"2017","Novembro","Todas","Paraíba"
"27","Soledade",10,"2017","Novembro","Todas","Paraíba"
"28","Solânea",17,"2017","Novembro","Todas","Paraíba"
"29","Sousa",41,"2017","Novembro","Todas","Paraíba"
"30","São Bentinho",2,"2017","Novembro","Todas","Paraíba"
"31","São Bento",11,"2017","Novembro","Todas","Paraíba"
"32","São Domingos",2,"2017","Novembro","Todas","Paraíba"
