"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vitória Brasil",1,"2017","Novembro","Todas","São Paulo"
"2","Votorantim",60,"2017","Novembro","Todas","São Paulo"
"3","Votuporanga",69,"2017","Novembro","Todas","São Paulo"
"4","Águas da Prata",1,"2017","Novembro","Todas","São Paulo"
"5","Águas de Lindóia",9,"2017","Novembro","Todas","São Paulo"
"6","Álvares Florence",1,"2017","Novembro","Todas","São Paulo"
"7","Álvares Machado",7,"2017","Novembro","Todas","São Paulo"
"8","Óleo",1,"2017","Novembro","Todas","São Paulo"
"9","Tupi Paulista",12,"2017","Novembro","Todas","São Paulo"
"10","Turiúba",1,"2017","Novembro","Todas","São Paulo"
"11","Turmalina",2,"2017","Novembro","Todas","São Paulo"
"12","Ubatuba",39,"2017","Novembro","Todas","São Paulo"
"13","Ubirajara",1,"2017","Novembro","Todas","São Paulo"
"14","Uchoa",4,"2017","Novembro","Todas","São Paulo"
"15","Uru",2,"2017","Novembro","Todas","São Paulo"
"16","Urupês",10,"2017","Novembro","Todas","São Paulo"
"17","Urânia",1,"2017","Novembro","Todas","São Paulo"
"18","Valentim Gentil",5,"2017","Novembro","Todas","São Paulo"
"19","Valinhos",81,"2017","Novembro","Todas","São Paulo"
"20","Valparaíso",11,"2017","Novembro","Todas","São Paulo"
"21","Vargem",1,"2017","Novembro","Todas","São Paulo"
"22","Vargem Grande Paulista",6,"2017","Novembro","Todas","São Paulo"
"23","Vargem Grande do Sul",25,"2017","Novembro","Todas","São Paulo"
"24","Varzea Paulista",31,"2017","Novembro","Todas","São Paulo"
"25","Vera Cruz",3,"2017","Novembro","Todas","São Paulo"
"26","Vinhedo",33,"2017","Novembro","Todas","São Paulo"
"27","Viradouro",11,"2017","Novembro","Todas","São Paulo"
"28","Vista Alegre do Alto",4,"2017","Novembro","Todas","São Paulo"
"29","Tapiratiba",2,"2017","Novembro","Todas","São Paulo"
"30","Tapiraí",2,"2017","Novembro","Todas","São Paulo"
"31","Taquaral",2,"2017","Novembro","Todas","São Paulo"
"32","Taquaritinga",29,"2017","Novembro","Todas","São Paulo"
"33","Taquarituba",7,"2017","Novembro","Todas","São Paulo"
"34","Taquarivaí",1,"2017","Novembro","Todas","São Paulo"
