"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Miguel do Gostoso",1,"2017","Outubro","Todas","Rio Grande do Norte"
"2","Sítio Novo",1,"2017","Outubro","Todas","Rio Grande do Norte"
"3","Taipu",7,"2017","Outubro","Todas","Rio Grande do Norte"
"4","Tangará",6,"2017","Outubro","Todas","Rio Grande do Norte"
"5","Tibau",4,"2017","Outubro","Todas","Rio Grande do Norte"
"6","Touros",12,"2017","Outubro","Todas","Rio Grande do Norte"
"7","Upanema",6,"2017","Outubro","Todas","Rio Grande do Norte"
"8","Vera Cruz",4,"2017","Outubro","Todas","Rio Grande do Norte"
"9","Vila Flor",2,"2017","Outubro","Todas","Rio Grande do Norte"
"10","Jandaíra",5,"2017","Outubro","Todas","Rio Grande do Norte"
"11","Jucurutu",6,"2017","Outubro","Todas","Rio Grande do Norte"
"12","Lagoa Nova",4,"2017","Outubro","Todas","Rio Grande do Norte"
"13","Lagoa de Velhos",2,"2017","Outubro","Todas","Rio Grande do Norte"
"14","Macaíba",46,"2017","Outubro","Todas","Rio Grande do Norte"
"15","Mossoró",186,"2017","Outubro","Todas","Rio Grande do Norte"
"16","Natal",575,"2017","Outubro","Todas","Rio Grande do Norte"
"17","Nísia Floresta",5,"2017","Outubro","Todas","Rio Grande do Norte"
"18","Parelhas",7,"2017","Outubro","Todas","Rio Grande do Norte"
"19","Parnamirim",72,"2017","Outubro","Todas","Rio Grande do Norte"
"20","Rafael Godeiro",2,"2017","Outubro","Todas","Rio Grande do Norte"
"21","Riachuelo",4,"2017","Outubro","Todas","Rio Grande do Norte"
"22","Santa Maria",2,"2017","Outubro","Todas","Rio Grande do Norte"
"23","Senador Georgino Avelino",4,"2017","Outubro","Todas","Rio Grande do Norte"
"24","Serra Negra do Norte",1,"2017","Outubro","Todas","Rio Grande do Norte"
"25","Serra do Mel",3,"2017","Outubro","Todas","Rio Grande do Norte"
"26","São Bento do Norte",3,"2017","Outubro","Todas","Rio Grande do Norte"
"27","São Gonçalo do Amarante",32,"2017","Outubro","Todas","Rio Grande do Norte"
"28","São José do Campestre",4,"2017","Outubro","Todas","Rio Grande do Norte"
"29","São Miguel",11,"2017","Outubro","Todas","Rio Grande do Norte"
"30","Angicos",3,"2017","Outubro","Todas","Rio Grande do Norte"
"31","Apodi",10,"2017","Outubro","Todas","Rio Grande do Norte"
"32","Arez",3,"2017","Outubro","Todas","Rio Grande do Norte"
"33","Açu",22,"2017","Outubro","Todas","Rio Grande do Norte"
"34","Baraúna",6,"2017","Outubro","Todas","Rio Grande do Norte"
"35","Baía Formosa",5,"2017","Outubro","Todas","Rio Grande do Norte"
"36","Bento Fernandes",3,"2017","Outubro","Todas","Rio Grande do Norte"
"37","Bom Jesus",3,"2017","Outubro","Todas","Rio Grande do Norte"
"38","Caicó",56,"2017","Outubro","Todas","Rio Grande do Norte"
"39","Caiçara do Rio do Vento",1,"2017","Outubro","Todas","Rio Grande do Norte"
"40","Canguaretama",14,"2017","Outubro","Todas","Rio Grande do Norte"
"41","Caraúbas",8,"2017","Outubro","Todas","Rio Grande do Norte"
"42","Carnaubais",8,"2017","Outubro","Todas","Rio Grande do Norte"
"43","Ceará-Mirim",28,"2017","Outubro","Todas","Rio Grande do Norte"
"44","Cruzeta",5,"2017","Outubro","Todas","Rio Grande do Norte"
"45","Currais Novos",34,"2017","Outubro","Todas","Rio Grande do Norte"
"46","Equador",3,"2017","Outubro","Todas","Rio Grande do Norte"
"47","Florânia",3,"2017","Outubro","Todas","Rio Grande do Norte"
"48","Goianinha",12,"2017","Outubro","Todas","Rio Grande do Norte"
"49","Grossos",1,"2017","Outubro","Todas","Rio Grande do Norte"
