"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Viamao",14,"2017","Outubro","Todas","Rio Grande do Sul"
"2","Victor Graeff",3,"2017","Outubro","Todas","Rio Grande do Sul"
"3","Vila Maria",5,"2017","Outubro","Todas","Rio Grande do Sul"
"4","Água Santa",3,"2017","Outubro","Todas","Rio Grande do Sul"
"5","Áurea",1,"2017","Outubro","Todas","Rio Grande do Sul"
"6","Terra de Areia",3,"2017","Outubro","Todas","Rio Grande do Sul"
"7","Teutônia",19,"2017","Outubro","Todas","Rio Grande do Sul"
"8","Tiradentes do Sul",2,"2017","Outubro","Todas","Rio Grande do Sul"
"9","Torres",26,"2017","Outubro","Todas","Rio Grande do Sul"
"10","Tramandaí",37,"2017","Outubro","Todas","Rio Grande do Sul"
"11","Triunfo",8,"2017","Outubro","Todas","Rio Grande do Sul"
"12","Três Cachoeiras",1,"2017","Outubro","Todas","Rio Grande do Sul"
"13","Três Coroas",12,"2017","Outubro","Todas","Rio Grande do Sul"
"14","Três Forquilhas",1,"2017","Outubro","Todas","Rio Grande do Sul"
"15","Três Passos",29,"2017","Outubro","Todas","Rio Grande do Sul"
"16","Três de Maio",18,"2017","Outubro","Todas","Rio Grande do Sul"
"17","Tunas",2,"2017","Outubro","Todas","Rio Grande do Sul"
"18","Tupanciretã",11,"2017","Outubro","Todas","Rio Grande do Sul"
"19","Tuparendi",6,"2017","Outubro","Todas","Rio Grande do Sul"
"20","Uruguaiana",80,"2017","Outubro","Todas","Rio Grande do Sul"
"21","Vacaria",47,"2017","Outubro","Todas","Rio Grande do Sul"
"22","Vale do Sol",4,"2017","Outubro","Todas","Rio Grande do Sul"
"23","Venâncio Aires",10,"2017","Outubro","Todas","Rio Grande do Sul"
"24","Vera Cruz",19,"2017","Outubro","Todas","Rio Grande do Sul"
"25","Veranopolis",22,"2017","Outubro","Todas","Rio Grande do Sul"
"26","São Jorge",1,"2017","Outubro","Todas","Rio Grande do Sul"
"27","São José do Herval",3,"2017","Outubro","Todas","Rio Grande do Sul"
"28","São José do Ouro",8,"2017","Outubro","Todas","Rio Grande do Sul"
"29","São João da Urtiga",6,"2017","Outubro","Todas","Rio Grande do Sul"
"30","São Leopoldo",29,"2017","Outubro","Todas","Rio Grande do Sul"
"31","São Lourenço do Sul",9,"2017","Outubro","Todas","Rio Grande do Sul"
"32","São Luiz Gonzaga",32,"2017","Outubro","Todas","Rio Grande do Sul"
"33","São Martinho",4,"2017","Outubro","Todas","Rio Grande do Sul"
"34","São Miguel das Missões",1,"2017","Outubro","Todas","Rio Grande do Sul"
"35","São Nicolau",3,"2017","Outubro","Todas","Rio Grande do Sul"
"36","São Pedro do Sul",11,"2017","Outubro","Todas","Rio Grande do Sul"
"37","São Sebastião do Caí",8,"2017","Outubro","Todas","Rio Grande do Sul"
"38","São Sepé",22,"2017","Outubro","Todas","Rio Grande do Sul"
"39","São Valentim",2,"2017","Outubro","Todas","Rio Grande do Sul"
"40","São Vicente do Sul",7,"2017","Outubro","Todas","Rio Grande do Sul"
"41","Tabaí",3,"2017","Outubro","Todas","Rio Grande do Sul"
"42","Tapejara",23,"2017","Outubro","Todas","Rio Grande do Sul"
"43","Tapes",5,"2017","Outubro","Todas","Rio Grande do Sul"
"44","Taquara",5,"2017","Outubro","Todas","Rio Grande do Sul"
"45","Tenente Portela",24,"2017","Outubro","Todas","Rio Grande do Sul"
"46","Santo Antônio da Patrulha",27,"2017","Outubro","Todas","Rio Grande do Sul"
"47","Santo Antônio das Missões",14,"2017","Outubro","Todas","Rio Grande do Sul"
"48","Santo Cristo",13,"2017","Outubro","Todas","Rio Grande do Sul"
"49","Sao Jeronimo",20,"2017","Outubro","Todas","Rio Grande do Sul"
"50","Sao Marcos",1,"2017","Outubro","Todas","Rio Grande do Sul"
"51","Sapiranga",50,"2017","Outubro","Todas","Rio Grande do Sul"
"52","Sapucaia do Sul",69,"2017","Outubro","Todas","Rio Grande do Sul"
"53","Sarandi",18,"2017","Outubro","Todas","Rio Grande do Sul"
"54","Seberi",7,"2017","Outubro","Todas","Rio Grande do Sul"
"55","Selbach",3,"2017","Outubro","Todas","Rio Grande do Sul"
"56","Serafina Correa",8,"2017","Outubro","Todas","Rio Grande do Sul"
"57","Sertão Santana",3,"2017","Outubro","Todas","Rio Grande do Sul"
"58","Severiano de Almeida",4,"2017","Outubro","Todas","Rio Grande do Sul"
"59","Sinimbu",8,"2017","Outubro","Todas","Rio Grande do Sul"
"60","Sobradinho",11,"2017","Outubro","Todas","Rio Grande do Sul"
"61","Soledade",18,"2017","Outubro","Todas","Rio Grande do Sul"
"62","São Borja",46,"2017","Outubro","Todas","Rio Grande do Sul"
"63","São Domingos do Sul",2,"2017","Outubro","Todas","Rio Grande do Sul"
"64","São Francisco de Paula",9,"2017","Outubro","Todas","Rio Grande do Sul"
"65","São Gabriel",48,"2017","Outubro","Todas","Rio Grande do Sul"
"66","Portão",13,"2017","Outubro","Todas","Rio Grande do Sul"
"67","Poço das Antas",3,"2017","Outubro","Todas","Rio Grande do Sul"
"68","Quaraí",17,"2017","Outubro","Todas","Rio Grande do Sul"
"69","Restinga Seca",9,"2017","Outubro","Todas","Rio Grande do Sul"
"70","Rio Grande",138,"2017","Outubro","Todas","Rio Grande do Sul"
"71","Rio Pardo",20,"2017","Outubro","Todas","Rio Grande do Sul"
"72","Rodeio Bonito",5,"2017","Outubro","Todas","Rio Grande do Sul"
"73","Rolante",11,"2017","Outubro","Todas","Rio Grande do Sul"
"74","Rosário do Sul",32,"2017","Outubro","Todas","Rio Grande do Sul"
"75","Salvador do Sul",2,"2017","Outubro","Todas","Rio Grande do Sul"
"76","Sananduva",5,"2017","Outubro","Todas","Rio Grande do Sul"
"77","Santa Bárbara do Sul",2,"2017","Outubro","Todas","Rio Grande do Sul"
"78","Santa Clara do Sul",1,"2017","Outubro","Todas","Rio Grande do Sul"
"79","Santa Maria",201,"2017","Outubro","Todas","Rio Grande do Sul"
"80","Santa Rosa",58,"2017","Outubro","Todas","Rio Grande do Sul"
