"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Xanxere",34,"2017","Outubro","Todas","Santa Catarina"
"2","Xavantina",2,"2017","Outubro","Todas","Santa Catarina"
"3","Xaxim",9,"2017","Outubro","Todas","Santa Catarina"
"4","Água Doce",1,"2017","Outubro","Todas","Santa Catarina"
"5","Águas Frias",1,"2017","Outubro","Todas","Santa Catarina"
"6","Águas Mornas",3,"2017","Outubro","Todas","Santa Catarina"
"7","Águas de Chapecó",4,"2017","Outubro","Todas","Santa Catarina"
"8","Tijucas",16,"2017","Outubro","Todas","Santa Catarina"
"9","Timbo",21,"2017","Outubro","Todas","Santa Catarina"
"10","Timbé do Sul",4,"2017","Outubro","Todas","Santa Catarina"
"11","Timbó Grande",1,"2017","Outubro","Todas","Santa Catarina"
"12","Treze Tilias",1,"2017","Outubro","Todas","Santa Catarina"
"13","Treze de Maio",6,"2017","Outubro","Todas","Santa Catarina"
"14","Trombudo Central",13,"2017","Outubro","Todas","Santa Catarina"
"15","Três Barras",7,"2017","Outubro","Todas","Santa Catarina"
"16","Tubarao",100,"2017","Outubro","Todas","Santa Catarina"
"17","Tunápolis",2,"2017","Outubro","Todas","Santa Catarina"
"18","Turvo",4,"2017","Outubro","Todas","Santa Catarina"
"19","União do Oeste",2,"2017","Outubro","Todas","Santa Catarina"
"20","Urubici",4,"2017","Outubro","Todas","Santa Catarina"
"21","Urupema",2,"2017","Outubro","Todas","Santa Catarina"
"22","Urussanga",16,"2017","Outubro","Todas","Santa Catarina"
"23","Vargem Bonita",4,"2017","Outubro","Todas","Santa Catarina"
"24","Vidal Ramos",2,"2017","Outubro","Todas","Santa Catarina"
"25","Videira",29,"2017","Outubro","Todas","Santa Catarina"
"26","Vitor Meireles",3,"2017","Outubro","Todas","Santa Catarina"
"27","Witmarsum",4,"2017","Outubro","Todas","Santa Catarina"
"28","Sao Bento do Sul",32,"2017","Outubro","Todas","Santa Catarina"
"29","Sao Jose do Cerrito",5,"2017","Outubro","Todas","Santa Catarina"
"30","Schroeder",5,"2017","Outubro","Todas","Santa Catarina"
"31","Seara",8,"2017","Outubro","Todas","Santa Catarina"
"32","Sombrio",14,"2017","Outubro","Todas","Santa Catarina"
"33","São Carlos",4,"2017","Outubro","Todas","Santa Catarina"
"34","São Cristovão do Sul",3,"2017","Outubro","Todas","Santa Catarina"
"35","São Domingos",5,"2017","Outubro","Todas","Santa Catarina"
"36","São Francisco do Sul",15,"2017","Outubro","Todas","Santa Catarina"
"37","São Joaquim",16,"2017","Outubro","Todas","Santa Catarina"
"38","São José",127,"2017","Outubro","Todas","Santa Catarina"
"39","São José do Cedro",15,"2017","Outubro","Todas","Santa Catarina"
"40","São João Batista",9,"2017","Outubro","Todas","Santa Catarina"
"41","São João do Sul",3,"2017","Outubro","Todas","Santa Catarina"
"42","São Ludgero",2,"2017","Outubro","Todas","Santa Catarina"
"43","São Martinho",3,"2017","Outubro","Todas","Santa Catarina"
"44","São Miguel do Oeste",27,"2017","Outubro","Todas","Santa Catarina"
"45","São Pedro de Alcântara",2,"2017","Outubro","Todas","Santa Catarina"
"46","Taió",5,"2017","Outubro","Todas","Santa Catarina"
"47","Tangará",7,"2017","Outubro","Todas","Santa Catarina"
"48","Quilombo",3,"2017","Outubro","Todas","Santa Catarina"
"49","Rancho Queimado",2,"2017","Outubro","Todas","Santa Catarina"
"50","Rio Fortuna",3,"2017","Outubro","Todas","Santa Catarina"
"51","Rio Negrinho",25,"2017","Outubro","Todas","Santa Catarina"
"52","Rio Rufino",1,"2017","Outubro","Todas","Santa Catarina"
"53","Rio das Antas",1,"2017","Outubro","Todas","Santa Catarina"
"54","Rio do Campo",6,"2017","Outubro","Todas","Santa Catarina"
"55","Rio do Oeste",6,"2017","Outubro","Todas","Santa Catarina"
"56","Rio do Sul",43,"2017","Outubro","Todas","Santa Catarina"
"57","Rio dos Cedros",8,"2017","Outubro","Todas","Santa Catarina"
"58","Rodeio",2,"2017","Outubro","Todas","Santa Catarina"
"59","Romelândia",2,"2017","Outubro","Todas","Santa Catarina"
"60","Salete",8,"2017","Outubro","Todas","Santa Catarina"
"61","Saltinho",2,"2017","Outubro","Todas","Santa Catarina"
"62","Salto Veloso",3,"2017","Outubro","Todas","Santa Catarina"
"63","Sangão",6,"2017","Outubro","Todas","Santa Catarina"
"64","Santa Cecília",13,"2017","Outubro","Todas","Santa Catarina"
"65","Santa Rosa do Sul",3,"2017","Outubro","Todas","Santa Catarina"
"66","Santa Terezinha",2,"2017","Outubro","Todas","Santa Catarina"
"67","Santo Amaro da Imperatriz",10,"2017","Outubro","Todas","Santa Catarina"
"68","Painel",1,"2017","Outubro","Todas","Santa Catarina"
"69","Palhoça",40,"2017","Outubro","Todas","Santa Catarina"
"70","Palma Sola",1,"2017","Outubro","Todas","Santa Catarina"
"71","Palmitos",8,"2017","Outubro","Todas","Santa Catarina"
"72","Papanduva",9,"2017","Outubro","Todas","Santa Catarina"
"73","Passos Maia",2,"2017","Outubro","Todas","Santa Catarina"
"74","Pedras Grandes",2,"2017","Outubro","Todas","Santa Catarina"
"75","Penha",8,"2017","Outubro","Todas","Santa Catarina"
"76","Peritiba",3,"2017","Outubro","Todas","Santa Catarina"
"77","Petrolândia",5,"2017","Outubro","Todas","Santa Catarina"
"78","Pinhalzinho",10,"2017","Outubro","Todas","Santa Catarina"
"79","Piratuba",1,"2017","Outubro","Todas","Santa Catarina"
"80","Planalto Alegre",1,"2017","Outubro","Todas","Santa Catarina"
"81","Pomerode",16,"2017","Outubro","Todas","Santa Catarina"
"82","Ponte Alta",3,"2017","Outubro","Todas","Santa Catarina"
