"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Benedito",21,"2018","Abril","Todas","Ceará"
"2","São Gonçalo do Amarante",4,"2018","Abril","Todas","Ceará"
"3","São João do Jaguaribe",4,"2018","Abril","Todas","Ceará"
"4","Tabuleiro do Norte",16,"2018","Abril","Todas","Ceará"
"5","Tarrafas",3,"2018","Abril","Todas","Ceará"
"6","Tauá",27,"2018","Abril","Todas","Ceará"
"7","Tianguá",18,"2018","Abril","Todas","Ceará"
"8","Trairi",23,"2018","Abril","Todas","Ceará"
"9","Tururu",6,"2018","Abril","Todas","Ceará"
"10","Ubajara",15,"2018","Abril","Todas","Ceará"
"11","Uruoca",2,"2018","Abril","Todas","Ceará"
"12","Viçosa do Ceará",15,"2018","Abril","Todas","Ceará"
"13","Várzea Alegre",9,"2018","Abril","Todas","Ceará"
"14","Paracuru",15,"2018","Abril","Todas","Ceará"
"15","Paraipaba",18,"2018","Abril","Todas","Ceará"
"16","Pedra Branca",9,"2018","Abril","Todas","Ceará"
"17","Penaforte",7,"2018","Abril","Todas","Ceará"
"18","Pereiro",7,"2018","Abril","Todas","Ceará"
"19","Piquet Carneiro",11,"2018","Abril","Todas","Ceará"
"20","Porteiras",5,"2018","Abril","Todas","Ceará"
"21","Potiretama",1,"2018","Abril","Todas","Ceará"
"22","Quixadá",48,"2018","Abril","Todas","Ceará"
"23","Quixelô",2,"2018","Abril","Todas","Ceará"
"24","Quixeramobim",27,"2018","Abril","Todas","Ceará"
"25","Quixere",8,"2018","Abril","Todas","Ceará"
"26","Reriutaba",15,"2018","Abril","Todas","Ceará"
"27","Russas",44,"2018","Abril","Todas","Ceará"
"28","Salitre",9,"2018","Abril","Todas","Ceará"
"29","Santa Quitéria",24,"2018","Abril","Todas","Ceará"
"30","Santana do Acaraú",12,"2018","Abril","Todas","Ceará"
"31","Senador Pompeu",21,"2018","Abril","Todas","Ceará"
"32","Sobral",52,"2018","Abril","Todas","Ceará"
"33","Solonópole",2,"2018","Abril","Todas","Ceará"
"34","Lavras da Mangabeira",22,"2018","Abril","Todas","Ceará"
"35","Limoeiro do Norte",42,"2018","Abril","Todas","Ceará"
"36","Madalena",9,"2018","Abril","Todas","Ceará"
"37","Maracanau",82,"2018","Abril","Todas","Ceará"
"38","Maranguape",55,"2018","Abril","Todas","Ceará"
"39","Marco",10,"2018","Abril","Todas","Ceará"
"40","Meruoca",9,"2018","Abril","Todas","Ceará"
"41","Milagres",11,"2018","Abril","Todas","Ceará"
"42","Milhã",7,"2018","Abril","Todas","Ceará"
"43","Morada Nova",32,"2018","Abril","Todas","Ceará"
"44","Morrinhos",5,"2018","Abril","Todas","Ceará"
"45","Mulungu",4,"2018","Abril","Todas","Ceará"
"46","Nova Russas",23,"2018","Abril","Todas","Ceará"
"47","Novo Oriente",19,"2018","Abril","Todas","Ceará"
"48","Ocara",14,"2018","Abril","Todas","Ceará"
"49","Orós",11,"2018","Abril","Todas","Ceará"
"50","Pacatuba",18,"2018","Abril","Todas","Ceará"
"51","Pacoti",3,"2018","Abril","Todas","Ceará"
"52","Palhano",3,"2018","Abril","Todas","Ceará"
"53","Palmácia",3,"2018","Abril","Todas","Ceará"
"54","Graça",4,"2018","Abril","Todas","Ceará"
"55","Guaramiranga",2,"2018","Abril","Todas","Ceará"
"56","Hidrolândia",5,"2018","Abril","Todas","Ceará"
"57","Horizonte",27,"2018","Abril","Todas","Ceará"
"58","Ibiapina",18,"2018","Abril","Todas","Ceará"
"59","Icapuí",3,"2018","Abril","Todas","Ceará"
"60","Icó",2,"2018","Abril","Todas","Ceará"
"61","Iguatu",53,"2018","Abril","Todas","Ceará"
"62","Independência",1,"2018","Abril","Todas","Ceará"
"63","Ipaporanga",4,"2018","Abril","Todas","Ceará"
"64","Ipaumirim",3,"2018","Abril","Todas","Ceará"
"65","Irauçuba",8,"2018","Abril","Todas","Ceará"
"66","Itapajé",14,"2018","Abril","Todas","Ceará"
"67","Itapiúna",12,"2018","Abril","Todas","Ceará"
"68","Itarema",21,"2018","Abril","Todas","Ceará"
"69","Jaguaretama",15,"2018","Abril","Todas","Ceará"
"70","Jaguaribe",21,"2018","Abril","Todas","Ceará"
"71","Jaguaruana",14,"2018","Abril","Todas","Ceará"
"72","Jati",4,"2018","Abril","Todas","Ceará"
"73","Juazeiro do Norte",152,"2018","Abril","Todas","Ceará"
"74","Campos Sales",8,"2018","Abril","Todas","Ceará"
"75","Canindé",48,"2018","Abril","Todas","Ceará"
"76","Capistrano",8,"2018","Abril","Todas","Ceará"
"77","Caridade",1,"2018","Abril","Todas","Ceará"
"78","Cariús",3,"2018","Abril","Todas","Ceará"
"79","Carnaubal",9,"2018","Abril","Todas","Ceará"
"80","Catarina",12,"2018","Abril","Todas","Ceará"
"81","Caucaia",114,"2018","Abril","Todas","Ceará"
"82","Cedro",17,"2018","Abril","Todas","Ceará"
"83","Chorozinho",4,"2018","Abril","Todas","Ceará"
"84","Choró",4,"2018","Abril","Todas","Ceará"
"85","Coreaú",4,"2018","Abril","Todas","Ceará"
"86","Crato",70,"2018","Abril","Todas","Ceará"
"87","Cruz",14,"2018","Abril","Todas","Ceará"
"88","Farias Brito",7,"2018","Abril","Todas","Ceará"
"89","Forquilha",20,"2018","Abril","Todas","Ceará"
"90","Fortaleza",1886,"2018","Abril","Todas","Ceará"
"91","Fortim",5,"2018","Abril","Todas","Ceará"
"92","General Sampaio",4,"2018","Abril","Todas","Ceará"
"93","Granja",4,"2018","Abril","Todas","Ceará"
"94","Abaiara",4,"2018","Abril","Todas","Ceará"
"95","Acaraú",28,"2018","Abril","Todas","Ceará"
"96","Acopiara",20,"2018","Abril","Todas","Ceará"
"97","Alto Santo",7,"2018","Abril","Todas","Ceará"
"98","Amontada",2,"2018","Abril","Todas","Ceará"
"99","Aquiraz",3,"2018","Abril","Todas","Ceará"
"100","Aracati",30,"2018","Abril","Todas","Ceará"
"101","Ararendá",8,"2018","Abril","Todas","Ceará"
"102","Araripe",9,"2018","Abril","Todas","Ceará"
"103","Aratuba",2,"2018","Abril","Todas","Ceará"
"104","Baixio",5,"2018","Abril","Todas","Ceará"
"105","Barbalha",59,"2018","Abril","Todas","Ceará"
"106","Barreira",5,"2018","Abril","Todas","Ceará"
"107","Barro",6,"2018","Abril","Todas","Ceará"
"108","Baturité",21,"2018","Abril","Todas","Ceará"
"109","Beberibe",18,"2018","Abril","Todas","Ceará"
"110","Bela Cruz",1,"2018","Abril","Todas","Ceará"
"111","Boa Viagem",31,"2018","Abril","Todas","Ceará"
"112","Brejo Santo",2,"2018","Abril","Todas","Ceará"
"113","Camocim",5,"2018","Abril","Todas","Ceará"
