"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Santa Terezinha",5,"2018","Agosto","Todas","Mato Grosso"
"2","Santo Antônio do Leverger",2,"2018","Agosto","Todas","Mato Grosso"
"3","Sinop",49,"2018","Agosto","Todas","Mato Grosso"
"4","Sorriso",31,"2018","Agosto","Todas","Mato Grosso"
"5","São Félix do Araguaia",5,"2018","Agosto","Todas","Mato Grosso"
"6","São José do Povo",3,"2018","Agosto","Todas","Mato Grosso"
"7","Tangará da Serra",24,"2018","Agosto","Todas","Mato Grosso"
"8","Tapurah",1,"2018","Agosto","Todas","Mato Grosso"
"9","Terra Nova do Norte",4,"2018","Agosto","Todas","Mato Grosso"
"10","Torixoréu",1,"2018","Agosto","Todas","Mato Grosso"
"11","União do Sul",1,"2018","Agosto","Todas","Mato Grosso"
"12","Varzea Grande",28,"2018","Agosto","Todas","Mato Grosso"
"13","Vera",5,"2018","Agosto","Todas","Mato Grosso"
"14","Vila Rica",5,"2018","Agosto","Todas","Mato Grosso"
"15","Água Boa",6,"2018","Agosto","Todas","Mato Grosso"
"16","Nova Mutum",8,"2018","Agosto","Todas","Mato Grosso"
"17","Nova Ubiratã",2,"2018","Agosto","Todas","Mato Grosso"
"18","Nova Xavantina",15,"2018","Agosto","Todas","Mato Grosso"
"19","Novo Mundo",1,"2018","Agosto","Todas","Mato Grosso"
"20","Paranatinga",6,"2018","Agosto","Todas","Mato Grosso"
"21","Paranaíta",3,"2018","Agosto","Todas","Mato Grosso"
"22","Pedra Preta",10,"2018","Agosto","Todas","Mato Grosso"
"23","Peixoto de Azevedo",11,"2018","Agosto","Todas","Mato Grosso"
"24","Pontal do Araguaia",2,"2018","Agosto","Todas","Mato Grosso"
"25","Pontes e Lacerda",20,"2018","Agosto","Todas","Mato Grosso"
"26","Porto Estrela",1,"2018","Agosto","Todas","Mato Grosso"
"27","Porto dos Gaúchos",2,"2018","Agosto","Todas","Mato Grosso"
"28","Primavera do Leste",19,"2018","Agosto","Todas","Mato Grosso"
"29","Querência",5,"2018","Agosto","Todas","Mato Grosso"
"30","Ribeirão Cascalheira",3,"2018","Agosto","Todas","Mato Grosso"
"31","Rio Branco",1,"2018","Agosto","Todas","Mato Grosso"
"32","Rondonópolis",88,"2018","Agosto","Todas","Mato Grosso"
"33","Rosário Oeste",6,"2018","Agosto","Todas","Mato Grosso"
"34","Salto do Céu",1,"2018","Agosto","Todas","Mato Grosso"
"35","Santa Rita do Trivelato",1,"2018","Agosto","Todas","Mato Grosso"
"36","Cuiaba",475,"2018","Agosto","Todas","Mato Grosso"
"37","Diamantino",4,"2018","Agosto","Todas","Mato Grosso"
"38","Dom Aquino",6,"2018","Agosto","Todas","Mato Grosso"
"39","Figueirópolis D'oeste",1,"2018","Agosto","Todas","Mato Grosso"
"40","Guarantã do Norte",10,"2018","Agosto","Todas","Mato Grosso"
"41","Guiratinga",8,"2018","Agosto","Todas","Mato Grosso"
"42","Itanhangá",2,"2018","Agosto","Todas","Mato Grosso"
"43","Itiquira",3,"2018","Agosto","Todas","Mato Grosso"
"44","Jaciara",9,"2018","Agosto","Todas","Mato Grosso"
"45","Juruena",2,"2018","Agosto","Todas","Mato Grosso"
"46","Juscimeira",6,"2018","Agosto","Todas","Mato Grosso"
"47","Lucas do Rio Verde",22,"2018","Agosto","Todas","Mato Grosso"
"48","Marcelândia",2,"2018","Agosto","Todas","Mato Grosso"
"49","Matupá",4,"2018","Agosto","Todas","Mato Grosso"
"50","Nobres",10,"2018","Agosto","Todas","Mato Grosso"
"51","Nortelândia",6,"2018","Agosto","Todas","Mato Grosso"
"52","Nossa Senhora do Livramento",7,"2018","Agosto","Todas","Mato Grosso"
"53","Nova Bandeirantes",7,"2018","Agosto","Todas","Mato Grosso"
"54","Nova Canaã do Norte",3,"2018","Agosto","Todas","Mato Grosso"
"55","Nova Marilândia",1,"2018","Agosto","Todas","Mato Grosso"
"56","Alta Floresta",21,"2018","Agosto","Todas","Mato Grosso"
"57","Alto Garças",3,"2018","Agosto","Todas","Mato Grosso"
"58","Alto Paraguai",9,"2018","Agosto","Todas","Mato Grosso"
"59","Alto Taquari",1,"2018","Agosto","Todas","Mato Grosso"
"60","Araguaiana",2,"2018","Agosto","Todas","Mato Grosso"
"61","Araputanga",8,"2018","Agosto","Todas","Mato Grosso"
"62","Aripuanã",13,"2018","Agosto","Todas","Mato Grosso"
"63","Barra do Bugres",14,"2018","Agosto","Todas","Mato Grosso"
"64","Barra do Garças",3,"2018","Agosto","Todas","Mato Grosso"
"65","Brasnorte",3,"2018","Agosto","Todas","Mato Grosso"
"66","Campo Verde",10,"2018","Agosto","Todas","Mato Grosso"
"67","Campos de Júlio",4,"2018","Agosto","Todas","Mato Grosso"
"68","Canarana",7,"2018","Agosto","Todas","Mato Grosso"
"69","Carlinda",2,"2018","Agosto","Todas","Mato Grosso"
"70","Castanheira",2,"2018","Agosto","Todas","Mato Grosso"
"71","Cláudia",3,"2018","Agosto","Todas","Mato Grosso"
"72","Colíder",29,"2018","Agosto","Todas","Mato Grosso"
"73","Comodoro",8,"2018","Agosto","Todas","Mato Grosso"
"74","Confresa",9,"2018","Agosto","Todas","Mato Grosso"
"75","Cotriguaçu",3,"2018","Agosto","Todas","Mato Grosso"
