"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Verdelândia",4,"2018","Agosto","Todas","Minas Gerais"
"2","Veredinha",5,"2018","Agosto","Todas","Minas Gerais"
"3","Vermelho Novo",2,"2018","Agosto","Todas","Minas Gerais"
"4","Veríssimo",2,"2018","Agosto","Todas","Minas Gerais"
"5","Vespasiano",47,"2018","Agosto","Todas","Minas Gerais"
"6","Vieiras",4,"2018","Agosto","Todas","Minas Gerais"
"7","Virgem da Lapa",8,"2018","Agosto","Todas","Minas Gerais"
"8","Virginópolis",11,"2018","Agosto","Todas","Minas Gerais"
"9","Virgolândia",5,"2018","Agosto","Todas","Minas Gerais"
"10","Virgínia",4,"2018","Agosto","Todas","Minas Gerais"
"11","Viçosa",35,"2018","Agosto","Todas","Minas Gerais"
"12","Volta Grande",5,"2018","Agosto","Todas","Minas Gerais"
"13","Wenceslau Braz",1,"2018","Agosto","Todas","Minas Gerais"
"14","Água Boa",9,"2018","Agosto","Todas","Minas Gerais"
"15","Águas Formosas",7,"2018","Agosto","Todas","Minas Gerais"
"16","Águas Vermelhas",2,"2018","Agosto","Todas","Minas Gerais"
"17","Turmalina",12,"2018","Agosto","Todas","Minas Gerais"
"18","Turvolândia",4,"2018","Agosto","Todas","Minas Gerais"
"19","Ubaporanga",11,"2018","Agosto","Todas","Minas Gerais"
"20","Ubaí",9,"2018","Agosto","Todas","Minas Gerais"
"21","Uberaba",185,"2018","Agosto","Todas","Minas Gerais"
"22","Uberlandia",307,"2018","Agosto","Todas","Minas Gerais"
"23","Ubá",71,"2018","Agosto","Todas","Minas Gerais"
"24","Unaí",45,"2018","Agosto","Todas","Minas Gerais"
"25","União de Minas",6,"2018","Agosto","Todas","Minas Gerais"
"26","Uruana de Minas",1,"2018","Agosto","Todas","Minas Gerais"
"27","Urucania",2,"2018","Agosto","Todas","Minas Gerais"
"28","Urucuia",4,"2018","Agosto","Todas","Minas Gerais"
"29","Vargem Alegre",3,"2018","Agosto","Todas","Minas Gerais"
"30","Vargem Bonita",2,"2018","Agosto","Todas","Minas Gerais"
"31","Vargem Grande do Rio Pardo",1,"2018","Agosto","Todas","Minas Gerais"
"32","Varginha",68,"2018","Agosto","Todas","Minas Gerais"
"33","Varjão de Minas",3,"2018","Agosto","Todas","Minas Gerais"
"34","Varzea da Palma",7,"2018","Agosto","Todas","Minas Gerais"
"35","Varzelândia",7,"2018","Agosto","Todas","Minas Gerais"
"36","Vazante",12,"2018","Agosto","Todas","Minas Gerais"
"37","São Tiago",2,"2018","Agosto","Todas","Minas Gerais"
"38","São Vicente de Minas",3,"2018","Agosto","Todas","Minas Gerais"
"39","Tabuleiro",2,"2018","Agosto","Todas","Minas Gerais"
"40","Taiobeiras",16,"2018","Agosto","Todas","Minas Gerais"
"41","Taparuba",3,"2018","Agosto","Todas","Minas Gerais"
"42","Tapira",2,"2018","Agosto","Todas","Minas Gerais"
"43","Tarumirim",5,"2018","Agosto","Todas","Minas Gerais"
"44","Teixeiras",3,"2018","Agosto","Todas","Minas Gerais"
"45","Teófilo Otoni",106,"2018","Agosto","Todas","Minas Gerais"
"46","Timoteo",62,"2018","Agosto","Todas","Minas Gerais"
"47","Tiradentes",2,"2018","Agosto","Todas","Minas Gerais"
"48","Tocantins",8,"2018","Agosto","Todas","Minas Gerais"
"49","Tocos do Moji",2,"2018","Agosto","Todas","Minas Gerais"
"50","Toledo",3,"2018","Agosto","Todas","Minas Gerais"
"51","Tombos",5,"2018","Agosto","Todas","Minas Gerais"
"52","Três Corações",53,"2018","Agosto","Todas","Minas Gerais"
