"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",2,"2018","Dezembro","Todas","Acre"
"2","Assis Brasil",1,"2018","Dezembro","Todas","Acre"
"3","Brasiléia",11,"2018","Dezembro","Todas","Acre"
"4","Bujari",2,"2018","Dezembro","Todas","Acre"
"5","Capixaba",2,"2018","Dezembro","Todas","Acre"
"6","Cruzeiro do Sul",41,"2018","Dezembro","Todas","Acre"
"7","Epitaciolândia",4,"2018","Dezembro","Todas","Acre"
"8","Feijó",6,"2018","Dezembro","Todas","Acre"
"9","Manoel Urbano",5,"2018","Dezembro","Todas","Acre"
"10","Mâncio Lima",6,"2018","Dezembro","Todas","Acre"
"11","Plácido de Castro",5,"2018","Dezembro","Todas","Acre"
"12","Porto Acre",3,"2018","Dezembro","Todas","Acre"
"13","Porto Walter",3,"2018","Dezembro","Todas","Acre"
"14","Rio Branco",154,"2018","Dezembro","Todas","Acre"
"15","Sena Madureira",7,"2018","Dezembro","Todas","Acre"
"16","Senador Guiomard",14,"2018","Dezembro","Todas","Acre"
"17","Tarauacá",10,"2018","Dezembro","Todas","Acre"
"18","Xapuri",3,"2018","Dezembro","Todas","Acre"
