"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Valente",5,"2018","Dezembro","Todas","Bahia"
"2","Valença",33,"2018","Dezembro","Todas","Bahia"
"3","Vera Cruz",5,"2018","Dezembro","Todas","Bahia"
"4","Vitoria da Conquista",157,"2018","Dezembro","Todas","Bahia"
"5","Wenceslau Guimarães",11,"2018","Dezembro","Todas","Bahia"
"6","Xique-Xique",34,"2018","Dezembro","Todas","Bahia"
"7","Água Fria",4,"2018","Dezembro","Todas","Bahia"
"8","Sobradinho",9,"2018","Dezembro","Todas","Bahia"
"9","Souto Soares",5,"2018","Dezembro","Todas","Bahia"
"10","Sátiro Dias",6,"2018","Dezembro","Todas","Bahia"
"11","São Desidério",9,"2018","Dezembro","Todas","Bahia"
"12","São Felipe",12,"2018","Dezembro","Todas","Bahia"
"13","São Félix",8,"2018","Dezembro","Todas","Bahia"
"14","São Félix do Coribe",6,"2018","Dezembro","Todas","Bahia"
"15","São Gonçalo dos Campos",3,"2018","Dezembro","Todas","Bahia"
"16","São Sebastião do Passé",14,"2018","Dezembro","Todas","Bahia"
"17","Tanquinho",6,"2018","Dezembro","Todas","Bahia"
"18","Taperoá",4,"2018","Dezembro","Todas","Bahia"
"19","Teixeira de Freitas",66,"2018","Dezembro","Todas","Bahia"
"20","Teodoro Sampaio",1,"2018","Dezembro","Todas","Bahia"
"21","Teofilândia",6,"2018","Dezembro","Todas","Bahia"
"22","Terra Nova",9,"2018","Dezembro","Todas","Bahia"
"23","Tremedal",4,"2018","Dezembro","Todas","Bahia"
"24","Ubaitaba",16,"2018","Dezembro","Todas","Bahia"
"25","Una",12,"2018","Dezembro","Todas","Bahia"
"26","Urandi",9,"2018","Dezembro","Todas","Bahia"
"27","Uruçuca",10,"2018","Dezembro","Todas","Bahia"
"28","Riachão do Jacuípe",13,"2018","Dezembro","Todas","Bahia"
"29","Rio de Contas",6,"2018","Dezembro","Todas","Bahia"
"30","Rio do Antônio",6,"2018","Dezembro","Todas","Bahia"
"31","Salvador",1103,"2018","Dezembro","Todas","Bahia"
