"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tufilândia",1,"2018","Dezembro","Todas","Maranhão"
"2","Tuntum",5,"2018","Dezembro","Todas","Maranhão"
"3","Turiaçu",6,"2018","Dezembro","Todas","Maranhão"
"4","Vargem Grande",7,"2018","Dezembro","Todas","Maranhão"
"5","Vila Nova dos Martírios",5,"2018","Dezembro","Todas","Maranhão"
"6","Vitorino Freire",8,"2018","Dezembro","Todas","Maranhão"
"7","Santo Antônio dos Lopes",2,"2018","Dezembro","Todas","Maranhão"
"8","Satubinha",2,"2018","Dezembro","Todas","Maranhão"
"9","Senador La Roque",4,"2018","Dezembro","Todas","Maranhão"
"10","Sucupira do Norte",5,"2018","Dezembro","Todas","Maranhão"
"11","São Domingos do Azeitão",3,"2018","Dezembro","Todas","Maranhão"
"12","São Domingos do Maranhão",3,"2018","Dezembro","Todas","Maranhão"
"13","São Francisco do Brejão",2,"2018","Dezembro","Todas","Maranhão"
"14","São Francisco do Maranhão",1,"2018","Dezembro","Todas","Maranhão"
"15","São Félix de Balsas",2,"2018","Dezembro","Todas","Maranhão"
"16","São João do Paraíso",3,"2018","Dezembro","Todas","Maranhão"
"17","São João do Soter",2,"2018","Dezembro","Todas","Maranhão"
"18","São João dos Patos",18,"2018","Dezembro","Todas","Maranhão"
"19","São Luís",255,"2018","Dezembro","Todas","Maranhão"
"20","São Luís Gonzaga do Maranhão",2,"2018","Dezembro","Todas","Maranhão"
"21","São Mateus do Maranhão",8,"2018","Dezembro","Todas","Maranhão"
"22","São Pedro da Água Branca",3,"2018","Dezembro","Todas","Maranhão"
"23","São Vicente Ferrer",3,"2018","Dezembro","Todas","Maranhão"
"24","Sítio Novo",7,"2018","Dezembro","Todas","Maranhão"
"25","Tasso Fragoso",5,"2018","Dezembro","Todas","Maranhão"
"26","Trizidela do Vale",5,"2018","Dezembro","Todas","Maranhão"
"27","Parnarama",6,"2018","Dezembro","Todas","Maranhão"
"28","Passagem Franca",8,"2018","Dezembro","Todas","Maranhão"
"29","Paço do Lumiar",19,"2018","Dezembro","Todas","Maranhão"
"30","Pedro do Rosário",3,"2018","Dezembro","Todas","Maranhão"
"31","Peri Mirim",5,"2018","Dezembro","Todas","Maranhão"
"32","Peritoró",6,"2018","Dezembro","Todas","Maranhão"
"33","Pio Xii",4,"2018","Dezembro","Todas","Maranhão"
"34","Porto Franco",8,"2018","Dezembro","Todas","Maranhão"
"35","Poção de Pedras",6,"2018","Dezembro","Todas","Maranhão"
"36","Presidente Dutra",25,"2018","Dezembro","Todas","Maranhão"
"37","Primeira Cruz",1,"2018","Dezembro","Todas","Maranhão"
"38","Raposa",2,"2018","Dezembro","Todas","Maranhão"
"39","Riachão",6,"2018","Dezembro","Todas","Maranhão"
"40","Ribamar Fiquene",2,"2018","Dezembro","Todas","Maranhão"
"41","Sambaíba",6,"2018","Dezembro","Todas","Maranhão"
"42","Santa Helena",1,"2018","Dezembro","Todas","Maranhão"
"43","Santa Inês",40,"2018","Dezembro","Todas","Maranhão"
"44","Santa Luzia",15,"2018","Dezembro","Todas","Maranhão"
"45","Santa Rita",7,"2018","Dezembro","Todas","Maranhão"
"46","Santo Amaro do Maranhão",2,"2018","Dezembro","Todas","Maranhão"
"47","Lago Verde",1,"2018","Dezembro","Todas","Maranhão"
"48","Lago da Pedra",19,"2018","Dezembro","Todas","Maranhão"
"49","Lago dos Rodrigues",3,"2018","Dezembro","Todas","Maranhão"
"50","Lagoa Grande do Maranhão",6,"2018","Dezembro","Todas","Maranhão"
"51","Lagoa do Mato",3,"2018","Dezembro","Todas","Maranhão"
"52","Lajeado Novo",2,"2018","Dezembro","Todas","Maranhão"
"53","Lima Campos",4,"2018","Dezembro","Todas","Maranhão"
"54","Mata Roma",1,"2018","Dezembro","Todas","Maranhão"
"55","Matões do Norte",2,"2018","Dezembro","Todas","Maranhão"
"56","Mirador",6,"2018","Dezembro","Todas","Maranhão"
"57","Miranda do Norte",3,"2018","Dezembro","Todas","Maranhão"
"58","Mirinzal",7,"2018","Dezembro","Todas","Maranhão"
"59","Montes Altos",2,"2018","Dezembro","Todas","Maranhão"
"60","Monção",8,"2018","Dezembro","Todas","Maranhão"
"61","Morros",6,"2018","Dezembro","Todas","Maranhão"
"62","Nova Colinas",3,"2018","Dezembro","Todas","Maranhão"
"63","Nova Olinda do Maranhão",3,"2018","Dezembro","Todas","Maranhão"
"64","Olinda Nova do Maranhão",2,"2018","Dezembro","Todas","Maranhão"
"65","Palmeirândia",3,"2018","Dezembro","Todas","Maranhão"
"66","Paraibano",6,"2018","Dezembro","Todas","Maranhão"
"67","Feira Nova do Maranhão",1,"2018","Dezembro","Todas","Maranhão"
"68","Formosa da Serra Negra",3,"2018","Dezembro","Todas","Maranhão"
"69","Fortaleza dos Nogueiras",6,"2018","Dezembro","Todas","Maranhão"
"70","Fortuna",3,"2018","Dezembro","Todas","Maranhão"
"71","Gonçalves Dias",3,"2018","Dezembro","Todas","Maranhão"
"72","Governador Edson Lobão",5,"2018","Dezembro","Todas","Maranhão"
"73","Governador Eugênio Barros",7,"2018","Dezembro","Todas","Maranhão"
"74","Governador Newton Bello",1,"2018","Dezembro","Todas","Maranhão"
"75","Governador Nunes Freire",5,"2018","Dezembro","Todas","Maranhão"
"76","Grajaú",21,"2018","Dezembro","Todas","Maranhão"
"77","Humberto de Campos",6,"2018","Dezembro","Todas","Maranhão"
"78","Icatu",1,"2018","Dezembro","Todas","Maranhão"
"79","Igarapé Grande",2,"2018","Dezembro","Todas","Maranhão"
"80","Igarapé do Meio",2,"2018","Dezembro","Todas","Maranhão"
"81","Imperatriz",115,"2018","Dezembro","Todas","Maranhão"
"82","Itaipava do Grajaú",4,"2018","Dezembro","Todas","Maranhão"
"83","Itapecuru Mirim",10,"2018","Dezembro","Todas","Maranhão"
"84","Itinga do Maranhão",6,"2018","Dezembro","Todas","Maranhão"
"85","Joselândia",4,"2018","Dezembro","Todas","Maranhão"
"86","João Lisboa",10,"2018","Dezembro","Todas","Maranhão"
"87","Bom Jesus das Selvas",4,"2018","Dezembro","Todas","Maranhão"
"88","Bom Lugar",2,"2018","Dezembro","Todas","Maranhão"
"89","Brejo de Areia",3,"2018","Dezembro","Todas","Maranhão"
"90","Buriti Bravo",7,"2018","Dezembro","Todas","Maranhão"
"91","Buriticupu",2,"2018","Dezembro","Todas","Maranhão"
"92","Buritirana",5,"2018","Dezembro","Todas","Maranhão"
"93","Cachoeira Grande",1,"2018","Dezembro","Todas","Maranhão"
"94","Campestre do Maranhão",6,"2018","Dezembro","Todas","Maranhão"
"95","Cantanhede",5,"2018","Dezembro","Todas","Maranhão"
"96","Carolina",12,"2018","Dezembro","Todas","Maranhão"
"97","Caxias",13,"2018","Dezembro","Todas","Maranhão"
"98","Chapadinha",21,"2018","Dezembro","Todas","Maranhão"
"99","Cidelândia",4,"2018","Dezembro","Todas","Maranhão"
"100","Codó",39,"2018","Dezembro","Todas","Maranhão"
"101","Conceição do Lago-Açu",2,"2018","Dezembro","Todas","Maranhão"
"102","Coroatá",18,"2018","Dezembro","Todas","Maranhão"
"103","Dom Pedro",5,"2018","Dezembro","Todas","Maranhão"
"104","Duque Bacelar",3,"2018","Dezembro","Todas","Maranhão"
"105","Esperantinópolis",8,"2018","Dezembro","Todas","Maranhão"
"106","Estreito",10,"2018","Dezembro","Todas","Maranhão"
"107","Alcântara",6,"2018","Dezembro","Todas","Maranhão"
"108","Alto Parnaíba",6,"2018","Dezembro","Todas","Maranhão"
"109","Amapá do Maranhão",1,"2018","Dezembro","Todas","Maranhão"
"110","Amarante do Maranhão",10,"2018","Dezembro","Todas","Maranhão"
"111","Anapurus",3,"2018","Dezembro","Todas","Maranhão"
"112","Apicum-Açu",5,"2018","Dezembro","Todas","Maranhão"
"113","Araioses",1,"2018","Dezembro","Todas","Maranhão"
"114","Arame",10,"2018","Dezembro","Todas","Maranhão"
"115","Arari",10,"2018","Dezembro","Todas","Maranhão"
"116","Açailandia",29,"2018","Dezembro","Todas","Maranhão"
"117","Bacabal",37,"2018","Dezembro","Todas","Maranhão"
"118","Bacabeira",1,"2018","Dezembro","Todas","Maranhão"
"119","Bacuri",4,"2018","Dezembro","Todas","Maranhão"
"120","Balsas",33,"2018","Dezembro","Todas","Maranhão"
