"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Ângulo",1,"2018","Dezembro","Todas","Paraná"
"2","Telemaco Borba",29,"2018","Dezembro","Todas","Paraná"
"3","Terra Boa",8,"2018","Dezembro","Todas","Paraná"
"4","Terra Rica",10,"2018","Dezembro","Todas","Paraná"
"5","Terra Roxa",15,"2018","Dezembro","Todas","Paraná"
"6","Tijucas do Sul",10,"2018","Dezembro","Todas","Paraná"
"7","Toledo",68,"2018","Dezembro","Todas","Paraná"
"8","Três Barras do Paraná",6,"2018","Dezembro","Todas","Paraná"
"9","Tuneiras do Oeste",8,"2018","Dezembro","Todas","Paraná"
"10","Tupãssi",5,"2018","Dezembro","Todas","Paraná"
"11","Turvo",5,"2018","Dezembro","Todas","Paraná"
"12","Ubiratã",12,"2018","Dezembro","Todas","Paraná"
"13","Umuarama",65,"2018","Dezembro","Todas","Paraná"
"14","União da Vitória",34,"2018","Dezembro","Todas","Paraná"
"15","Uraí",6,"2018","Dezembro","Todas","Paraná"
"16","Vera Cruz do Oeste",5,"2018","Dezembro","Todas","Paraná"
"17","Verê",4,"2018","Dezembro","Todas","Paraná"
"18","Virmond",4,"2018","Dezembro","Todas","Paraná"
"19","Vitorino",4,"2018","Dezembro","Todas","Paraná"
"20","Wenceslau Braz",10,"2018","Dezembro","Todas","Paraná"
"21","Xambrê",7,"2018","Dezembro","Todas","Paraná"
"22","São Jerônimo da Serra",8,"2018","Dezembro","Todas","Paraná"
"23","São Jorge D'oeste",4,"2018","Dezembro","Todas","Paraná"
"24","São Jorge do Ivaí",2,"2018","Dezembro","Todas","Paraná"
"25","São José da Boa Vista",2,"2018","Dezembro","Todas","Paraná"
"26","São José das Palmeiras",6,"2018","Dezembro","Todas","Paraná"
"27","São José dos Pinhais",149,"2018","Dezembro","Todas","Paraná"
"28","São João",6,"2018","Dezembro","Todas","Paraná"
"29","São João do Ivaí",14,"2018","Dezembro","Todas","Paraná"
"30","São João do Triunfo",5,"2018","Dezembro","Todas","Paraná"
"31","São Manoel do Paraná",2,"2018","Dezembro","Todas","Paraná"
"32","São Miguel do Iguaçu",15,"2018","Dezembro","Todas","Paraná"
"33","São Pedro do Ivaí",7,"2018","Dezembro","Todas","Paraná"
"34","São Pedro do Paraná",1,"2018","Dezembro","Todas","Paraná"
"35","São Sebastião da Amoreira",4,"2018","Dezembro","Todas","Paraná"
"36","São Tomé",5,"2018","Dezembro","Todas","Paraná"
"37","Tamarana",9,"2018","Dezembro","Todas","Paraná"
"38","Tamboara",4,"2018","Dezembro","Todas","Paraná"
"39","Tapejara",10,"2018","Dezembro","Todas","Paraná"
"40","Tapira",3,"2018","Dezembro","Todas","Paraná"
"41","Teixeira Soares",4,"2018","Dezembro","Todas","Paraná"
"42","Santa Cruz de Monte Castelo",2,"2018","Dezembro","Todas","Paraná"
"43","Santa Fé",7,"2018","Dezembro","Todas","Paraná"
"44","Santa Helena",18,"2018","Dezembro","Todas","Paraná"
"45","Santa Isabel do Ivaí",6,"2018","Dezembro","Todas","Paraná"
"46","Santa Izabel do Oeste",8,"2018","Dezembro","Todas","Paraná"
"47","Santa Mônica",2,"2018","Dezembro","Todas","Paraná"
"48","Santa Tereza do Oeste",10,"2018","Dezembro","Todas","Paraná"
"49","Santa Terezinha de Itaipu",16,"2018","Dezembro","Todas","Paraná"
"50","Santo Antônio da Platina",29,"2018","Dezembro","Todas","Paraná"
"51","Santo Antônio do Caiuá",1,"2018","Dezembro","Todas","Paraná"
"52","Santo Antônio do Paraíso",1,"2018","Dezembro","Todas","Paraná"
"53","Santo Antônio do Sudoeste",4,"2018","Dezembro","Todas","Paraná"
"54","Santo Inácio",2,"2018","Dezembro","Todas","Paraná"
"55","Sapopema",3,"2018","Dezembro","Todas","Paraná"
"56","Sarandi",48,"2018","Dezembro","Todas","Paraná"
"57","Saudade do Iguaçu",3,"2018","Dezembro","Todas","Paraná"
"58","Sengés",7,"2018","Dezembro","Todas","Paraná"
"59","Serranópolis do Iguaçu",1,"2018","Dezembro","Todas","Paraná"
"60","Sertaneja",7,"2018","Dezembro","Todas","Paraná"
"61","Siqueira Campos",16,"2018","Dezembro","Todas","Paraná"
"62","Quitandinha",12,"2018","Dezembro","Todas","Paraná"
"63","Ramilândia",1,"2018","Dezembro","Todas","Paraná"
"64","Rancho Alegre",2,"2018","Dezembro","Todas","Paraná"
"65","Rebouças",13,"2018","Dezembro","Todas","Paraná"
"66","Renascença",2,"2018","Dezembro","Todas","Paraná"
"67","Reserva do Iguaçu",1,"2018","Dezembro","Todas","Paraná"
"68","Ribeirão Claro",9,"2018","Dezembro","Todas","Paraná"
"69","Ribeirão do Pinhal",15,"2018","Dezembro","Todas","Paraná"
"70","Rio Azul",11,"2018","Dezembro","Todas","Paraná"
"71","Rio Bom",3,"2018","Dezembro","Todas","Paraná"
"72","Rio Bonito do Iguaçu",4,"2018","Dezembro","Todas","Paraná"
"73","Rio Branco do Sul",14,"2018","Dezembro","Todas","Paraná"
"74","Rio Negro",28,"2018","Dezembro","Todas","Paraná"
"75","Rolandia",23,"2018","Dezembro","Todas","Paraná"
"76","Roncador",6,"2018","Dezembro","Todas","Paraná"
"77","Rondon",4,"2018","Dezembro","Todas","Paraná"
"78","Rosário do Ivaí",2,"2018","Dezembro","Todas","Paraná"
"79","Salto do Lontra",5,"2018","Dezembro","Todas","Paraná"
"80","Santa Amélia",3,"2018","Dezembro","Todas","Paraná"
"81","Santa Cecília do Pavão",2,"2018","Dezembro","Todas","Paraná"
"82","Piên",7,"2018","Dezembro","Todas","Paraná"
"83","Planaltina do Paraná",1,"2018","Dezembro","Todas","Paraná"
"84","Planalto",10,"2018","Dezembro","Todas","Paraná"
"85","Ponta Grossa",177,"2018","Dezembro","Todas","Paraná"
"86","Pontal do Parana",6,"2018","Dezembro","Todas","Paraná"
"87","Porecatu",11,"2018","Dezembro","Todas","Paraná"
"88","Porto Amazonas",3,"2018","Dezembro","Todas","Paraná"
"89","Porto Vitória",3,"2018","Dezembro","Todas","Paraná"
"90","Prado Ferreira",1,"2018","Dezembro","Todas","Paraná"
"91","Pranchita",2,"2018","Dezembro","Todas","Paraná"
"92","Primeiro de Maio",6,"2018","Dezembro","Todas","Paraná"
"93","Prudentópolis",31,"2018","Dezembro","Todas","Paraná"
"94","Pérola",5,"2018","Dezembro","Todas","Paraná"
"95","Pérola D'oeste",8,"2018","Dezembro","Todas","Paraná"
