"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Francisco do Oeste",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"2","São Gonçalo do Amarante",33,"2018","Dezembro","Todas","Rio Grande do Norte"
"3","São José de Mipibu",20,"2018","Dezembro","Todas","Rio Grande do Norte"
"4","São José do Campestre",12,"2018","Dezembro","Todas","Rio Grande do Norte"
"5","São Miguel",11,"2018","Dezembro","Todas","Rio Grande do Norte"
"6","São Miguel do Gostoso",5,"2018","Dezembro","Todas","Rio Grande do Norte"
"7","São Tomé",8,"2018","Dezembro","Todas","Rio Grande do Norte"
"8","Sítio Novo",1,"2018","Dezembro","Todas","Rio Grande do Norte"
"9","Taboleiro Grande",1,"2018","Dezembro","Todas","Rio Grande do Norte"
"10","Taipu",4,"2018","Dezembro","Todas","Rio Grande do Norte"
"11","Tangará",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"12","Tenente Laurentino Cruz",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"13","Touros",7,"2018","Dezembro","Todas","Rio Grande do Norte"
"14","Upanema",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"15","Marcelino Vieira",9,"2018","Dezembro","Todas","Rio Grande do Norte"
"16","Mossoró",114,"2018","Dezembro","Todas","Rio Grande do Norte"
"17","Natal",453,"2018","Dezembro","Todas","Rio Grande do Norte"
"18","Nova Cruz",18,"2018","Dezembro","Todas","Rio Grande do Norte"
"19","Nísia Floresta",5,"2018","Dezembro","Todas","Rio Grande do Norte"
"20","Parelhas",7,"2018","Dezembro","Todas","Rio Grande do Norte"
"21","Parnamirim",61,"2018","Dezembro","Todas","Rio Grande do Norte"
"22","Pedra Grande",1,"2018","Dezembro","Todas","Rio Grande do Norte"
"23","Poço Branco",5,"2018","Dezembro","Todas","Rio Grande do Norte"
"24","Rafael Godeiro",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"25","Riachuelo",6,"2018","Dezembro","Todas","Rio Grande do Norte"
"26","Santa Maria",1,"2018","Dezembro","Todas","Rio Grande do Norte"
"27","Senador Elói de Souza",5,"2018","Dezembro","Todas","Rio Grande do Norte"
"28","Senador Georgino Avelino",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"29","Serra Caiada",2,"2018","Dezembro","Todas","Rio Grande do Norte"
"30","Serra Negra do Norte",1,"2018","Dezembro","Todas","Rio Grande do Norte"
"31","Serra de São Bento",3,"2018","Dezembro","Todas","Rio Grande do Norte"
"32","Severiano Melo",4,"2018","Dezembro","Todas","Rio Grande do Norte"
"33","São Bento do Norte",3,"2018","Dezembro","Todas","Rio Grande do Norte"
"34","São Bento do Trairí",1,"2018","Dezembro","Todas","Rio Grande do Norte"
