"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Reriutaba",6,"2018","Fevereiro","Todas","Ceará"
"2","Russas",38,"2018","Fevereiro","Todas","Ceará"
"3","Salitre",5,"2018","Fevereiro","Todas","Ceará"
"4","Santa Quitéria",16,"2018","Fevereiro","Todas","Ceará"
"5","Santana do Acaraú",8,"2018","Fevereiro","Todas","Ceará"
"6","Senador Pompeu",8,"2018","Fevereiro","Todas","Ceará"
"7","São Benedito",18,"2018","Fevereiro","Todas","Ceará"
"8","São Gonçalo do Amarante",1,"2018","Fevereiro","Todas","Ceará"
"9","São João do Jaguaribe",4,"2018","Fevereiro","Todas","Ceará"
"10","Tabuleiro do Norte",10,"2018","Fevereiro","Todas","Ceará"
"11","Tarrafas",3,"2018","Fevereiro","Todas","Ceará"
"12","Tauá",43,"2018","Fevereiro","Todas","Ceará"
"13","Tianguá",3,"2018","Fevereiro","Todas","Ceará"
"14","Trairi",10,"2018","Fevereiro","Todas","Ceará"
"15","Tururu",4,"2018","Fevereiro","Todas","Ceará"
"16","Ubajara",13,"2018","Fevereiro","Todas","Ceará"
"17","Uruoca",3,"2018","Fevereiro","Todas","Ceará"
"18","Viçosa do Ceará",4,"2018","Fevereiro","Todas","Ceará"
"19","Várzea Alegre",18,"2018","Fevereiro","Todas","Ceará"
"20","Morada Nova",24,"2018","Fevereiro","Todas","Ceará"
"21","Morrinhos",11,"2018","Fevereiro","Todas","Ceará"
"22","Mulungu",4,"2018","Fevereiro","Todas","Ceará"
"23","Nova Russas",9,"2018","Fevereiro","Todas","Ceará"
"24","Novo Oriente",12,"2018","Fevereiro","Todas","Ceará"
"25","Ocara",11,"2018","Fevereiro","Todas","Ceará"
"26","Pacatuba",26,"2018","Fevereiro","Todas","Ceará"
"27","Palhano",3,"2018","Fevereiro","Todas","Ceará"
"28","Palmácia",2,"2018","Fevereiro","Todas","Ceará"
"29","Paracuru",9,"2018","Fevereiro","Todas","Ceará"
"30","Paraipaba",14,"2018","Fevereiro","Todas","Ceará"
"31","Pedra Branca",23,"2018","Fevereiro","Todas","Ceará"
"32","Penaforte",4,"2018","Fevereiro","Todas","Ceará"
"33","Pereiro",7,"2018","Fevereiro","Todas","Ceará"
"34","Piquet Carneiro",8,"2018","Fevereiro","Todas","Ceará"
"35","Porteiras",5,"2018","Fevereiro","Todas","Ceará"
"36","Potiretama",1,"2018","Fevereiro","Todas","Ceará"
"37","Quixadá",32,"2018","Fevereiro","Todas","Ceará"
"38","Quixeramobim",27,"2018","Fevereiro","Todas","Ceará"
"39","Quixere",7,"2018","Fevereiro","Todas","Ceará"
"40","Iguatu",36,"2018","Fevereiro","Todas","Ceará"
"41","Ipaporanga",4,"2018","Fevereiro","Todas","Ceará"
"42","Ipaumirim",5,"2018","Fevereiro","Todas","Ceará"
"43","Irauçuba",10,"2018","Fevereiro","Todas","Ceará"
"44","Itapiúna",8,"2018","Fevereiro","Todas","Ceará"
"45","Itarema",19,"2018","Fevereiro","Todas","Ceará"
"46","Jaguaretama",6,"2018","Fevereiro","Todas","Ceará"
"47","Jaguaribe",8,"2018","Fevereiro","Todas","Ceará"
"48","Jaguaruana",13,"2018","Fevereiro","Todas","Ceará"
"49","Jati",2,"2018","Fevereiro","Todas","Ceará"
"50","Juazeiro do Norte",129,"2018","Fevereiro","Todas","Ceará"
"51","Lavras da Mangabeira",22,"2018","Fevereiro","Todas","Ceará"
"52","Limoeiro do Norte",21,"2018","Fevereiro","Todas","Ceará"
"53","Madalena",6,"2018","Fevereiro","Todas","Ceará"
"54","Maracanau",65,"2018","Fevereiro","Todas","Ceará"
"55","Maranguape",32,"2018","Fevereiro","Todas","Ceará"
"56","Marco",9,"2018","Fevereiro","Todas","Ceará"
"57","Massapê",2,"2018","Fevereiro","Todas","Ceará"
"58","Meruoca",6,"2018","Fevereiro","Todas","Ceará"
"59","Milhã",7,"2018","Fevereiro","Todas","Ceará"
"60","Cariús",2,"2018","Fevereiro","Todas","Ceará"
"61","Carnaubal",4,"2018","Fevereiro","Todas","Ceará"
"62","Caucaia",105,"2018","Fevereiro","Todas","Ceará"
"63","Chorozinho",10,"2018","Fevereiro","Todas","Ceará"
"64","Choró",5,"2018","Fevereiro","Todas","Ceará"
"65","Coreaú",8,"2018","Fevereiro","Todas","Ceará"
"66","Crato",55,"2018","Fevereiro","Todas","Ceará"
"67","Cruz",8,"2018","Fevereiro","Todas","Ceará"
"68","Farias Brito",7,"2018","Fevereiro","Todas","Ceará"
"69","Fortaleza",1570,"2018","Fevereiro","Todas","Ceará"
"70","Fortim",3,"2018","Fevereiro","Todas","Ceará"
"71","Frecheirinha",5,"2018","Fevereiro","Todas","Ceará"
"72","Granja",1,"2018","Fevereiro","Todas","Ceará"
"73","Graça",6,"2018","Fevereiro","Todas","Ceará"
"74","Guaramiranga",3,"2018","Fevereiro","Todas","Ceará"
"75","Hidrolândia",14,"2018","Fevereiro","Todas","Ceará"
"76","Horizonte",13,"2018","Fevereiro","Todas","Ceará"
"77","Ibiapina",7,"2018","Fevereiro","Todas","Ceará"
"78","Icapuí",2,"2018","Fevereiro","Todas","Ceará"
"79","Icó",3,"2018","Fevereiro","Todas","Ceará"
"80","Acaraú",18,"2018","Fevereiro","Todas","Ceará"
"81","Acopiara",8,"2018","Fevereiro","Todas","Ceará"
"82","Alto Santo",5,"2018","Fevereiro","Todas","Ceará"
"83","Amontada",1,"2018","Fevereiro","Todas","Ceará"
"84","Aquiraz",3,"2018","Fevereiro","Todas","Ceará"
"85","Aracati",17,"2018","Fevereiro","Todas","Ceará"
"86","Ararendá",7,"2018","Fevereiro","Todas","Ceará"
"87","Araripe",12,"2018","Fevereiro","Todas","Ceará"
"88","Aratuba",2,"2018","Fevereiro","Todas","Ceará"
"89","Assaré",7,"2018","Fevereiro","Todas","Ceará"
"90","Barbalha",41,"2018","Fevereiro","Todas","Ceará"
"91","Barreira",3,"2018","Fevereiro","Todas","Ceará"
"92","Barro",4,"2018","Fevereiro","Todas","Ceará"
"93","Baturité",13,"2018","Fevereiro","Todas","Ceará"
"94","Beberibe",16,"2018","Fevereiro","Todas","Ceará"
"95","Bela Cruz",1,"2018","Fevereiro","Todas","Ceará"
"96","Boa Viagem",28,"2018","Fevereiro","Todas","Ceará"
"97","Campos Sales",10,"2018","Fevereiro","Todas","Ceará"
"98","Canindé",42,"2018","Fevereiro","Todas","Ceará"
"99","Capistrano",6,"2018","Fevereiro","Todas","Ceará"
