"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Terenos",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"2","Três Lagoas",39,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"3","Água Clara",7,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"4","Laguna Carapã",4,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"5","Miranda",8,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"6","Mundo Novo",6,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"7","Naviraí",28,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"8","Nioaque",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"9","Nova Alvorada do Sul",9,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"10","Novo Horizonte do Sul",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"11","Paranaiba",17,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"12","Paraíso das Águas",2,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"13","Pedro Gomes",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"14","Ponta Porã",40,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"15","Ribas do Rio Pardo",4,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"16","Rio Brilhante",10,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"17","Rio Negro",2,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"18","Rochedo",2,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"19","Santa Rita do Pardo",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"20","Sidrolândia",14,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"21","Sonora",5,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"22","São Gabriel do Oeste",6,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"23","Taquarussu",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"24","Corumba",55,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"25","Costa Rica",5,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"26","Coxim",13,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"27","Deodápolis",6,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"28","Dois Irmãos do Buriti",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"29","Douradina",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"30","Dourados",104,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"31","Eldorado",10,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"32","Figueirão",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"33","Glória de Dourados",5,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"34","Guia Lopes da Laguna",9,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"35","Iguatemi",5,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"36","Itaporã",11,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"37","Itaquiraí",8,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"38","Ivinhema",9,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"39","Jaraguari",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"40","Jardim",12,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"41","Jateí",2,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"42","Juti",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"43","Ladario",7,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"44","Amambaí",19,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"45","Anastácio",9,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"46","Anaurilândia",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"47","Angélica",7,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"48","Antônio João",4,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"49","Aparecida do Taboado",8,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"50","Aquidauana",35,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"51","Aral Moreira",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"52","Bataguassu",7,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"53","Batayporã",2,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"54","Bela Vista",13,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"55","Bodoquena",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"56","Bonito",7,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"57","Brasilândia",7,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"58","Caarapo",9,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"59","Camapuã",1,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"60","Campo Grande",442,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"61","Cassilândia",9,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"62","Chapadão do Sul",3,"2018","Fevereiro","Todas","Mato Grosso do Sul"
"63","Coronel Sapucaia",4,"2018","Fevereiro","Todas","Mato Grosso do Sul"
