"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Paragominas",32,"2018","Fevereiro","Todas","Pará"
"2","Parauapebas",35,"2018","Fevereiro","Todas","Pará"
"3","Rio Maria",9,"2018","Fevereiro","Todas","Pará"
"4","Rondon do Pará",13,"2018","Fevereiro","Todas","Pará"
"5","Rurópolis",4,"2018","Fevereiro","Todas","Pará"
"6","Santa Luzia do Pará",5,"2018","Fevereiro","Todas","Pará"
"7","Santana do Araguaia",6,"2018","Fevereiro","Todas","Pará"
"8","Santarem",123,"2018","Fevereiro","Todas","Pará"
"9","São Domingos do Araguaia",3,"2018","Fevereiro","Todas","Pará"
"10","São Domingos do Capim",7,"2018","Fevereiro","Todas","Pará"
"11","São Félix do Xingu",14,"2018","Fevereiro","Todas","Pará"
"12","São Geraldo do Araguaia",12,"2018","Fevereiro","Todas","Pará"
"13","São João do Araguaia",2,"2018","Fevereiro","Todas","Pará"
"14","Tucumã",20,"2018","Fevereiro","Todas","Pará"
"15","Tucurui",41,"2018","Fevereiro","Todas","Pará"
"16","Uruará",8,"2018","Fevereiro","Todas","Pará"
"17","Vigia",12,"2018","Fevereiro","Todas","Pará"
"18","Viseu",9,"2018","Fevereiro","Todas","Pará"
"19","Vitória do Xingu",2,"2018","Fevereiro","Todas","Pará"
"20","Xinguara",14,"2018","Fevereiro","Todas","Pará"
"21","Abaetetuba",31,"2018","Fevereiro","Todas","Pará"
"22","Altamira",46,"2018","Fevereiro","Todas","Pará"
"23","Bagre",4,"2018","Fevereiro","Todas","Pará"
"24","Barcarena",3,"2018","Fevereiro","Todas","Pará"
"25","Belém",263,"2018","Fevereiro","Todas","Pará"
"26","Brejo Grande do Araguaia",1,"2018","Fevereiro","Todas","Pará"
"27","Breu Branco",9,"2018","Fevereiro","Todas","Pará"
"28","Canaã dos Carajás",7,"2018","Fevereiro","Todas","Pará"
"29","Dom Eliseu",2,"2018","Fevereiro","Todas","Pará"
"30","Eldorado dos Carajás",11,"2018","Fevereiro","Todas","Pará"
"31","Itaituba",31,"2018","Fevereiro","Todas","Pará"
"32","Limoeiro do Ajuru",1,"2018","Fevereiro","Todas","Pará"
"33","Maraba",2,"2018","Fevereiro","Todas","Pará"
"34","Maracanã",1,"2018","Fevereiro","Todas","Pará"
"35","Marapanim",1,"2018","Fevereiro","Todas","Pará"
"36","Monte Alegre",20,"2018","Fevereiro","Todas","Pará"
"37","Novo Progresso",3,"2018","Fevereiro","Todas","Pará"
"38","Novo Repartimento",16,"2018","Fevereiro","Todas","Pará"
"39","Pacajá",13,"2018","Fevereiro","Todas","Pará"
"40","Palestina do Pará",1,"2018","Fevereiro","Todas","Pará"
