"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Domingos do Norte",3,"2018","Janeiro","Todas","Espírito Santo"
"2","São Gabriel da Palha",16,"2018","Janeiro","Todas","Espírito Santo"
"3","São José do Calçado",11,"2018","Janeiro","Todas","Espírito Santo"
"4","São Mateus",68,"2018","Janeiro","Todas","Espírito Santo"
"5","São Roque do Canaã",2,"2018","Janeiro","Todas","Espírito Santo"
"6","Vargem Alta",5,"2018","Janeiro","Todas","Espírito Santo"
"7","Venda Nova do Imigrante",9,"2018","Janeiro","Todas","Espírito Santo"
"8","Viana",24,"2018","Janeiro","Todas","Espírito Santo"
"9","Vila Pavão",6,"2018","Janeiro","Todas","Espírito Santo"
"10","Vila Valério",3,"2018","Janeiro","Todas","Espírito Santo"
"11","Vila Velha",260,"2018","Janeiro","Todas","Espírito Santo"
"12","Vitória",208,"2018","Janeiro","Todas","Espírito Santo"
"13","Água Doce do Norte",6,"2018","Janeiro","Todas","Espírito Santo"
"14","Águia Branca",5,"2018","Janeiro","Todas","Espírito Santo"
"15","Marataízes",9,"2018","Janeiro","Todas","Espírito Santo"
"16","Marechal Floriano",16,"2018","Janeiro","Todas","Espírito Santo"
"17","Marilândia",3,"2018","Janeiro","Todas","Espírito Santo"
"18","Mimoso do Sul",20,"2018","Janeiro","Todas","Espírito Santo"
"19","Montanha",8,"2018","Janeiro","Todas","Espírito Santo"
"20","Mucurici",10,"2018","Janeiro","Todas","Espírito Santo"
"21","Muniz Freire",10,"2018","Janeiro","Todas","Espírito Santo"
"22","Muqui",10,"2018","Janeiro","Todas","Espírito Santo"
"23","Nova Venécia",16,"2018","Janeiro","Todas","Espírito Santo"
"24","Pancas",9,"2018","Janeiro","Todas","Espírito Santo"
"25","Pedro Canário",12,"2018","Janeiro","Todas","Espírito Santo"
"26","Pinheiros",13,"2018","Janeiro","Todas","Espírito Santo"
"27","Piuma",12,"2018","Janeiro","Todas","Espírito Santo"
"28","Rio Bananal",9,"2018","Janeiro","Todas","Espírito Santo"
"29","Rio Novo do Sul",6,"2018","Janeiro","Todas","Espírito Santo"
"30","Santa Leopoldina",8,"2018","Janeiro","Todas","Espírito Santo"
"31","Santa Maria de Jetiba",23,"2018","Janeiro","Todas","Espírito Santo"
"32","Santa Teresa",13,"2018","Janeiro","Todas","Espírito Santo"
"33","Serra",236,"2018","Janeiro","Todas","Espírito Santo"
"34","Sooretama",8,"2018","Janeiro","Todas","Espírito Santo"
"35","Ecoporanga",17,"2018","Janeiro","Todas","Espírito Santo"
"36","Fundão",10,"2018","Janeiro","Todas","Espírito Santo"
"37","Governador Lindenberg",7,"2018","Janeiro","Todas","Espírito Santo"
"38","Guarapari",62,"2018","Janeiro","Todas","Espírito Santo"
"39","Guaçuí",25,"2018","Janeiro","Todas","Espírito Santo"
"40","Ibatiba",4,"2018","Janeiro","Todas","Espírito Santo"
"41","Ibiraçu",7,"2018","Janeiro","Todas","Espírito Santo"
"42","Ibitirama",6,"2018","Janeiro","Todas","Espírito Santo"
"43","Iconha",4,"2018","Janeiro","Todas","Espírito Santo"
"44","Irupi",3,"2018","Janeiro","Todas","Espírito Santo"
"45","Itaguaçu",13,"2018","Janeiro","Todas","Espírito Santo"
"46","Itapemirim",32,"2018","Janeiro","Todas","Espírito Santo"
"47","Itarana",10,"2018","Janeiro","Todas","Espírito Santo"
"48","Iúna",20,"2018","Janeiro","Todas","Espírito Santo"
"49","Jaguaré",10,"2018","Janeiro","Todas","Espírito Santo"
"50","Jerônimo Monteiro",11,"2018","Janeiro","Todas","Espírito Santo"
"51","João Neiva",10,"2018","Janeiro","Todas","Espírito Santo"
"52","Laranja da Terra",13,"2018","Janeiro","Todas","Espírito Santo"
"53","Linhares",78,"2018","Janeiro","Todas","Espírito Santo"
"54","Mantenópolis",6,"2018","Janeiro","Todas","Espírito Santo"
"55","Afonso Claudio",21,"2018","Janeiro","Todas","Espírito Santo"
"56","Alegre",12,"2018","Janeiro","Todas","Espírito Santo"
"57","Alfredo Chaves",5,"2018","Janeiro","Todas","Espírito Santo"
"58","Alto Rio Novo",5,"2018","Janeiro","Todas","Espírito Santo"
"59","Anchieta",13,"2018","Janeiro","Todas","Espírito Santo"
"60","Apiacá",7,"2018","Janeiro","Todas","Espírito Santo"
"61","Aracruz",33,"2018","Janeiro","Todas","Espírito Santo"
"62","Atilio Vivacqua",6,"2018","Janeiro","Todas","Espírito Santo"
"63","Baixo Guandu",11,"2018","Janeiro","Todas","Espírito Santo"
"64","Barra de São Francisco",43,"2018","Janeiro","Todas","Espírito Santo"
"65","Boa Esperança",7,"2018","Janeiro","Todas","Espírito Santo"
"66","Bom Jesus do Norte",3,"2018","Janeiro","Todas","Espírito Santo"
"67","Brejetuba",7,"2018","Janeiro","Todas","Espírito Santo"
"68","Cachoeiro de Itapemirim",142,"2018","Janeiro","Todas","Espírito Santo"
"69","Cariacica",127,"2018","Janeiro","Todas","Espírito Santo"
"70","Castelo",20,"2018","Janeiro","Todas","Espírito Santo"
"71","Colatina",91,"2018","Janeiro","Todas","Espírito Santo"
"72","Conceição da Barra",11,"2018","Janeiro","Todas","Espírito Santo"
"73","Conceição do Castelo",7,"2018","Janeiro","Todas","Espírito Santo"
"74","Domingos Martins",19,"2018","Janeiro","Todas","Espírito Santo"
