"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Uiraúna",4,"2018","Janeiro","Todas","Paraíba"
"2","Umbuzeiro",2,"2018","Janeiro","Todas","Paraíba"
"3","Vista Serrana",1,"2018","Janeiro","Todas","Paraíba"
"4","Várzea",2,"2018","Janeiro","Todas","Paraíba"
"5","Zabelê",2,"2018","Janeiro","Todas","Paraíba"
"6","Água Branca",5,"2018","Janeiro","Todas","Paraíba"
"7","São Domingos do Cariri",2,"2018","Janeiro","Todas","Paraíba"
"8","São Francisco",1,"2018","Janeiro","Todas","Paraíba"
"9","São José da Lagoa Tapada",3,"2018","Janeiro","Todas","Paraíba"
"10","São José de Caiana",3,"2018","Janeiro","Todas","Paraíba"
"11","São José de Espinharas",3,"2018","Janeiro","Todas","Paraíba"
"12","São José de Piranhas",11,"2018","Janeiro","Todas","Paraíba"
"13","São José de Princesa",1,"2018","Janeiro","Todas","Paraíba"
"14","São José dos Cordeiros",1,"2018","Janeiro","Todas","Paraíba"
"15","São José dos Ramos",1,"2018","Janeiro","Todas","Paraíba"
"16","São João do Cariri",4,"2018","Janeiro","Todas","Paraíba"
"17","São João do Rio do Peixe",8,"2018","Janeiro","Todas","Paraíba"
"18","São João do Tigre",4,"2018","Janeiro","Todas","Paraíba"
"19","São Mamede",3,"2018","Janeiro","Todas","Paraíba"
"20","São Miguel de Taipu",4,"2018","Janeiro","Todas","Paraíba"
"21","São Sebastião de Lagoa de Roça",3,"2018","Janeiro","Todas","Paraíba"
"22","Taperoá",14,"2018","Janeiro","Todas","Paraíba"
"23","Tavares",5,"2018","Janeiro","Todas","Paraíba"
"24","Teixeira",6,"2018","Janeiro","Todas","Paraíba"
"25","Tenório",1,"2018","Janeiro","Todas","Paraíba"
"26","Triunfo",3,"2018","Janeiro","Todas","Paraíba"
"27","Santana de Mangueira",3,"2018","Janeiro","Todas","Paraíba"
"28","Santana dos Garrotes",3,"2018","Janeiro","Todas","Paraíba"
"29","Santarém",2,"2018","Janeiro","Todas","Paraíba"
"30","Santo André",1,"2018","Janeiro","Todas","Paraíba"
"31","Sapé",33,"2018","Janeiro","Todas","Paraíba"
