"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Assis Brasil",9,"2018","Julho","Todas","Acre"
"2","Brasiléia",13,"2018","Julho","Todas","Acre"
"3","Capixaba",4,"2018","Julho","Todas","Acre"
"4","Cruzeiro do Sul",33,"2018","Julho","Todas","Acre"
"5","Epitaciolândia",9,"2018","Julho","Todas","Acre"
"6","Feijó",13,"2018","Julho","Todas","Acre"
"7","Manoel Urbano",5,"2018","Julho","Todas","Acre"
"8","Mâncio Lima",4,"2018","Julho","Todas","Acre"
"9","Plácido de Castro",8,"2018","Julho","Todas","Acre"
"10","Porto Acre",4,"2018","Julho","Todas","Acre"
"11","Rio Branco",240,"2018","Julho","Todas","Acre"
"12","Rodrigues Alves",3,"2018","Julho","Todas","Acre"
"13","Santa Rosa do Purus",3,"2018","Julho","Todas","Acre"
"14","Sena Madureira",17,"2018","Julho","Todas","Acre"
"15","Senador Guiomard",10,"2018","Julho","Todas","Acre"
"16","Tarauacá",11,"2018","Julho","Todas","Acre"
"17","Xapuri",7,"2018","Julho","Todas","Acre"
