"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tarrafas",4,"2018","Julho","Todas","Ceará"
"2","Tauá",19,"2018","Julho","Todas","Ceará"
"3","Tianguá",9,"2018","Julho","Todas","Ceará"
"4","Trairi",14,"2018","Julho","Todas","Ceará"
"5","Tururu",7,"2018","Julho","Todas","Ceará"
"6","Ubajara",17,"2018","Julho","Todas","Ceará"
"7","Viçosa do Ceará",2,"2018","Julho","Todas","Ceará"
"8","Várzea Alegre",20,"2018","Julho","Todas","Ceará"
"9","Pedra Branca",31,"2018","Julho","Todas","Ceará"
"10","Penaforte",2,"2018","Julho","Todas","Ceará"
"11","Pereiro",11,"2018","Julho","Todas","Ceará"
"12","Piquet Carneiro",15,"2018","Julho","Todas","Ceará"
"13","Porteiras",9,"2018","Julho","Todas","Ceará"
"14","Potiretama",4,"2018","Julho","Todas","Ceará"
"15","Quixadá",34,"2018","Julho","Todas","Ceará"
"16","Quixeramobim",33,"2018","Julho","Todas","Ceará"
"17","Quixere",11,"2018","Julho","Todas","Ceará"
"18","Reriutaba",5,"2018","Julho","Todas","Ceará"
"19","Russas",42,"2018","Julho","Todas","Ceará"
"20","Salitre",7,"2018","Julho","Todas","Ceará"
"21","Santa Quitéria",18,"2018","Julho","Todas","Ceará"
"22","Santana do Acaraú",9,"2018","Julho","Todas","Ceará"
"23","Santana do Cariri",9,"2018","Julho","Todas","Ceará"
"24","Senador Pompeu",18,"2018","Julho","Todas","Ceará"
"25","Sobral",20,"2018","Julho","Todas","Ceará"
"26","São Benedito",25,"2018","Julho","Todas","Ceará"
"27","São Gonçalo do Amarante",4,"2018","Julho","Todas","Ceará"
"28","Tabuleiro do Norte",15,"2018","Julho","Todas","Ceará"
"29","Madalena",9,"2018","Julho","Todas","Ceará"
"30","Maracanau",84,"2018","Julho","Todas","Ceará"
"31","Maranguape",66,"2018","Julho","Todas","Ceará"
"32","Marco",12,"2018","Julho","Todas","Ceará"
"33","Meruoca",6,"2018","Julho","Todas","Ceará"
"34","Milagres",16,"2018","Julho","Todas","Ceará"
"35","Milhã",11,"2018","Julho","Todas","Ceará"
"36","Morada Nova",31,"2018","Julho","Todas","Ceará"
"37","Morrinhos",13,"2018","Julho","Todas","Ceará"
"38","Mulungu",3,"2018","Julho","Todas","Ceará"
"39","Nova Russas",9,"2018","Julho","Todas","Ceará"
"40","Novo Oriente",12,"2018","Julho","Todas","Ceará"
"41","Ocara",10,"2018","Julho","Todas","Ceará"
"42","Orós",2,"2018","Julho","Todas","Ceará"
"43","Pacatuba",21,"2018","Julho","Todas","Ceará"
"44","Pacoti",6,"2018","Julho","Todas","Ceará"
"45","Palhano",3,"2018","Julho","Todas","Ceará"
"46","Palmácia",8,"2018","Julho","Todas","Ceará"
"47","Paracuru",20,"2018","Julho","Todas","Ceará"
"48","Paraipaba",12,"2018","Julho","Todas","Ceará"
"49","Hidrolândia",13,"2018","Julho","Todas","Ceará"
"50","Horizonte",31,"2018","Julho","Todas","Ceará"
"51","Ibiapina",13,"2018","Julho","Todas","Ceará"
"52","Icapuí",3,"2018","Julho","Todas","Ceará"
"53","Icó",4,"2018","Julho","Todas","Ceará"
"54","Iguatu",62,"2018","Julho","Todas","Ceará"
"55","Independência",1,"2018","Julho","Todas","Ceará"
"56","Ipaporanga",10,"2018","Julho","Todas","Ceará"
"57","Ipaumirim",4,"2018","Julho","Todas","Ceará"
"58","Irauçuba",13,"2018","Julho","Todas","Ceará"
"59","Itapajé",12,"2018","Julho","Todas","Ceará"
"60","Itapiúna",8,"2018","Julho","Todas","Ceará"
"61","Itarema",16,"2018","Julho","Todas","Ceará"
"62","Jaguaretama",8,"2018","Julho","Todas","Ceará"
"63","Jaguaribe",16,"2018","Julho","Todas","Ceará"
"64","Jaguaruana",15,"2018","Julho","Todas","Ceará"
"65","Jati",3,"2018","Julho","Todas","Ceará"
"66","Juazeiro do Norte",134,"2018","Julho","Todas","Ceará"
"67","Lavras da Mangabeira",20,"2018","Julho","Todas","Ceará"
"68","Limoeiro do Norte",25,"2018","Julho","Todas","Ceará"
"69","Campos Sales",18,"2018","Julho","Todas","Ceará"
"70","Canindé",38,"2018","Julho","Todas","Ceará"
"71","Capistrano",8,"2018","Julho","Todas","Ceará"
"72","Caridade",2,"2018","Julho","Todas","Ceará"
"73","Cariús",3,"2018","Julho","Todas","Ceará"
"74","Carnaubal",10,"2018","Julho","Todas","Ceará"
"75","Catarina",5,"2018","Julho","Todas","Ceará"
"76","Caucaia",110,"2018","Julho","Todas","Ceará"
"77","Chorozinho",15,"2018","Julho","Todas","Ceará"
"78","Choró",4,"2018","Julho","Todas","Ceará"
"79","Coreaú",4,"2018","Julho","Todas","Ceará"
"80","Crato",66,"2018","Julho","Todas","Ceará"
"81","Cruz",8,"2018","Julho","Todas","Ceará"
"82","Farias Brito",11,"2018","Julho","Todas","Ceará"
"83","Forquilha",10,"2018","Julho","Todas","Ceará"
"84","Fortaleza",1621,"2018","Julho","Todas","Ceará"
"85","Fortim",8,"2018","Julho","Todas","Ceará"
"86","General Sampaio",5,"2018","Julho","Todas","Ceará"
"87","Granja",5,"2018","Julho","Todas","Ceará"
"88","Guaramiranga",2,"2018","Julho","Todas","Ceará"
"89","Abaiara",3,"2018","Julho","Todas","Ceará"
"90","Acaraú",28,"2018","Julho","Todas","Ceará"
"91","Acopiara",18,"2018","Julho","Todas","Ceará"
"92","Alto Santo",4,"2018","Julho","Todas","Ceará"
"93","Amontada",1,"2018","Julho","Todas","Ceará"
"94","Aquiraz",1,"2018","Julho","Todas","Ceará"
"95","Aracati",37,"2018","Julho","Todas","Ceará"
"96","Ararendá",5,"2018","Julho","Todas","Ceará"
"97","Araripe",9,"2018","Julho","Todas","Ceará"
"98","Aratuba",7,"2018","Julho","Todas","Ceará"
"99","Baixio",9,"2018","Julho","Todas","Ceará"
"100","Barbalha",49,"2018","Julho","Todas","Ceará"
"101","Barreira",11,"2018","Julho","Todas","Ceará"
"102","Barro",4,"2018","Julho","Todas","Ceará"
"103","Baturité",9,"2018","Julho","Todas","Ceará"
"104","Beberibe",18,"2018","Julho","Todas","Ceará"
"105","Bela Cruz",1,"2018","Julho","Todas","Ceará"
"106","Boa Viagem",27,"2018","Julho","Todas","Ceará"
"107","Brejo Santo",1,"2018","Julho","Todas","Ceará"
"108","Camocim",2,"2018","Julho","Todas","Ceará"
