"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Sete Quedas",4,"2018","Julho","Todas","Mato Grosso do Sul"
"2","Sidrolândia",19,"2018","Julho","Todas","Mato Grosso do Sul"
"3","Sonora",3,"2018","Julho","Todas","Mato Grosso do Sul"
"4","São Gabriel do Oeste",14,"2018","Julho","Todas","Mato Grosso do Sul"
"5","Taquarussu",1,"2018","Julho","Todas","Mato Grosso do Sul"
"6","Terenos",6,"2018","Julho","Todas","Mato Grosso do Sul"
"7","Três Lagoas",76,"2018","Julho","Todas","Mato Grosso do Sul"
"8","Vicentina",5,"2018","Julho","Todas","Mato Grosso do Sul"
"9","Água Clara",3,"2018","Julho","Todas","Mato Grosso do Sul"
"10","Jardim",13,"2018","Julho","Todas","Mato Grosso do Sul"
"11","Jateí",4,"2018","Julho","Todas","Mato Grosso do Sul"
"12","Juti",3,"2018","Julho","Todas","Mato Grosso do Sul"
"13","Ladario",8,"2018","Julho","Todas","Mato Grosso do Sul"
"14","Laguna Carapã",2,"2018","Julho","Todas","Mato Grosso do Sul"
"15","Miranda",15,"2018","Julho","Todas","Mato Grosso do Sul"
"16","Mundo Novo",16,"2018","Julho","Todas","Mato Grosso do Sul"
"17","Naviraí",25,"2018","Julho","Todas","Mato Grosso do Sul"
"18","Nioaque",4,"2018","Julho","Todas","Mato Grosso do Sul"
"19","Nova Alvorada do Sul",7,"2018","Julho","Todas","Mato Grosso do Sul"
"20","Novo Horizonte do Sul",2,"2018","Julho","Todas","Mato Grosso do Sul"
"21","Paranaiba",43,"2018","Julho","Todas","Mato Grosso do Sul"
"22","Pedro Gomes",5,"2018","Julho","Todas","Mato Grosso do Sul"
"23","Ponta Porã",45,"2018","Julho","Todas","Mato Grosso do Sul"
"24","Ribas do Rio Pardo",8,"2018","Julho","Todas","Mato Grosso do Sul"
"25","Rio Brilhante",22,"2018","Julho","Todas","Mato Grosso do Sul"
"26","Rio Negro",4,"2018","Julho","Todas","Mato Grosso do Sul"
"27","Rochedo",3,"2018","Julho","Todas","Mato Grosso do Sul"
"28","Santa Rita do Pardo",3,"2018","Julho","Todas","Mato Grosso do Sul"
"29","Selvíria",1,"2018","Julho","Todas","Mato Grosso do Sul"
"30","Chapadão do Sul",11,"2018","Julho","Todas","Mato Grosso do Sul"
"31","Corguinho",2,"2018","Julho","Todas","Mato Grosso do Sul"
"32","Coronel Sapucaia",5,"2018","Julho","Todas","Mato Grosso do Sul"
"33","Corumba",67,"2018","Julho","Todas","Mato Grosso do Sul"
"34","Costa Rica",13,"2018","Julho","Todas","Mato Grosso do Sul"
"35","Coxim",17,"2018","Julho","Todas","Mato Grosso do Sul"
"36","Deodápolis",10,"2018","Julho","Todas","Mato Grosso do Sul"
"37","Dois Irmãos do Buriti",6,"2018","Julho","Todas","Mato Grosso do Sul"
"38","Douradina",2,"2018","Julho","Todas","Mato Grosso do Sul"
"39","Dourados",139,"2018","Julho","Todas","Mato Grosso do Sul"
"40","Eldorado",12,"2018","Julho","Todas","Mato Grosso do Sul"
"41","Figueirão",3,"2018","Julho","Todas","Mato Grosso do Sul"
"42","Fátima do Sul",12,"2018","Julho","Todas","Mato Grosso do Sul"
"43","Glória de Dourados",6,"2018","Julho","Todas","Mato Grosso do Sul"
"44","Guia Lopes da Laguna",5,"2018","Julho","Todas","Mato Grosso do Sul"
"45","Itaporã",16,"2018","Julho","Todas","Mato Grosso do Sul"
"46","Itaquiraí",12,"2018","Julho","Todas","Mato Grosso do Sul"
"47","Ivinhema",12,"2018","Julho","Todas","Mato Grosso do Sul"
"48","Japorã",3,"2018","Julho","Todas","Mato Grosso do Sul"
"49","Jaraguari",3,"2018","Julho","Todas","Mato Grosso do Sul"
"50","Alcinópolis",1,"2018","Julho","Todas","Mato Grosso do Sul"
"51","Amambaí",34,"2018","Julho","Todas","Mato Grosso do Sul"
"52","Anastácio",8,"2018","Julho","Todas","Mato Grosso do Sul"
"53","Anaurilândia",2,"2018","Julho","Todas","Mato Grosso do Sul"
"54","Angélica",7,"2018","Julho","Todas","Mato Grosso do Sul"
"55","Antônio João",4,"2018","Julho","Todas","Mato Grosso do Sul"
"56","Aparecida do Taboado",20,"2018","Julho","Todas","Mato Grosso do Sul"
"57","Aquidauana",39,"2018","Julho","Todas","Mato Grosso do Sul"
"58","Aral Moreira",3,"2018","Julho","Todas","Mato Grosso do Sul"
"59","Bataguassu",10,"2018","Julho","Todas","Mato Grosso do Sul"
"60","Batayporã",2,"2018","Julho","Todas","Mato Grosso do Sul"
"61","Bela Vista",20,"2018","Julho","Todas","Mato Grosso do Sul"
"62","Bodoquena",2,"2018","Julho","Todas","Mato Grosso do Sul"
"63","Bonito",15,"2018","Julho","Todas","Mato Grosso do Sul"
"64","Brasilândia",7,"2018","Julho","Todas","Mato Grosso do Sul"
"65","Caarapo",18,"2018","Julho","Todas","Mato Grosso do Sul"
"66","Camapuã",9,"2018","Julho","Todas","Mato Grosso do Sul"
"67","Campo Grande",544,"2018","Julho","Todas","Mato Grosso do Sul"
"68","Caracol",3,"2018","Julho","Todas","Mato Grosso do Sul"
"69","Cassilândia",16,"2018","Julho","Todas","Mato Grosso do Sul"
