"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Pimenteiras",1,"2018","Julho","Todas","Piauí"
"2","Piripiri",42,"2018","Julho","Todas","Piauí"
"3","Porto",3,"2018","Julho","Todas","Piauí"
"4","Regeneração",3,"2018","Julho","Todas","Piauí"
"5","Rio Grande do Piauí",6,"2018","Julho","Todas","Piauí"
"6","Santa Cruz do Piauí",6,"2018","Julho","Todas","Piauí"
"7","Santa Filomena",1,"2018","Julho","Todas","Piauí"
"8","Santa Luz",2,"2018","Julho","Todas","Piauí"
"9","Simões",4,"2018","Julho","Todas","Piauí"
"10","São Francisco do Piauí",2,"2018","Julho","Todas","Piauí"
"11","São Félix do Piauí",5,"2018","Julho","Todas","Piauí"
"12","São José do Piauí",3,"2018","Julho","Todas","Piauí"
"13","São Julião",5,"2018","Julho","Todas","Piauí"
"14","São Raimundo Nonato",25,"2018","Julho","Todas","Piauí"
"15","Teresina",168,"2018","Julho","Todas","Piauí"
"16","União",8,"2018","Julho","Todas","Piauí"
"17","Uruçuí",9,"2018","Julho","Todas","Piauí"
"18","Valença do Piauí",14,"2018","Julho","Todas","Piauí"
"19","Francinópolis",3,"2018","Julho","Todas","Piauí"
"20","Francisco Ayres",2,"2018","Julho","Todas","Piauí"
"21","Fronteiras",5,"2018","Julho","Todas","Piauí"
"22","Guadalupe",3,"2018","Julho","Todas","Piauí"
"23","Inhuma",8,"2018","Julho","Todas","Piauí"
"24","Jaicós",18,"2018","Julho","Todas","Piauí"
"25","Jerumenha",3,"2018","Julho","Todas","Piauí"
"26","Joaquim Pires",12,"2018","Julho","Todas","Piauí"
"27","Landri Sales",5,"2018","Julho","Todas","Piauí"
"28","Luzilândia",18,"2018","Julho","Todas","Piauí"
"29","Marcos Parente",1,"2018","Julho","Todas","Piauí"
"30","Matias Olímpio",10,"2018","Julho","Todas","Piauí"
"31","Monsenhor Gil",4,"2018","Julho","Todas","Piauí"
"32","Monsenhor Hipólito",9,"2018","Julho","Todas","Piauí"
"33","Nazaré do Piauí",4,"2018","Julho","Todas","Piauí"
"34","Oeiras",30,"2018","Julho","Todas","Piauí"
"35","Palmeirais",4,"2018","Julho","Todas","Piauí"
"36","Parnaguá",6,"2018","Julho","Todas","Piauí"
"37","Paulistana",29,"2018","Julho","Todas","Piauí"
"38","Picos",30,"2018","Julho","Todas","Piauí"
"39","Agricolândia",1,"2018","Julho","Todas","Piauí"
"40","Alagoinha do Piauí",1,"2018","Julho","Todas","Piauí"
"41","Alto Longá",7,"2018","Julho","Todas","Piauí"
"42","Altos",27,"2018","Julho","Todas","Piauí"
"43","Angical do Piauí",8,"2018","Julho","Todas","Piauí"
"44","Anísio de Abreu",2,"2018","Julho","Todas","Piauí"
"45","Aroazes",2,"2018","Julho","Todas","Piauí"
"46","Barras",28,"2018","Julho","Todas","Piauí"
"47","Bertolínia",4,"2018","Julho","Todas","Piauí"
"48","Bocaina",3,"2018","Julho","Todas","Piauí"
"49","Buriti dos Lopes",21,"2018","Julho","Todas","Piauí"
"50","Cabeceiras do Piauí",4,"2018","Julho","Todas","Piauí"
"51","Canto do Buriti",11,"2018","Julho","Todas","Piauí"
"52","Caracol",5,"2018","Julho","Todas","Piauí"
"53","Castelo do Piauí",15,"2018","Julho","Todas","Piauí"
"54","Conceição do Canindé",12,"2018","Julho","Todas","Piauí"
"55","Curimatá",11,"2018","Julho","Todas","Piauí"
"56","Demerval Lobão",6,"2018","Julho","Todas","Piauí"
"57","Eliseu Martins",4,"2018","Julho","Todas","Piauí"
"58","Floriano",44,"2018","Julho","Todas","Piauí"
