"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Sooretama",5,"2018","Junho","Todas","Espírito Santo"
"2","São Domingos do Norte",7,"2018","Junho","Todas","Espírito Santo"
"3","São Gabriel da Palha",22,"2018","Junho","Todas","Espírito Santo"
"4","São José do Calçado",12,"2018","Junho","Todas","Espírito Santo"
"5","São Mateus",82,"2018","Junho","Todas","Espírito Santo"
"6","São Roque do Canaã",4,"2018","Junho","Todas","Espírito Santo"
"7","Vargem Alta",14,"2018","Junho","Todas","Espírito Santo"
"8","Venda Nova do Imigrante",15,"2018","Junho","Todas","Espírito Santo"
"9","Viana",38,"2018","Junho","Todas","Espírito Santo"
"10","Vila Pavão",4,"2018","Junho","Todas","Espírito Santo"
"11","Vila Valério",3,"2018","Junho","Todas","Espírito Santo"
"12","Vila Velha",257,"2018","Junho","Todas","Espírito Santo"
"13","Vitória",234,"2018","Junho","Todas","Espírito Santo"
"14","Água Doce do Norte",13,"2018","Junho","Todas","Espírito Santo"
"15","Águia Branca",7,"2018","Junho","Todas","Espírito Santo"
"16","Mantenópolis",13,"2018","Junho","Todas","Espírito Santo"
"17","Marataízes",16,"2018","Junho","Todas","Espírito Santo"
"18","Marechal Floriano",9,"2018","Junho","Todas","Espírito Santo"
"19","Marilândia",10,"2018","Junho","Todas","Espírito Santo"
"20","Mimoso do Sul",12,"2018","Junho","Todas","Espírito Santo"
"21","Montanha",10,"2018","Junho","Todas","Espírito Santo"
"22","Mucurici",2,"2018","Junho","Todas","Espírito Santo"
"23","Muniz Freire",10,"2018","Junho","Todas","Espírito Santo"
"24","Muqui",14,"2018","Junho","Todas","Espírito Santo"
"25","Nova Venécia",17,"2018","Junho","Todas","Espírito Santo"
"26","Pancas",16,"2018","Junho","Todas","Espírito Santo"
"27","Pedro Canário",16,"2018","Junho","Todas","Espírito Santo"
"28","Pinheiros",19,"2018","Junho","Todas","Espírito Santo"
"29","Piuma",11,"2018","Junho","Todas","Espírito Santo"
"30","Rio Bananal",7,"2018","Junho","Todas","Espírito Santo"
"31","Rio Novo do Sul",4,"2018","Junho","Todas","Espírito Santo"
"32","Santa Leopoldina",2,"2018","Junho","Todas","Espírito Santo"
"33","Santa Maria de Jetiba",16,"2018","Junho","Todas","Espírito Santo"
"34","Santa Teresa",16,"2018","Junho","Todas","Espírito Santo"
"35","Serra",253,"2018","Junho","Todas","Espírito Santo"
"36","Domingos Martins",11,"2018","Junho","Todas","Espírito Santo"
"37","Ecoporanga",12,"2018","Junho","Todas","Espírito Santo"
"38","Fundão",9,"2018","Junho","Todas","Espírito Santo"
"39","Governador Lindenberg",7,"2018","Junho","Todas","Espírito Santo"
"40","Guarapari",66,"2018","Junho","Todas","Espírito Santo"
"41","Guaçuí",25,"2018","Junho","Todas","Espírito Santo"
"42","Ibatiba",23,"2018","Junho","Todas","Espírito Santo"
"43","Ibiraçu",9,"2018","Junho","Todas","Espírito Santo"
"44","Ibitirama",4,"2018","Junho","Todas","Espírito Santo"
"45","Iconha",5,"2018","Junho","Todas","Espírito Santo"
"46","Irupi",4,"2018","Junho","Todas","Espírito Santo"
"47","Itaguaçu",7,"2018","Junho","Todas","Espírito Santo"
"48","Itapemirim",22,"2018","Junho","Todas","Espírito Santo"
"49","Itarana",6,"2018","Junho","Todas","Espírito Santo"
"50","Iúna",16,"2018","Junho","Todas","Espírito Santo"
"51","Jaguaré",15,"2018","Junho","Todas","Espírito Santo"
"52","Jerônimo Monteiro",10,"2018","Junho","Todas","Espírito Santo"
"53","João Neiva",16,"2018","Junho","Todas","Espírito Santo"
"54","Laranja da Terra",5,"2018","Junho","Todas","Espírito Santo"
"55","Linhares",82,"2018","Junho","Todas","Espírito Santo"
"56","Afonso Claudio",19,"2018","Junho","Todas","Espírito Santo"
"57","Alegre",22,"2018","Junho","Todas","Espírito Santo"
"58","Alfredo Chaves",11,"2018","Junho","Todas","Espírito Santo"
"59","Alto Rio Novo",4,"2018","Junho","Todas","Espírito Santo"
"60","Anchieta",12,"2018","Junho","Todas","Espírito Santo"
"61","Apiacá",4,"2018","Junho","Todas","Espírito Santo"
"62","Aracruz",31,"2018","Junho","Todas","Espírito Santo"
"63","Atilio Vivacqua",5,"2018","Junho","Todas","Espírito Santo"
"64","Baixo Guandu",13,"2018","Junho","Todas","Espírito Santo"
"65","Barra de São Francisco",24,"2018","Junho","Todas","Espírito Santo"
"66","Boa Esperança",19,"2018","Junho","Todas","Espírito Santo"
"67","Bom Jesus do Norte",3,"2018","Junho","Todas","Espírito Santo"
"68","Brejetuba",2,"2018","Junho","Todas","Espírito Santo"
"69","Cachoeiro de Itapemirim",136,"2018","Junho","Todas","Espírito Santo"
"70","Cariacica",172,"2018","Junho","Todas","Espírito Santo"
"71","Castelo",29,"2018","Junho","Todas","Espírito Santo"
"72","Colatina",80,"2018","Junho","Todas","Espírito Santo"
"73","Conceição da Barra",8,"2018","Junho","Todas","Espírito Santo"
"74","Conceição do Castelo",9,"2018","Junho","Todas","Espírito Santo"
"75","Divino de São Lourenço",1,"2018","Junho","Todas","Espírito Santo"
