"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Vespasiano",46,"2018","Junho","Todas","Minas Gerais"
"2","Vieiras",1,"2018","Junho","Todas","Minas Gerais"
"3","Virgem da Lapa",4,"2018","Junho","Todas","Minas Gerais"
"4","Virginópolis",10,"2018","Junho","Todas","Minas Gerais"
"5","Virgolândia",2,"2018","Junho","Todas","Minas Gerais"
"6","Virgínia",8,"2018","Junho","Todas","Minas Gerais"
"7","Visconde do Rio Branco",40,"2018","Junho","Todas","Minas Gerais"
"8","Viçosa",43,"2018","Junho","Todas","Minas Gerais"
"9","Volta Grande",5,"2018","Junho","Todas","Minas Gerais"
"10","Wenceslau Braz",4,"2018","Junho","Todas","Minas Gerais"
"11","Água Boa",4,"2018","Junho","Todas","Minas Gerais"
"12","Águas Formosas",18,"2018","Junho","Todas","Minas Gerais"
"13","Águas Vermelhas",7,"2018","Junho","Todas","Minas Gerais"
"14","Uberaba",194,"2018","Junho","Todas","Minas Gerais"
"15","Uberlandia",387,"2018","Junho","Todas","Minas Gerais"
"16","Ubá",61,"2018","Junho","Todas","Minas Gerais"
"17","Umburatiba",2,"2018","Junho","Todas","Minas Gerais"
"18","Unaí",49,"2018","Junho","Todas","Minas Gerais"
"19","União de Minas",2,"2018","Junho","Todas","Minas Gerais"
"20","Uruana de Minas",2,"2018","Junho","Todas","Minas Gerais"
"21","Urucania",4,"2018","Junho","Todas","Minas Gerais"
"22","Urucuia",3,"2018","Junho","Todas","Minas Gerais"
"23","Vargem Alegre",7,"2018","Junho","Todas","Minas Gerais"
"24","Vargem Bonita",1,"2018","Junho","Todas","Minas Gerais"
"25","Vargem Grande do Rio Pardo",1,"2018","Junho","Todas","Minas Gerais"
"26","Varginha",75,"2018","Junho","Todas","Minas Gerais"
"27","Varjão de Minas",1,"2018","Junho","Todas","Minas Gerais"
"28","Varzea da Palma",21,"2018","Junho","Todas","Minas Gerais"
"29","Varzelândia",7,"2018","Junho","Todas","Minas Gerais"
"30","Vazante",10,"2018","Junho","Todas","Minas Gerais"
"31","Verdelândia",13,"2018","Junho","Todas","Minas Gerais"
"32","Veredinha",1,"2018","Junho","Todas","Minas Gerais"
"33","Veríssimo",1,"2018","Junho","Todas","Minas Gerais"
"34","Tapira",3,"2018","Junho","Todas","Minas Gerais"
"35","Taquaraçu de Minas",2,"2018","Junho","Todas","Minas Gerais"
"36","Tarumirim",10,"2018","Junho","Todas","Minas Gerais"
"37","Teixeiras",8,"2018","Junho","Todas","Minas Gerais"
"38","Teófilo Otoni",73,"2018","Junho","Todas","Minas Gerais"
"39","Timoteo",43,"2018","Junho","Todas","Minas Gerais"
"40","Tiradentes",6,"2018","Junho","Todas","Minas Gerais"
"41","Tocantins",7,"2018","Junho","Todas","Minas Gerais"
"42","Tocos do Moji",1,"2018","Junho","Todas","Minas Gerais"
"43","Toledo",3,"2018","Junho","Todas","Minas Gerais"
"44","Tombos",3,"2018","Junho","Todas","Minas Gerais"
"45","Três Corações",46,"2018","Junho","Todas","Minas Gerais"
"46","Três Marias",10,"2018","Junho","Todas","Minas Gerais"
"47","Três Pontas",36,"2018","Junho","Todas","Minas Gerais"
"48","Tumiritinga",5,"2018","Junho","Todas","Minas Gerais"
"49","Tupaciguara",19,"2018","Junho","Todas","Minas Gerais"
"50","Turmalina",10,"2018","Junho","Todas","Minas Gerais"
"51","Turvolândia",4,"2018","Junho","Todas","Minas Gerais"
"52","Ubaporanga",5,"2018","Junho","Todas","Minas Gerais"
"53","Ubaí",4,"2018","Junho","Todas","Minas Gerais"
"54","São João do Paraíso",8,"2018","Junho","Todas","Minas Gerais"
"55","São Lourenço",38,"2018","Junho","Todas","Minas Gerais"
"56","São Miguel do Anta",10,"2018","Junho","Todas","Minas Gerais"
"57","São Pedro da União",1,"2018","Junho","Todas","Minas Gerais"
"58","São Pedro do Suaçuí",5,"2018","Junho","Todas","Minas Gerais"
"59","São Pedro dos Ferros",4,"2018","Junho","Todas","Minas Gerais"
"60","São Romão",5,"2018","Junho","Todas","Minas Gerais"
"61","São Roque de Minas",3,"2018","Junho","Todas","Minas Gerais"
"62","São Sebastião da Bela Vista",2,"2018","Junho","Todas","Minas Gerais"
"63","São Sebastião da Vargem Alegre",7,"2018","Junho","Todas","Minas Gerais"
"64","São Sebastião do Anta",2,"2018","Junho","Todas","Minas Gerais"
"65","São Sebastião do Maranhão",4,"2018","Junho","Todas","Minas Gerais"
"66","São Sebastião do Oeste",2,"2018","Junho","Todas","Minas Gerais"
"67","São Sebastião do Paraíso",41,"2018","Junho","Todas","Minas Gerais"
"68","São Thomé das Letras",1,"2018","Junho","Todas","Minas Gerais"
"69","São Tiago",1,"2018","Junho","Todas","Minas Gerais"
"70","São Tomás de Aquino",1,"2018","Junho","Todas","Minas Gerais"
"71","São Vicente de Minas",5,"2018","Junho","Todas","Minas Gerais"
"72","Taiobeiras",24,"2018","Junho","Todas","Minas Gerais"
"73","Taparuba",3,"2018","Junho","Todas","Minas Gerais"
"74","São José da Barra",5,"2018","Junho","Todas","Minas Gerais"
"75","São José da Safira",2,"2018","Junho","Todas","Minas Gerais"
"76","São José da Varginha",1,"2018","Junho","Todas","Minas Gerais"
"77","São José do Alegre",3,"2018","Junho","Todas","Minas Gerais"
"78","São José do Divino",4,"2018","Junho","Todas","Minas Gerais"
"79","São José do Goiabal",4,"2018","Junho","Todas","Minas Gerais"
"80","São José do Jacuri",4,"2018","Junho","Todas","Minas Gerais"
"81","São José do Mantimento",1,"2018","Junho","Todas","Minas Gerais"
"82","São João Batista do Glória",7,"2018","Junho","Todas","Minas Gerais"
"83","São João Del Rei",67,"2018","Junho","Todas","Minas Gerais"
"84","São João Evangelista",13,"2018","Junho","Todas","Minas Gerais"
"85","São João Nepomuceno",13,"2018","Junho","Todas","Minas Gerais"
"86","São João da Lagoa",3,"2018","Junho","Todas","Minas Gerais"
"87","São João da Mata",2,"2018","Junho","Todas","Minas Gerais"
"88","São João da Ponte",7,"2018","Junho","Todas","Minas Gerais"
"89","São João das Missões",3,"2018","Junho","Todas","Minas Gerais"
"90","São João do Manhuaçu",4,"2018","Junho","Todas","Minas Gerais"
"91","São João do Manteninha",3,"2018","Junho","Todas","Minas Gerais"
"92","São João do Oriente",7,"2018","Junho","Todas","Minas Gerais"
"93","São João do Pacuí",2,"2018","Junho","Todas","Minas Gerais"
"94","Simão Pereira",1,"2018","Junho","Todas","Minas Gerais"
"95","Sobrália",4,"2018","Junho","Todas","Minas Gerais"
"96","Soledade de Minas",5,"2018","Junho","Todas","Minas Gerais"
"97","São Brás do Suaçuí",1,"2018","Junho","Todas","Minas Gerais"
"98","São Domingos das Dores",2,"2018","Junho","Todas","Minas Gerais"
"99","São Domingos do Prata",15,"2018","Junho","Todas","Minas Gerais"
"100","São Francisco",30,"2018","Junho","Todas","Minas Gerais"
"101","São Francisco de Paula",2,"2018","Junho","Todas","Minas Gerais"
"102","São Francisco de Sales",5,"2018","Junho","Todas","Minas Gerais"
"103","São Francisco do Glória",6,"2018","Junho","Todas","Minas Gerais"
"104","São Félix de Minas",2,"2018","Junho","Todas","Minas Gerais"
"105","São Geraldo",12,"2018","Junho","Todas","Minas Gerais"
"106","São Geraldo da Piedade",4,"2018","Junho","Todas","Minas Gerais"
"107","São Gonçalo do Abaeté",6,"2018","Junho","Todas","Minas Gerais"
"108","São Gonçalo do Pará",5,"2018","Junho","Todas","Minas Gerais"
"109","São Gonçalo do Rio Abaixo",9,"2018","Junho","Todas","Minas Gerais"
"110","São Gonçalo do Rio Preto",4,"2018","Junho","Todas","Minas Gerais"
"111","São Gonçalo do Sapucaí",28,"2018","Junho","Todas","Minas Gerais"
"112","São Gotardo",13,"2018","Junho","Todas","Minas Gerais"
"113","São Joaquim de Bicas",8,"2018","Junho","Todas","Minas Gerais"
"114","Senador Amaral",2,"2018","Junho","Todas","Minas Gerais"
"115","Senador Cortes",1,"2018","Junho","Todas","Minas Gerais"
"116","Senador Firmino",6,"2018","Junho","Todas","Minas Gerais"
"117","Senador José Bento",1,"2018","Junho","Todas","Minas Gerais"
"118","Senador Modestino Gonçalves",3,"2018","Junho","Todas","Minas Gerais"
"119","Senhora de Oliveira",7,"2018","Junho","Todas","Minas Gerais"
"120","Senhora do Porto",2,"2018","Junho","Todas","Minas Gerais"
"121","Senhora dos Remédios",5,"2018","Junho","Todas","Minas Gerais"
"122","Sericita",3,"2018","Junho","Todas","Minas Gerais"
"123","Seritinga",1,"2018","Junho","Todas","Minas Gerais"
"124","Serra Azul de Minas",3,"2018","Junho","Todas","Minas Gerais"
"125","Serra do Salitre",3,"2018","Junho","Todas","Minas Gerais"
"126","Serra dos Aimorés",7,"2018","Junho","Todas","Minas Gerais"
"127","Serrania",4,"2018","Junho","Todas","Minas Gerais"
"128","Serranópolis de Minas",3,"2018","Junho","Todas","Minas Gerais"
"129","Serro",13,"2018","Junho","Todas","Minas Gerais"
"130","Sete Lagoas",136,"2018","Junho","Todas","Minas Gerais"
"131","Setubinha",6,"2018","Junho","Todas","Minas Gerais"
"132","Silvianópolis",1,"2018","Junho","Todas","Minas Gerais"
"133","Simonésia",10,"2018","Junho","Todas","Minas Gerais"
"134","Santa Vitória",13,"2018","Junho","Todas","Minas Gerais"
"135","Santana da Vargem",4,"2018","Junho","Todas","Minas Gerais"
"136","Santana do Garambéu",2,"2018","Junho","Todas","Minas Gerais"
"137","Santana do Jacaré",4,"2018","Junho","Todas","Minas Gerais"
"138","Santana do Manhuaçu",2,"2018","Junho","Todas","Minas Gerais"
"139","Santana do Paraíso",9,"2018","Junho","Todas","Minas Gerais"
"140","Santana do Riacho",1,"2018","Junho","Todas","Minas Gerais"
"141","Santana dos Montes",2,"2018","Junho","Todas","Minas Gerais"
"142","Santo Antonio do Monte",14,"2018","Junho","Todas","Minas Gerais"
"143","Santo Antônio do Amparo",11,"2018","Junho","Todas","Minas Gerais"
"144","Santo Antônio do Aventureiro",1,"2018","Junho","Todas","Minas Gerais"
"145","Santo Antônio do Grama",5,"2018","Junho","Todas","Minas Gerais"
"146","Santo Antônio do Jacinto",4,"2018","Junho","Todas","Minas Gerais"
"147","Santo Antônio do Retiro",2,"2018","Junho","Todas","Minas Gerais"
"148","Santos Dumont",38,"2018","Junho","Todas","Minas Gerais"
"149","Sao Jose da Lapa",14,"2018","Junho","Todas","Minas Gerais"
"150","Sapucaí-Mirim",4,"2018","Junho","Todas","Minas Gerais"
"151","Sardoá",5,"2018","Junho","Todas","Minas Gerais"
"152","Sarzedo",11,"2018","Junho","Todas","Minas Gerais"
"153","Sem Peixe",2,"2018","Junho","Todas","Minas Gerais"
"154","Santa Bárbara do Tugúrio",6,"2018","Junho","Todas","Minas Gerais"
"155","Santa Cruz de Minas",5,"2018","Junho","Todas","Minas Gerais"
"156","Santa Cruz de Salinas",1,"2018","Junho","Todas","Minas Gerais"
"157","Santa Cruz do Escalvado",6,"2018","Junho","Todas","Minas Gerais"
"158","Santa Efigênia de Minas",1,"2018","Junho","Todas","Minas Gerais"
"159","Santa Fé de Minas",1,"2018","Junho","Todas","Minas Gerais"
"160","Santa Helena de Minas",2,"2018","Junho","Todas","Minas Gerais"
"161","Santa Juliana",3,"2018","Junho","Todas","Minas Gerais"
"162","Santa Luzia",78,"2018","Junho","Todas","Minas Gerais"
"163","Santa Margarida",11,"2018","Junho","Todas","Minas Gerais"
"164","Santa Maria de Itabira",7,"2018","Junho","Todas","Minas Gerais"
"165","Santa Maria do Salto",2,"2018","Junho","Todas","Minas Gerais"
"166","Santa Maria do Suaçuí",13,"2018","Junho","Todas","Minas Gerais"
"167","Santa Rita de Caldas",5,"2018","Junho","Todas","Minas Gerais"
"168","Santa Rita de Ibitipoca",4,"2018","Junho","Todas","Minas Gerais"
"169","Santa Rita de Jacutinga",5,"2018","Junho","Todas","Minas Gerais"
"170","Santa Rita de Minas",3,"2018","Junho","Todas","Minas Gerais"
"171","Santa Rita do Itueto",1,"2018","Junho","Todas","Minas Gerais"
"172","Santa Rita do Sapucaí",28,"2018","Junho","Todas","Minas Gerais"
"173","Santa Rosa da Serra",1,"2018","Junho","Todas","Minas Gerais"
"174","Rio Paranaíba",4,"2018","Junho","Todas","Minas Gerais"
"175","Rio Pardo de Minas",7,"2018","Junho","Todas","Minas Gerais"
"176","Rio Piracicaba",9,"2018","Junho","Todas","Minas Gerais"
"177","Rio Pomba",11,"2018","Junho","Todas","Minas Gerais"
"178","Rio Preto",4,"2018","Junho","Todas","Minas Gerais"
"179","Rio Vermelho",3,"2018","Junho","Todas","Minas Gerais"
"180","Rio do Prado",4,"2018","Junho","Todas","Minas Gerais"
"181","Rochedo de Minas",2,"2018","Junho","Todas","Minas Gerais"
"182","Rodeiro",2,"2018","Junho","Todas","Minas Gerais"
"183","Romaria",5,"2018","Junho","Todas","Minas Gerais"
"184","Rosário da Limeira",4,"2018","Junho","Todas","Minas Gerais"
"185","Rubelita",2,"2018","Junho","Todas","Minas Gerais"
"186","Rubim",12,"2018","Junho","Todas","Minas Gerais"
"187","Sabara",47,"2018","Junho","Todas","Minas Gerais"
"188","Sabinópolis",12,"2018","Junho","Todas","Minas Gerais"
"189","Sacramento",15,"2018","Junho","Todas","Minas Gerais"
