"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Tangará",8,"2018","Junho","Todas","Rio Grande do Norte"
"2","Tenente Laurentino Cruz",6,"2018","Junho","Todas","Rio Grande do Norte"
"3","Tibau",3,"2018","Junho","Todas","Rio Grande do Norte"
"4","Touros",15,"2018","Junho","Todas","Rio Grande do Norte"
"5","Upanema",7,"2018","Junho","Todas","Rio Grande do Norte"
"6","Poço Branco",3,"2018","Junho","Todas","Rio Grande do Norte"
"7","Rafael Godeiro",3,"2018","Junho","Todas","Rio Grande do Norte"
"8","Riachuelo",4,"2018","Junho","Todas","Rio Grande do Norte"
"9","Rio do Fogo",1,"2018","Junho","Todas","Rio Grande do Norte"
"10","Santa Cruz",34,"2018","Junho","Todas","Rio Grande do Norte"
"11","Santa Maria",3,"2018","Junho","Todas","Rio Grande do Norte"
"12","Senador Elói de Souza",3,"2018","Junho","Todas","Rio Grande do Norte"
"13","Senador Georgino Avelino",4,"2018","Junho","Todas","Rio Grande do Norte"
"14","Serra Caiada",7,"2018","Junho","Todas","Rio Grande do Norte"
"15","Serra de São Bento",5,"2018","Junho","Todas","Rio Grande do Norte"
"16","Serra do Mel",4,"2018","Junho","Todas","Rio Grande do Norte"
"17","São Bento do Trairí",2,"2018","Junho","Todas","Rio Grande do Norte"
"18","São Francisco do Oeste",6,"2018","Junho","Todas","Rio Grande do Norte"
"19","São Gonçalo do Amarante",40,"2018","Junho","Todas","Rio Grande do Norte"
"20","São José do Campestre",8,"2018","Junho","Todas","Rio Grande do Norte"
"21","São José do Seridó",1,"2018","Junho","Todas","Rio Grande do Norte"
"22","São Tomé",7,"2018","Junho","Todas","Rio Grande do Norte"
"23","Sítio Novo",2,"2018","Junho","Todas","Rio Grande do Norte"
"24","Taboleiro Grande",5,"2018","Junho","Todas","Rio Grande do Norte"
"25","Taipu",2,"2018","Junho","Todas","Rio Grande do Norte"
"26","Grossos",2,"2018","Junho","Todas","Rio Grande do Norte"
"27","Ielmo Marinho",4,"2018","Junho","Todas","Rio Grande do Norte"
"28","Itajá",1,"2018","Junho","Todas","Rio Grande do Norte"
"29","Jandaíra",1,"2018","Junho","Todas","Rio Grande do Norte"
"30","Jardim de Piranhas",7,"2018","Junho","Todas","Rio Grande do Norte"
"31","Jardim do Seridó",8,"2018","Junho","Todas","Rio Grande do Norte"
"32","Jaçanã",12,"2018","Junho","Todas","Rio Grande do Norte"
"33","João Câmara",18,"2018","Junho","Todas","Rio Grande do Norte"
"34","Jucurutu",16,"2018","Junho","Todas","Rio Grande do Norte"
"35","Lagoa Nova",18,"2018","Junho","Todas","Rio Grande do Norte"
"36","Lagoa de Velhos",4,"2018","Junho","Todas","Rio Grande do Norte"
"37","Lajes",8,"2018","Junho","Todas","Rio Grande do Norte"
"38","Macaíba",41,"2018","Junho","Todas","Rio Grande do Norte"
"39","Marcelino Vieira",3,"2018","Junho","Todas","Rio Grande do Norte"
"40","Mossoró",154,"2018","Junho","Todas","Rio Grande do Norte"
"41","Natal",485,"2018","Junho","Todas","Rio Grande do Norte"
"42","Nova Cruz",12,"2018","Junho","Todas","Rio Grande do Norte"
"43","Nísia Floresta",7,"2018","Junho","Todas","Rio Grande do Norte"
"44","Parelhas",11,"2018","Junho","Todas","Rio Grande do Norte"
"45","Parnamirim",75,"2018","Junho","Todas","Rio Grande do Norte"
"46","Acari",5,"2018","Junho","Todas","Rio Grande do Norte"
"47","Angicos",8,"2018","Junho","Todas","Rio Grande do Norte"
"48","Apodi",24,"2018","Junho","Todas","Rio Grande do Norte"
"49","Açu",27,"2018","Junho","Todas","Rio Grande do Norte"
"50","Baraúna",8,"2018","Junho","Todas","Rio Grande do Norte"
"51","Baía Formosa",5,"2018","Junho","Todas","Rio Grande do Norte"
"52","Bento Fernandes",2,"2018","Junho","Todas","Rio Grande do Norte"
"53","Caicó",21,"2018","Junho","Todas","Rio Grande do Norte"
"54","Caiçara do Rio do Vento",1,"2018","Junho","Todas","Rio Grande do Norte"
"55","Campo Grande",5,"2018","Junho","Todas","Rio Grande do Norte"
"56","Canguaretama",24,"2018","Junho","Todas","Rio Grande do Norte"
"57","Caraúbas",20,"2018","Junho","Todas","Rio Grande do Norte"
"58","Carnaubais",3,"2018","Junho","Todas","Rio Grande do Norte"
"59","Coronel Ezequiel",2,"2018","Junho","Todas","Rio Grande do Norte"
"60","Cruzeta",6,"2018","Junho","Todas","Rio Grande do Norte"
"61","Currais Novos",33,"2018","Junho","Todas","Rio Grande do Norte"
"62","Equador",1,"2018","Junho","Todas","Rio Grande do Norte"
"63","Florânia",10,"2018","Junho","Todas","Rio Grande do Norte"
"64","Frutuoso Gomes",2,"2018","Junho","Todas","Rio Grande do Norte"
"65","Governador Dix-Sept Rosado",9,"2018","Junho","Todas","Rio Grande do Norte"
