"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Visconde do Rio Branco",40,"2018","Maio","Todas","Minas Gerais"
"2","Viçosa",39,"2018","Maio","Todas","Minas Gerais"
"3","Volta Grande",3,"2018","Maio","Todas","Minas Gerais"
"4","Água Boa",6,"2018","Maio","Todas","Minas Gerais"
"5","Águas Formosas",14,"2018","Maio","Todas","Minas Gerais"
"6","Águas Vermelhas",3,"2018","Maio","Todas","Minas Gerais"
"7","Umburatiba",1,"2018","Maio","Todas","Minas Gerais"
"8","Unaí",42,"2018","Maio","Todas","Minas Gerais"
"9","União de Minas",1,"2018","Maio","Todas","Minas Gerais"
"10","Urucania",3,"2018","Maio","Todas","Minas Gerais"
"11","Urucuia",2,"2018","Maio","Todas","Minas Gerais"
"12","Vargem Alegre",2,"2018","Maio","Todas","Minas Gerais"
"13","Vargem Bonita",1,"2018","Maio","Todas","Minas Gerais"
"14","Vargem Grande do Rio Pardo",1,"2018","Maio","Todas","Minas Gerais"
"15","Varginha",72,"2018","Maio","Todas","Minas Gerais"
"16","Varzea da Palma",25,"2018","Maio","Todas","Minas Gerais"
"17","Varzelândia",7,"2018","Maio","Todas","Minas Gerais"
"18","Vazante",13,"2018","Maio","Todas","Minas Gerais"
"19","Verdelândia",3,"2018","Maio","Todas","Minas Gerais"
"20","Vermelho Novo",2,"2018","Maio","Todas","Minas Gerais"
"21","Vespasiano",34,"2018","Maio","Todas","Minas Gerais"
"22","Vieiras",2,"2018","Maio","Todas","Minas Gerais"
"23","Virgem da Lapa",3,"2018","Maio","Todas","Minas Gerais"
"24","Virginópolis",11,"2018","Maio","Todas","Minas Gerais"
"25","Virgolândia",4,"2018","Maio","Todas","Minas Gerais"
"26","Virgínia",8,"2018","Maio","Todas","Minas Gerais"
"27","Teixeiras",7,"2018","Maio","Todas","Minas Gerais"
"28","Teófilo Otoni",102,"2018","Maio","Todas","Minas Gerais"
"29","Timoteo",48,"2018","Maio","Todas","Minas Gerais"
"30","Tiradentes",2,"2018","Maio","Todas","Minas Gerais"
"31","Tocantins",13,"2018","Maio","Todas","Minas Gerais"
"32","Tocos do Moji",4,"2018","Maio","Todas","Minas Gerais"
"33","Toledo",5,"2018","Maio","Todas","Minas Gerais"
"34","Tombos",5,"2018","Maio","Todas","Minas Gerais"
"35","Três Corações",39,"2018","Maio","Todas","Minas Gerais"
"36","Três Marias",15,"2018","Maio","Todas","Minas Gerais"
"37","Três Pontas",30,"2018","Maio","Todas","Minas Gerais"
"38","Tumiritinga",3,"2018","Maio","Todas","Minas Gerais"
"39","Tupaciguara",22,"2018","Maio","Todas","Minas Gerais"
"40","Turmalina",12,"2018","Maio","Todas","Minas Gerais"
"41","Turvolândia",4,"2018","Maio","Todas","Minas Gerais"
"42","Ubaporanga",10,"2018","Maio","Todas","Minas Gerais"
"43","Ubaí",9,"2018","Maio","Todas","Minas Gerais"
"44","Uberaba",185,"2018","Maio","Todas","Minas Gerais"
"45","Uberlandia",346,"2018","Maio","Todas","Minas Gerais"
"46","Ubá",75,"2018","Maio","Todas","Minas Gerais"
"47","São Pedro da União",4,"2018","Maio","Todas","Minas Gerais"
"48","São Pedro do Suaçuí",1,"2018","Maio","Todas","Minas Gerais"
"49","São Pedro dos Ferros",10,"2018","Maio","Todas","Minas Gerais"
"50","São Romão",3,"2018","Maio","Todas","Minas Gerais"
"51","São Sebastião da Bela Vista",4,"2018","Maio","Todas","Minas Gerais"
"52","São Sebastião da Vargem Alegre",4,"2018","Maio","Todas","Minas Gerais"
"53","São Sebastião do Anta",6,"2018","Maio","Todas","Minas Gerais"
"54","São Sebastião do Maranhão",7,"2018","Maio","Todas","Minas Gerais"
"55","São Sebastião do Oeste",3,"2018","Maio","Todas","Minas Gerais"
"56","São Sebastião do Paraíso",53,"2018","Maio","Todas","Minas Gerais"
"57","São Sebastião do Rio Verde",4,"2018","Maio","Todas","Minas Gerais"
"58","São Thomé das Letras",3,"2018","Maio","Todas","Minas Gerais"
"59","São Tiago",8,"2018","Maio","Todas","Minas Gerais"
"60","São Tomás de Aquino",5,"2018","Maio","Todas","Minas Gerais"
"61","São Vicente de Minas",3,"2018","Maio","Todas","Minas Gerais"
"62","Taiobeiras",15,"2018","Maio","Todas","Minas Gerais"
"63","Taparuba",1,"2018","Maio","Todas","Minas Gerais"
"64","Tapira",1,"2018","Maio","Todas","Minas Gerais"
"65","Taquaraçu de Minas",3,"2018","Maio","Todas","Minas Gerais"
"66","Tarumirim",10,"2018","Maio","Todas","Minas Gerais"
"67","São José da Safira",4,"2018","Maio","Todas","Minas Gerais"
"68","São José do Divino",4,"2018","Maio","Todas","Minas Gerais"
"69","São José do Goiabal",4,"2018","Maio","Todas","Minas Gerais"
"70","São José do Jacuri",9,"2018","Maio","Todas","Minas Gerais"
"71","São José do Mantimento",4,"2018","Maio","Todas","Minas Gerais"
"72","São João Batista do Glória",2,"2018","Maio","Todas","Minas Gerais"
"73","São João Del Rei",65,"2018","Maio","Todas","Minas Gerais"
"74","São João Evangelista",14,"2018","Maio","Todas","Minas Gerais"
"75","São João Nepomuceno",17,"2018","Maio","Todas","Minas Gerais"
"76","São João da Lagoa",2,"2018","Maio","Todas","Minas Gerais"
"77","São João da Mata",3,"2018","Maio","Todas","Minas Gerais"
"78","São João da Ponte",16,"2018","Maio","Todas","Minas Gerais"
"79","São João das Missões",3,"2018","Maio","Todas","Minas Gerais"
"80","São João do Manhuaçu",6,"2018","Maio","Todas","Minas Gerais"
"81","São João do Manteninha",1,"2018","Maio","Todas","Minas Gerais"
"82","São João do Oriente",2,"2018","Maio","Todas","Minas Gerais"
"83","São João do Pacuí",1,"2018","Maio","Todas","Minas Gerais"
"84","São João do Paraíso",8,"2018","Maio","Todas","Minas Gerais"
"85","São Lourenço",46,"2018","Maio","Todas","Minas Gerais"
"86","São Miguel do Anta",4,"2018","Maio","Todas","Minas Gerais"
"87","Simão Pereira",1,"2018","Maio","Todas","Minas Gerais"
"88","Sobrália",4,"2018","Maio","Todas","Minas Gerais"
"89","Soledade de Minas",2,"2018","Maio","Todas","Minas Gerais"
"90","São Bento Abade",2,"2018","Maio","Todas","Minas Gerais"
"91","São Brás do Suaçuí",4,"2018","Maio","Todas","Minas Gerais"
"92","São Domingos das Dores",1,"2018","Maio","Todas","Minas Gerais"
"93","São Domingos do Prata",10,"2018","Maio","Todas","Minas Gerais"
"94","São Francisco",18,"2018","Maio","Todas","Minas Gerais"
"95","São Francisco de Paula",5,"2018","Maio","Todas","Minas Gerais"
"96","São Francisco de Sales",3,"2018","Maio","Todas","Minas Gerais"
"97","São Félix de Minas",1,"2018","Maio","Todas","Minas Gerais"
"98","São Geraldo",3,"2018","Maio","Todas","Minas Gerais"
"99","São Geraldo da Piedade",2,"2018","Maio","Todas","Minas Gerais"
"100","São Gonçalo do Abaeté",5,"2018","Maio","Todas","Minas Gerais"
"101","São Gonçalo do Pará",7,"2018","Maio","Todas","Minas Gerais"
"102","São Gonçalo do Rio Abaixo",4,"2018","Maio","Todas","Minas Gerais"
"103","São Gonçalo do Rio Preto",2,"2018","Maio","Todas","Minas Gerais"
"104","São Gonçalo do Sapucaí",15,"2018","Maio","Todas","Minas Gerais"
"105","São Gotardo",19,"2018","Maio","Todas","Minas Gerais"
"106","São Joaquim de Bicas",10,"2018","Maio","Todas","Minas Gerais"
"107","Senador Amaral",2,"2018","Maio","Todas","Minas Gerais"
"108","Senador Firmino",6,"2018","Maio","Todas","Minas Gerais"
"109","Senador José Bento",4,"2018","Maio","Todas","Minas Gerais"
"110","Senador Modestino Gonçalves",3,"2018","Maio","Todas","Minas Gerais"
"111","Senhora do Porto",2,"2018","Maio","Todas","Minas Gerais"
"112","Senhora dos Remédios",6,"2018","Maio","Todas","Minas Gerais"
"113","Sericita",4,"2018","Maio","Todas","Minas Gerais"
"114","Seritinga",1,"2018","Maio","Todas","Minas Gerais"
"115","Serra Azul de Minas",3,"2018","Maio","Todas","Minas Gerais"
"116","Serra do Salitre",4,"2018","Maio","Todas","Minas Gerais"
"117","Serra dos Aimorés",4,"2018","Maio","Todas","Minas Gerais"
"118","Serrania",3,"2018","Maio","Todas","Minas Gerais"
"119","Serranos",1,"2018","Maio","Todas","Minas Gerais"
"120","Serranópolis de Minas",6,"2018","Maio","Todas","Minas Gerais"
"121","Serro",12,"2018","Maio","Todas","Minas Gerais"
"122","Sete Lagoas",99,"2018","Maio","Todas","Minas Gerais"
"123","Setubinha",5,"2018","Maio","Todas","Minas Gerais"
"124","Silveirânia",2,"2018","Maio","Todas","Minas Gerais"
"125","Silvianópolis",5,"2018","Maio","Todas","Minas Gerais"
"126","Simonésia",9,"2018","Maio","Todas","Minas Gerais"
"127","Santana do Garambéu",1,"2018","Maio","Todas","Minas Gerais"
"128","Santana do Jacaré",7,"2018","Maio","Todas","Minas Gerais"
