"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Félix do Araguaia",3,"2018","Março","Todas","Mato Grosso"
"2","São José do Povo",1,"2018","Março","Todas","Mato Grosso"
"3","São José dos Quatro Marcos",7,"2018","Março","Todas","Mato Grosso"
"4","Tabaporã",2,"2018","Março","Todas","Mato Grosso"
"5","Tangará da Serra",46,"2018","Março","Todas","Mato Grosso"
"6","Tapurah",4,"2018","Março","Todas","Mato Grosso"
"7","Terra Nova do Norte",5,"2018","Março","Todas","Mato Grosso"
"8","Torixoréu",1,"2018","Março","Todas","Mato Grosso"
"9","União do Sul",4,"2018","Março","Todas","Mato Grosso"
"10","Varzea Grande",34,"2018","Março","Todas","Mato Grosso"
"11","Vera",4,"2018","Março","Todas","Mato Grosso"
"12","Vila Bela da Santíssima Trindade",7,"2018","Março","Todas","Mato Grosso"
"13","Vila Rica",6,"2018","Março","Todas","Mato Grosso"
"14","Água Boa",12,"2018","Março","Todas","Mato Grosso"
"15","Novo Mundo",4,"2018","Março","Todas","Mato Grosso"
"16","Paranatinga",4,"2018","Março","Todas","Mato Grosso"
"17","Pedra Preta",7,"2018","Março","Todas","Mato Grosso"
"18","Peixoto de Azevedo",8,"2018","Março","Todas","Mato Grosso"
"19","Planalto da Serra",1,"2018","Março","Todas","Mato Grosso"
"20","Pontal do Araguaia",2,"2018","Março","Todas","Mato Grosso"
"21","Pontes e Lacerda",26,"2018","Março","Todas","Mato Grosso"
"22","Porto Alegre do Norte",5,"2018","Março","Todas","Mato Grosso"
"23","Poxoréo",10,"2018","Março","Todas","Mato Grosso"
"24","Primavera do Leste",26,"2018","Março","Todas","Mato Grosso"
"25","Querência",4,"2018","Março","Todas","Mato Grosso"
"26","Ribeirão Cascalheira",5,"2018","Março","Todas","Mato Grosso"
"27","Rondonópolis",116,"2018","Março","Todas","Mato Grosso"
"28","Rosário Oeste",3,"2018","Março","Todas","Mato Grosso"
"29","Santa Terezinha",4,"2018","Março","Todas","Mato Grosso"
"30","Santo Afonso",2,"2018","Março","Todas","Mato Grosso"
"31","Santo Antônio do Leverger",1,"2018","Março","Todas","Mato Grosso"
"32","Sapezal",1,"2018","Março","Todas","Mato Grosso"
"33","Sinop",79,"2018","Março","Todas","Mato Grosso"
"34","Sorriso",31,"2018","Março","Todas","Mato Grosso"
"35","Juara",18,"2018","Março","Todas","Mato Grosso"
"36","Juruena",1,"2018","Março","Todas","Mato Grosso"
"37","Juscimeira",4,"2018","Março","Todas","Mato Grosso"
"38","Juína",22,"2018","Março","Todas","Mato Grosso"
"39","Lucas do Rio Verde",28,"2018","Março","Todas","Mato Grosso"
"40","Luciára",3,"2018","Março","Todas","Mato Grosso"
"41","Marcelândia",2,"2018","Março","Todas","Mato Grosso"
"42","Matupá",5,"2018","Março","Todas","Mato Grosso"
"43","Mirassol D'oeste",20,"2018","Março","Todas","Mato Grosso"
"44","Nobres",5,"2018","Março","Todas","Mato Grosso"
"45","Nortelândia",2,"2018","Março","Todas","Mato Grosso"
"46","Nossa Senhora do Livramento",4,"2018","Março","Todas","Mato Grosso"
"47","Nova Bandeirantes",4,"2018","Março","Todas","Mato Grosso"
"48","Nova Canaã do Norte",5,"2018","Março","Todas","Mato Grosso"
"49","Nova Marilândia",1,"2018","Março","Todas","Mato Grosso"
"50","Nova Maringá",2,"2018","Março","Todas","Mato Grosso"
"51","Nova Monte Verde",2,"2018","Março","Todas","Mato Grosso"
"52","Nova Mutum",17,"2018","Março","Todas","Mato Grosso"
"53","Nova Ubiratã",1,"2018","Março","Todas","Mato Grosso"
"54","Nova Xavantina",10,"2018","Março","Todas","Mato Grosso"
"55","Castanheira",1,"2018","Março","Todas","Mato Grosso"
"56","Chapada dos Guimarães",2,"2018","Março","Todas","Mato Grosso"
"57","Cláudia",2,"2018","Março","Todas","Mato Grosso"
"58","Colniza",8,"2018","Março","Todas","Mato Grosso"
"59","Colíder",24,"2018","Março","Todas","Mato Grosso"
"60","Comodoro",6,"2018","Março","Todas","Mato Grosso"
"61","Confresa",7,"2018","Março","Todas","Mato Grosso"
"62","Cotriguaçu",2,"2018","Março","Todas","Mato Grosso"
"63","Cuiaba",525,"2018","Março","Todas","Mato Grosso"
"64","Cáceres",60,"2018","Março","Todas","Mato Grosso"
