"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São João do Rio do Peixe",13,"2018","Março","Todas","Paraíba"
"2","São João do Tigre",2,"2018","Março","Todas","Paraíba"
"3","São Mamede",5,"2018","Março","Todas","Paraíba"
"4","São Miguel de Taipu",5,"2018","Março","Todas","Paraíba"
"5","São Sebastião de Lagoa de Roça",4,"2018","Março","Todas","Paraíba"
"6","Taperoá",12,"2018","Março","Todas","Paraíba"
"7","Tavares",1,"2018","Março","Todas","Paraíba"
"8","Teixeira",5,"2018","Março","Todas","Paraíba"
"9","Tenório",1,"2018","Março","Todas","Paraíba"
"10","Triunfo",2,"2018","Março","Todas","Paraíba"
"11","Uiraúna",6,"2018","Março","Todas","Paraíba"
"12","Umbuzeiro",3,"2018","Março","Todas","Paraíba"
"13","Vieirópolis",1,"2018","Março","Todas","Paraíba"
"14","Vista Serrana",1,"2018","Março","Todas","Paraíba"
"15","Várzea",1,"2018","Março","Todas","Paraíba"
"16","Água Branca",3,"2018","Março","Todas","Paraíba"
"17","Sobrado",8,"2018","Março","Todas","Paraíba"
"18","Soledade",4,"2018","Março","Todas","Paraíba"
"19","Solânea",12,"2018","Março","Todas","Paraíba"
"20","Sossêgo",1,"2018","Março","Todas","Paraíba"
"21","Sousa",53,"2018","Março","Todas","Paraíba"
"22","Sumé",11,"2018","Março","Todas","Paraíba"
"23","São Bentinho",1,"2018","Março","Todas","Paraíba"
"24","São Bento",8,"2018","Março","Todas","Paraíba"
"25","São Domingos",1,"2018","Março","Todas","Paraíba"
"26","São Domingos do Cariri",2,"2018","Março","Todas","Paraíba"
"27","São Francisco",2,"2018","Março","Todas","Paraíba"
"28","São José da Lagoa Tapada",1,"2018","Março","Todas","Paraíba"
"29","São José de Caiana",2,"2018","Março","Todas","Paraíba"
"30","São José de Espinharas",1,"2018","Março","Todas","Paraíba"
"31","São José de Piranhas",11,"2018","Março","Todas","Paraíba"
"32","São José de Princesa",1,"2018","Março","Todas","Paraíba"
"33","São José do Bonfim",1,"2018","Março","Todas","Paraíba"
"34","São José do Sabugi",3,"2018","Março","Todas","Paraíba"
"35","São José dos Ramos",2,"2018","Março","Todas","Paraíba"
"36","São João do Cariri",5,"2018","Março","Todas","Paraíba"
"37","Remígio",5,"2018","Março","Todas","Paraíba"
"38","Riacho dos Cavalos",3,"2018","Março","Todas","Paraíba"
"39","Riachão",2,"2018","Março","Todas","Paraíba"
"40","Rio Tinto",14,"2018","Março","Todas","Paraíba"
"41","Salgado de São Félix",8,"2018","Março","Todas","Paraíba"
"42","Santa Cecília",2,"2018","Março","Todas","Paraíba"
"43","Santa Cruz",2,"2018","Março","Todas","Paraíba"
"44","Santa Helena",2,"2018","Março","Todas","Paraíba"
"45","Santa Inês",3,"2018","Março","Todas","Paraíba"
"46","Santa Luzia",8,"2018","Março","Todas","Paraíba"
"47","Santa Rita",61,"2018","Março","Todas","Paraíba"
"48","Santana de Mangueira",4,"2018","Março","Todas","Paraíba"
"49","Santana dos Garrotes",4,"2018","Março","Todas","Paraíba"
"50","Santo André",1,"2018","Março","Todas","Paraíba"
"51","Sapé",28,"2018","Março","Todas","Paraíba"
"52","Seridó",2,"2018","Março","Todas","Paraíba"
"53","Serra Branca",4,"2018","Março","Todas","Paraíba"
"54","Serra Redonda",1,"2018","Março","Todas","Paraíba"
"55","Serraria",1,"2018","Março","Todas","Paraíba"
"56","Sertãozinho",3,"2018","Março","Todas","Paraíba"
"57","Olho D'água",2,"2018","Março","Todas","Paraíba"
"58","Ouro Velho",2,"2018","Março","Todas","Paraíba"
"59","Parari",1,"2018","Março","Todas","Paraíba"
"60","Patos",69,"2018","Março","Todas","Paraíba"
"61","Paulista",8,"2018","Março","Todas","Paraíba"
"62","Pedra Lavrada",3,"2018","Março","Todas","Paraíba"
"63","Pedras de Fogo",18,"2018","Março","Todas","Paraíba"
"64","Piancó",14,"2018","Março","Todas","Paraíba"
"65","Picuí",11,"2018","Março","Todas","Paraíba"
"66","Pilar",2,"2018","Março","Todas","Paraíba"
"67","Pilões",1,"2018","Março","Todas","Paraíba"
"68","Pilõezinhos",4,"2018","Março","Todas","Paraíba"
"69","Pirpirituba",3,"2018","Março","Todas","Paraíba"
"70","Pitimbu",2,"2018","Março","Todas","Paraíba"
"71","Pocinhos",3,"2018","Março","Todas","Paraíba"
"72","Pombal",20,"2018","Março","Todas","Paraíba"
"73","Poço de José de Moura",2,"2018","Março","Todas","Paraíba"
"74","Prata",4,"2018","Março","Todas","Paraíba"
"75","Princesa Isabel",12,"2018","Março","Todas","Paraíba"
"76","Queimadas",20,"2018","Março","Todas","Paraíba"
"77","Livramento",4,"2018","Março","Todas","Paraíba"
"78","Logradouro",2,"2018","Março","Todas","Paraíba"
"79","Lucena",3,"2018","Março","Todas","Paraíba"
"80","Malta",5,"2018","Março","Todas","Paraíba"
"81","Mamanguape",41,"2018","Março","Todas","Paraíba"
"82","Manaíra",4,"2018","Março","Todas","Paraíba"
"83","Mari",5,"2018","Março","Todas","Paraíba"
"84","Marizópolis",2,"2018","Março","Todas","Paraíba"
"85","Massaranduba",7,"2018","Março","Todas","Paraíba"
"86","Matinhas",1,"2018","Março","Todas","Paraíba"
"87","Maturéia",1,"2018","Março","Todas","Paraíba"
"88","Mogeiro",3,"2018","Março","Todas","Paraíba"
"89","Montadas",2,"2018","Março","Todas","Paraíba"
"90","Monteiro",15,"2018","Março","Todas","Paraíba"
"91","Mulungu",7,"2018","Março","Todas","Paraíba"
"92","Mãe D'água",1,"2018","Março","Todas","Paraíba"
"93","Natuba",5,"2018","Março","Todas","Paraíba"
"94","Nazarezinho",5,"2018","Março","Todas","Paraíba"
"95","Nova Olinda",3,"2018","Março","Todas","Paraíba"
"96","Nova Palmeira",1,"2018","Março","Todas","Paraíba"
"97","Ibiara",5,"2018","Março","Todas","Paraíba"
"98","Igaracy",4,"2018","Março","Todas","Paraíba"
"99","Imaculada",2,"2018","Março","Todas","Paraíba"
"100","Ingá",11,"2018","Março","Todas","Paraíba"
"101","Itabaiana",17,"2018","Março","Todas","Paraíba"
"102","Itaporanga",11,"2018","Março","Todas","Paraíba"
"103","Itapororoca",9,"2018","Março","Todas","Paraíba"
"104","Itatuba",3,"2018","Março","Todas","Paraíba"
"105","Jacaraú",12,"2018","Março","Todas","Paraíba"
"106","Jericó",3,"2018","Março","Todas","Paraíba"
"107","Joao Pessoa",482,"2018","Março","Todas","Paraíba"
"108","Juarez Távora",3,"2018","Março","Todas","Paraíba"
"109","Juazeirinho",14,"2018","Março","Todas","Paraíba"
"110","Junco do Seridó",4,"2018","Março","Todas","Paraíba"
"111","Juripiranga",10,"2018","Março","Todas","Paraíba"
"112","Juru",1,"2018","Março","Todas","Paraíba"
"113","Lagoa",2,"2018","Março","Todas","Paraíba"
"114","Lagoa Seca",9,"2018","Março","Todas","Paraíba"
"115","Lagoa de Dentro",11,"2018","Março","Todas","Paraíba"
"116","Lastro",1,"2018","Março","Todas","Paraíba"
"117","Condado",3,"2018","Março","Todas","Paraíba"
"118","Conde",11,"2018","Março","Todas","Paraíba"
"119","Congo",1,"2018","Março","Todas","Paraíba"
"120","Coremas",5,"2018","Março","Todas","Paraíba"
"121","Coxixola",1,"2018","Março","Todas","Paraíba"
"122","Cruz do Espírito Santo",4,"2018","Março","Todas","Paraíba"
"123","Cuitegi",4,"2018","Março","Todas","Paraíba"
"124","Cuité",15,"2018","Março","Todas","Paraíba"
"125","Cuité de Mamanguape",2,"2018","Março","Todas","Paraíba"
"126","Curral de Cima",4,"2018","Março","Todas","Paraíba"
"127","Damião",3,"2018","Março","Todas","Paraíba"
"128","Diamante",10,"2018","Março","Todas","Paraíba"
"129","Dona Inês",3,"2018","Março","Todas","Paraíba"
"130","Duas Estradas",1,"2018","Março","Todas","Paraíba"
"131","Esperança",7,"2018","Março","Todas","Paraíba"
"132","Fagundes",7,"2018","Março","Todas","Paraíba"
"133","Frei Martinho",1,"2018","Março","Todas","Paraíba"
"134","Gado Bravo",3,"2018","Março","Todas","Paraíba"
"135","Guarabira",44,"2018","Março","Todas","Paraíba"
"136","Gurjão",1,"2018","Março","Todas","Paraíba"
"137","Boa Vista",1,"2018","Março","Todas","Paraíba"
"138","Bom Sucesso",3,"2018","Março","Todas","Paraíba"
"139","Boqueirão",8,"2018","Março","Todas","Paraíba"
"140","Borborema",2,"2018","Março","Todas","Paraíba"
"141","Brejo do Cruz",9,"2018","Março","Todas","Paraíba"
"142","Brejo dos Santos",2,"2018","Março","Todas","Paraíba"
"143","Caapora",12,"2018","Março","Todas","Paraíba"
"144","Cabedelo",14,"2018","Março","Todas","Paraíba"
"145","Cachoeira dos Índios",5,"2018","Março","Todas","Paraíba"
"146","Cacimba de Dentro",10,"2018","Março","Todas","Paraíba"
"147","Cacimbas",4,"2018","Março","Todas","Paraíba"
"148","Caiçara",3,"2018","Março","Todas","Paraíba"
"149","Cajazeiras",28,"2018","Março","Todas","Paraíba"
"150","Campina Grande",327,"2018","Março","Todas","Paraíba"
"151","Capim",3,"2018","Março","Todas","Paraíba"
"152","Casserengue",5,"2018","Março","Todas","Paraíba"
"153","Catingueira",2,"2018","Março","Todas","Paraíba"
"154","Catolé do Rocha",11,"2018","Março","Todas","Paraíba"
"155","Caturité",5,"2018","Março","Todas","Paraíba"
"156","Conceição",11,"2018","Março","Todas","Paraíba"
"157","Alagoa Grande",16,"2018","Março","Todas","Paraíba"
"158","Alagoa Nova",10,"2018","Março","Todas","Paraíba"
"159","Alagoinha",5,"2018","Março","Todas","Paraíba"
"160","Alcantil",4,"2018","Março","Todas","Paraíba"
"161","Algodão de Jandaíra",4,"2018","Março","Todas","Paraíba"
"162","Alhandra",4,"2018","Março","Todas","Paraíba"
"163","Arara",5,"2018","Março","Todas","Paraíba"
"164","Araçagi",7,"2018","Março","Todas","Paraíba"
"165","Areia",16,"2018","Março","Todas","Paraíba"
"166","Areial",4,"2018","Março","Todas","Paraíba"
"167","Aroeiras",15,"2018","Março","Todas","Paraíba"
"168","Assunção",1,"2018","Março","Todas","Paraíba"
"169","Baraúna",4,"2018","Março","Todas","Paraíba"
"170","Barra de Santa Rosa",4,"2018","Março","Todas","Paraíba"
"171","Barra de Santana",5,"2018","Março","Todas","Paraíba"
"172","Bayeux",28,"2018","Março","Todas","Paraíba"
"173","Belém",12,"2018","Março","Todas","Paraíba"
"174","Belém do Brejo do Cruz",2,"2018","Março","Todas","Paraíba"
"175","Bernardino Batista",1,"2018","Março","Todas","Paraíba"
"176","Boa Ventura",4,"2018","Março","Todas","Paraíba"
