"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Miguel do Tocantins",5,"2018","Março","Todas","Tocantins"
"2","São Salvador do Tocantins",1,"2018","Março","Todas","Tocantins"
"3","São Sebastião do Tocantins",1,"2018","Março","Todas","Tocantins"
"4","São Valério da Natividade",1,"2018","Março","Todas","Tocantins"
"5","Taguatinga",6,"2018","Março","Todas","Tocantins"
"6","Tocantinópolis",7,"2018","Março","Todas","Tocantins"
"7","Tocantínia",6,"2018","Março","Todas","Tocantins"
"8","Tupirama",1,"2018","Março","Todas","Tocantins"
"9","Xambioá",4,"2018","Março","Todas","Tocantins"
"10","Palmeirópolis",3,"2018","Março","Todas","Tocantins"
"11","Paraiso do Tocantins",16,"2018","Março","Todas","Tocantins"
"12","Paranã",6,"2018","Março","Todas","Tocantins"
"13","Pau D'arco",2,"2018","Março","Todas","Tocantins"
"14","Pedro Afonso",6,"2018","Março","Todas","Tocantins"
"15","Peixe",1,"2018","Março","Todas","Tocantins"
"16","Pequizeiro",4,"2018","Março","Todas","Tocantins"
"17","Pindorama do Tocantins",1,"2018","Março","Todas","Tocantins"
"18","Piraquê",2,"2018","Março","Todas","Tocantins"
"19","Ponte Alta do Bom Jesus",1,"2018","Março","Todas","Tocantins"
"20","Ponte Alta do Tocantins",1,"2018","Março","Todas","Tocantins"
"21","Porto Alegre do Tocantins",2,"2018","Março","Todas","Tocantins"
"22","Porto Nacional",24,"2018","Março","Todas","Tocantins"
"23","Pugmil",1,"2018","Março","Todas","Tocantins"
"24","Recursolândia",3,"2018","Março","Todas","Tocantins"
"25","Riachinho",3,"2018","Março","Todas","Tocantins"
"26","Rio Sono",3,"2018","Março","Todas","Tocantins"
"27","Rio da Conceição",1,"2018","Março","Todas","Tocantins"
"28","Santa Rosa do Tocantins",1,"2018","Março","Todas","Tocantins"
"29","Silvanópolis",6,"2018","Março","Todas","Tocantins"
"30","Goianorte",2,"2018","Março","Todas","Tocantins"
"31","Goiatins",5,"2018","Março","Todas","Tocantins"
"32","Guaraí",10,"2018","Março","Todas","Tocantins"
"33","Gurupi",48,"2018","Março","Todas","Tocantins"
"34","Itacajá",1,"2018","Março","Todas","Tocantins"
"35","Itapiratins",1,"2018","Março","Todas","Tocantins"
"36","Jaú do Tocantins",1,"2018","Março","Todas","Tocantins"
"37","Lagoa da Confusão",3,"2018","Março","Todas","Tocantins"
"38","Lizarda",5,"2018","Março","Todas","Tocantins"
"39","Mateiros",1,"2018","Março","Todas","Tocantins"
"40","Maurilândia do Tocantins",3,"2018","Março","Todas","Tocantins"
"41","Miracema do Tocantins",6,"2018","Março","Todas","Tocantins"
"42","Monte do Carmo",3,"2018","Março","Todas","Tocantins"
"43","Natividade",3,"2018","Março","Todas","Tocantins"
"44","Nazaré",1,"2018","Março","Todas","Tocantins"
"45","Nova Olinda",7,"2018","Março","Todas","Tocantins"
"46","Nova Rosalândia",1,"2018","Março","Todas","Tocantins"
"47","Novo Alegre",1,"2018","Março","Todas","Tocantins"
"48","Palmas",109,"2018","Março","Todas","Tocantins"
"49","Palmeiras do Tocantins",3,"2018","Março","Todas","Tocantins"
"50","Campos Lindos",1,"2018","Março","Todas","Tocantins"
"51","Cariri do Tocantins",1,"2018","Março","Todas","Tocantins"
"52","Carrasco Bonito",1,"2018","Março","Todas","Tocantins"
"53","Caseara",3,"2018","Março","Todas","Tocantins"
"54","Centenário",1,"2018","Março","Todas","Tocantins"
"55","Colinas do Tocantins",3,"2018","Março","Todas","Tocantins"
"56","Colméia",8,"2018","Março","Todas","Tocantins"
"57","Combinado",2,"2018","Março","Todas","Tocantins"
"58","Conceição do Tocantins",1,"2018","Março","Todas","Tocantins"
"59","Couto de Magalhães",2,"2018","Março","Todas","Tocantins"
"60","Cristalândia",4,"2018","Março","Todas","Tocantins"
"61","Darcinópolis",4,"2018","Março","Todas","Tocantins"
"62","Dianópolis",8,"2018","Março","Todas","Tocantins"
"63","Divinópolis do Tocantins",3,"2018","Março","Todas","Tocantins"
"64","Dois Irmãos do Tocantins",1,"2018","Março","Todas","Tocantins"
"65","Esperantina",4,"2018","Março","Todas","Tocantins"
"66","Figueirópolis",3,"2018","Março","Todas","Tocantins"
"67","Formoso do Araguaia",7,"2018","Março","Todas","Tocantins"
"68","Fortaleza do Tabocão",3,"2018","Março","Todas","Tocantins"
"69","Fátima",4,"2018","Março","Todas","Tocantins"
"70","Aguiarnópolis",8,"2018","Março","Todas","Tocantins"
"71","Almas",1,"2018","Março","Todas","Tocantins"
"72","Alvorada",2,"2018","Março","Todas","Tocantins"
"73","Ananás",7,"2018","Março","Todas","Tocantins"
"74","Aparecida do Rio Negro",4,"2018","Março","Todas","Tocantins"
"75","Aragominas",3,"2018","Março","Todas","Tocantins"
"76","Araguacema",3,"2018","Março","Todas","Tocantins"
"77","Araguana",4,"2018","Março","Todas","Tocantins"
"78","Araguatins",20,"2018","Março","Todas","Tocantins"
"79","Araguaçu",4,"2018","Março","Todas","Tocantins"
"80","Arapoema",3,"2018","Março","Todas","Tocantins"
"81","Arraias",10,"2018","Março","Todas","Tocantins"
"82","Augustinópolis",10,"2018","Março","Todas","Tocantins"
"83","Babaçulândia",1,"2018","Março","Todas","Tocantins"
"84","Barrolândia",1,"2018","Março","Todas","Tocantins"
