"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","Acrelândia",1,"2018","Novembro","Todas","Acre"
"2","Assis Brasil",2,"2018","Novembro","Todas","Acre"
"3","Brasiléia",8,"2018","Novembro","Todas","Acre"
"4","Bujari",1,"2018","Novembro","Todas","Acre"
"5","Capixaba",6,"2018","Novembro","Todas","Acre"
"6","Cruzeiro do Sul",36,"2018","Novembro","Todas","Acre"
"7","Epitaciolândia",2,"2018","Novembro","Todas","Acre"
"8","Feijó",11,"2018","Novembro","Todas","Acre"
"9","Manoel Urbano",3,"2018","Novembro","Todas","Acre"
"10","Mâncio Lima",7,"2018","Novembro","Todas","Acre"
"11","Plácido de Castro",5,"2018","Novembro","Todas","Acre"
"12","Porto Acre",1,"2018","Novembro","Todas","Acre"
"13","Rio Branco",144,"2018","Novembro","Todas","Acre"
"14","Rodrigues Alves",1,"2018","Novembro","Todas","Acre"
"15","Sena Madureira",21,"2018","Novembro","Todas","Acre"
"16","Senador Guiomard",6,"2018","Novembro","Todas","Acre"
"17","Tarauacá",15,"2018","Novembro","Todas","Acre"
"18","Xapuri",5,"2018","Novembro","Todas","Acre"
