"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Patrício",1,"2018","Novembro","Todas","Goiás"
"2","Teresina de Goiás",4,"2018","Novembro","Todas","Goiás"
"3","Terezópolis de Goiás",3,"2018","Novembro","Todas","Goiás"
"4","Três Ranchos",1,"2018","Novembro","Todas","Goiás"
"5","Turvânia",1,"2018","Novembro","Todas","Goiás"
"6","Uruana",8,"2018","Novembro","Todas","Goiás"
"7","Uruaçu",17,"2018","Novembro","Todas","Goiás"
"8","Valparaíso de Goiás",28,"2018","Novembro","Todas","Goiás"
"9","Vianópolis",3,"2018","Novembro","Todas","Goiás"
"10","Vicentinópolis",6,"2018","Novembro","Todas","Goiás"
"11","Vila Propício",3,"2018","Novembro","Todas","Goiás"
"12","Água Fria de Goiás",1,"2018","Novembro","Todas","Goiás"
"13","Águas Lindas de Goiás",34,"2018","Novembro","Todas","Goiás"
"14","Rio Quente",2,"2018","Novembro","Todas","Goiás"
"15","Rio Verde",91,"2018","Novembro","Todas","Goiás"
"16","Rubiataba",13,"2018","Novembro","Todas","Goiás"
"17","Santa Fé de Goiás",1,"2018","Novembro","Todas","Goiás"
"18","Santa Helena de Goias",24,"2018","Novembro","Todas","Goiás"
"19","Santa Rita do Araguaia",1,"2018","Novembro","Todas","Goiás"
"20","Santa Rosa de Goiás",3,"2018","Novembro","Todas","Goiás"
"21","Santa Terezinha de Goiás",7,"2018","Novembro","Todas","Goiás"
"22","Santo Antônio da Barra",2,"2018","Novembro","Todas","Goiás"
"23","Santo Antônio de Goiás",3,"2018","Novembro","Todas","Goiás"
"24","Santo Antônio do Descoberto",14,"2018","Novembro","Todas","Goiás"
"25","Senador Canedo",33,"2018","Novembro","Todas","Goiás"
"26","Serranópolis",4,"2018","Novembro","Todas","Goiás"
"27","Silvânia",8,"2018","Novembro","Todas","Goiás"
"28","São Domingos",6,"2018","Novembro","Todas","Goiás"
"29","São Francisco de Goiás",3,"2018","Novembro","Todas","Goiás"
"30","São João da Paraúna",2,"2018","Novembro","Todas","Goiás"
"31","São Luís de Montes Belos",18,"2018","Novembro","Todas","Goiás"
"32","São Miguel do Araguaia",8,"2018","Novembro","Todas","Goiás"
"33","São Miguel do Passa Quatro",1,"2018","Novembro","Todas","Goiás"
"34","Nova Roma",1,"2018","Novembro","Todas","Goiás"
"35","Nova Veneza",2,"2018","Novembro","Todas","Goiás"
"36","Novo Brasil",1,"2018","Novembro","Todas","Goiás"
"37","Novo Gama",6,"2018","Novembro","Todas","Goiás"
"38","Palestina de Goiás",2,"2018","Novembro","Todas","Goiás"
"39","Palmeiras de Goiás",10,"2018","Novembro","Todas","Goiás"
"40","Palminópolis",6,"2018","Novembro","Todas","Goiás"
"41","Paranaiguara",4,"2018","Novembro","Todas","Goiás"
"42","Paraúna",6,"2018","Novembro","Todas","Goiás"
"43","Pilar de Goiás",5,"2018","Novembro","Todas","Goiás"
"44","Piracanjuba",16,"2018","Novembro","Todas","Goiás"
"45","Piranhas",2,"2018","Novembro","Todas","Goiás"
"46","Planaltina",31,"2018","Novembro","Todas","Goiás"
"47","Pontalina",12,"2018","Novembro","Todas","Goiás"
"48","Porangatu",12,"2018","Novembro","Todas","Goiás"
"49","Porteirão",2,"2018","Novembro","Todas","Goiás"
"50","Posse",18,"2018","Novembro","Todas","Goiás"
"51","Professor Jamil",1,"2018","Novembro","Todas","Goiás"
"52","Quirinopolis",25,"2018","Novembro","Todas","Goiás"
"53","Rialma",4,"2018","Novembro","Todas","Goiás"
"54","Jataí",60,"2018","Novembro","Todas","Goiás"
"55","Jaupaci",3,"2018","Novembro","Todas","Goiás"
"56","Leopoldo de Bulhões",2,"2018","Novembro","Todas","Goiás"
"57","Mairipotaba",2,"2018","Novembro","Todas","Goiás"
"58","Mambaí",2,"2018","Novembro","Todas","Goiás"
"59","Mara Rosa",7,"2018","Novembro","Todas","Goiás"
"60","Matrinchã",2,"2018","Novembro","Todas","Goiás"
"61","Maurilândia",10,"2018","Novembro","Todas","Goiás"
"62","Mineiros",34,"2018","Novembro","Todas","Goiás"
"63","Montividiu",3,"2018","Novembro","Todas","Goiás"
"64","Montividiu do Norte",1,"2018","Novembro","Todas","Goiás"
"65","Morrinhos",23,"2018","Novembro","Todas","Goiás"
"66","Mutunópolis",1,"2018","Novembro","Todas","Goiás"
"67","Nazário",2,"2018","Novembro","Todas","Goiás"
"68","Nerópolis",3,"2018","Novembro","Todas","Goiás"
"69","Niquelandia",24,"2018","Novembro","Todas","Goiás"
"70","Nova América",2,"2018","Novembro","Todas","Goiás"
"71","Nova Aurora",2,"2018","Novembro","Todas","Goiás"
"72","Nova Crixás",5,"2018","Novembro","Todas","Goiás"
"73","Nova Gloria",2,"2018","Novembro","Todas","Goiás"
"74","Goianira",16,"2018","Novembro","Todas","Goiás"
"75","Goianésia",23,"2018","Novembro","Todas","Goiás"
"76","Goiânia",825,"2018","Novembro","Todas","Goiás"
"77","Guapó",5,"2018","Novembro","Todas","Goiás"
"78","Guaraíta",3,"2018","Novembro","Todas","Goiás"
"79","Iaciara",1,"2018","Novembro","Todas","Goiás"
"80","Inaciolândia",3,"2018","Novembro","Todas","Goiás"
"81","Indiara",6,"2018","Novembro","Todas","Goiás"
"82","Inhumas",22,"2018","Novembro","Todas","Goiás"
"83","Ipameri",2,"2018","Novembro","Todas","Goiás"
"84","Ipiranga de Goiás",3,"2018","Novembro","Todas","Goiás"
"85","Iporá",23,"2018","Novembro","Todas","Goiás"
"86","Itaguari",2,"2018","Novembro","Todas","Goiás"
"87","Itaguaru",3,"2018","Novembro","Todas","Goiás"
"88","Itapirapuã",1,"2018","Novembro","Todas","Goiás"
"89","Itapuranga",11,"2018","Novembro","Todas","Goiás"
"90","Itumbiara",48,"2018","Novembro","Todas","Goiás"
"91","Ivolândia",1,"2018","Novembro","Todas","Goiás"
"92","Jandaia",4,"2018","Novembro","Todas","Goiás"
"93","Jaraguá",21,"2018","Novembro","Todas","Goiás"
"94","Cezarina",5,"2018","Novembro","Todas","Goiás"
"95","Chapadão do Céu",3,"2018","Novembro","Todas","Goiás"
"96","Cidade Ocidental",18,"2018","Novembro","Todas","Goiás"
"97","Cocalzinho de Goias",1,"2018","Novembro","Todas","Goiás"
"98","Colinas do Sul",1,"2018","Novembro","Todas","Goiás"
"99","Corumbaíba",3,"2018","Novembro","Todas","Goiás"
"100","Corumbá de Goiás",3,"2018","Novembro","Todas","Goiás"
"101","Cristalina",16,"2018","Novembro","Todas","Goiás"
"102","Cristianópolis",3,"2018","Novembro","Todas","Goiás"
"103","Cromínia",1,"2018","Novembro","Todas","Goiás"
"104","Córrego do Ouro",1,"2018","Novembro","Todas","Goiás"
"105","Damianópolis",1,"2018","Novembro","Todas","Goiás"
"106","Damolândia",1,"2018","Novembro","Todas","Goiás"
"107","Divinópolis de Goiás",3,"2018","Novembro","Todas","Goiás"
