"","Cidade","Registros","Ano","Mês","Região","Estado"
"1","São Domingos",2,"2018","Novembro","Todas","Sergipe"
"2","São Miguel do Aleixo",1,"2018","Novembro","Todas","Sergipe"
"3","Tobias Barreto",29,"2018","Novembro","Todas","Sergipe"
"4","Umbaúba",12,"2018","Novembro","Todas","Sergipe"
"5","Pacatuba",6,"2018","Novembro","Todas","Sergipe"
"6","Pedrinhas",10,"2018","Novembro","Todas","Sergipe"
"7","Pinhão",5,"2018","Novembro","Todas","Sergipe"
"8","Pirambu",2,"2018","Novembro","Todas","Sergipe"
"9","Porto da Folha",10,"2018","Novembro","Todas","Sergipe"
"10","Poço Redondo",7,"2018","Novembro","Todas","Sergipe"
"11","Poço Verde",7,"2018","Novembro","Todas","Sergipe"
"12","Propriá",15,"2018","Novembro","Todas","Sergipe"
"13","Riachuelo",5,"2018","Novembro","Todas","Sergipe"
"14","Riachão do Dantas",8,"2018","Novembro","Todas","Sergipe"
"15","Ribeirópolis",6,"2018","Novembro","Todas","Sergipe"
"16","Rosario do Catete",8,"2018","Novembro","Todas","Sergipe"
"17","Salgado",7,"2018","Novembro","Todas","Sergipe"
"18","Santa Luzia do Itanhy",1,"2018","Novembro","Todas","Sergipe"
"19","Santa Rosa de Lima",2,"2018","Novembro","Todas","Sergipe"
"20","Santana do São Francisco",1,"2018","Novembro","Todas","Sergipe"
"21","Santo Amaro das Brotas",6,"2018","Novembro","Todas","Sergipe"
"22","Simão Dias",20,"2018","Novembro","Todas","Sergipe"
"23","Siriri",2,"2018","Novembro","Todas","Sergipe"
"24","São Cristóvão",18,"2018","Novembro","Todas","Sergipe"
"25","Itabaiana",47,"2018","Novembro","Todas","Sergipe"
"26","Itabaianinha",22,"2018","Novembro","Todas","Sergipe"
"27","Itaporanga D'ajuda",12,"2018","Novembro","Todas","Sergipe"
"28","Japaratuba",16,"2018","Novembro","Todas","Sergipe"
"29","Japoatã",5,"2018","Novembro","Todas","Sergipe"
"30","Lagarto",12,"2018","Novembro","Todas","Sergipe"
"31","Laranjeiras",6,"2018","Novembro","Todas","Sergipe"
"32","Macambira",25,"2018","Novembro","Todas","Sergipe"
"33","Malhada dos Bois",5,"2018","Novembro","Todas","Sergipe"
"34","Malhador",4,"2018","Novembro","Todas","Sergipe"
"35","Maruim",4,"2018","Novembro","Todas","Sergipe"
"36","Moita Bonita",7,"2018","Novembro","Todas","Sergipe"
"37","Monte Alegre de Sergipe",3,"2018","Novembro","Todas","Sergipe"
"38","Muribeca",3,"2018","Novembro","Todas","Sergipe"
"39","Neópolis",8,"2018","Novembro","Todas","Sergipe"
"40","Nossa Senhora Aparecida",6,"2018","Novembro","Todas","Sergipe"
"41","Nossa Senhora da Glória",25,"2018","Novembro","Todas","Sergipe"
"42","Nossa Senhora das Dores",12,"2018","Novembro","Todas","Sergipe"
"43","Nossa Senhora de Lourdes",6,"2018","Novembro","Todas","Sergipe"
"44","Nossa Senhora do Socorro",51,"2018","Novembro","Todas","Sergipe"
"45","Aquidabã",12,"2018","Novembro","Todas","Sergipe"
"46","Aracaju",355,"2018","Novembro","Todas","Sergipe"
"47","Arauá",7,"2018","Novembro","Todas","Sergipe"
"48","Areia Branca",6,"2018","Novembro","Todas","Sergipe"
"49","Barra dos Coqueiros",12,"2018","Novembro","Todas","Sergipe"
"50","Boquim",10,"2018","Novembro","Todas","Sergipe"
"51","Brejo Grande",3,"2018","Novembro","Todas","Sergipe"
"52","Campo do Brito",10,"2018","Novembro","Todas","Sergipe"
"53","Canindé de São Francisco",4,"2018","Novembro","Todas","Sergipe"
"54","Capela",13,"2018","Novembro","Todas","Sergipe"
"55","Carira",9,"2018","Novembro","Todas","Sergipe"
"56","Carmopolis",5,"2018","Novembro","Todas","Sergipe"
"57","Cedro de São João",9,"2018","Novembro","Todas","Sergipe"
"58","Cumbe",3,"2018","Novembro","Todas","Sergipe"
"59","Divina Pastora",2,"2018","Novembro","Todas","Sergipe"
"60","Estância",53,"2018","Novembro","Todas","Sergipe"
"61","Feira Nova",2,"2018","Novembro","Todas","Sergipe"
"62","Gararu",2,"2018","Novembro","Todas","Sergipe"
"63","Ilha das Flores",1,"2018","Novembro","Todas","Sergipe"
"64","Indiaroba",2,"2018","Novembro","Todas","Sergipe"
